symbol,pass_report_days,next_report_days,next_report_date,current_price,market_cap,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,197.0,,,124.12,35188020779.0,0.2233,46.0,0.2361,59.0,0.2852,50.0,0.2785,47.0,0.2719,44.0,0.3558,80.0,0.2986,79.0,0.3035,59.0,0.3116,59.0,0.3197,59.0,20270115.0,35.0,609.0,1.1188509874326749
AA,232.0,,,30.93,8008241276.0,0.3209,43.0,0.3669,64.0,0.484,72.0,0.4874,73.0,0.4907,73.0,0.5505,79.0,0.4623,80.0,0.4409,69.0,0.4556,70.0,0.4703,71.0,20270115.0,7.0,609.0,0.9347558473533032
AAAU,,,,35.95,,0.1515,,0.0962,,0.1718,,0.1676,,0.1634,,0.1963,,0.1001,,0.1558,,0.1596,,0.1634,,20251219.0,35.0,217.0,0.9522673031026252
AACT,,,,11.41,705819168.0,0.008,,0.0171,,,,,,,,0.0377,,0.0377,,,,,,,,,,,
AAL,231.0,,,12.82,8459007476.0,0.3135,38.0,0.3881,71.0,0.5166,79.0,0.518,79.0,0.5195,80.0,0.6279,91.0,0.4596,80.0,0.4256,62.0,0.4301,62.0,0.4346,57.0,20271217.0,7.0,945.0,0.8303088803088803
AAMI,217.0,,,46.58,1668118368.0,1.1041,,0.5439,,0.4752,,0.41,,0.3449,,0.4519,,0.3612,,0.3573,,0.3582,,0.3592,,20260116.0,35.0,245.0,0.873658536585366
AAOI,197.0,,,27.72,1728447293.0,1.0151,82.0,0.788,76.0,0.9388,74.0,0.9447,74.0,0.9506,74.0,1.2457,91.0,1.0398,92.0,0.9741,86.0,0.9784,85.0,0.9826,82.0,20270115.0,7.0,609.0,1.0356727003281463
AAON,196.0,,,84.99,6929294359.0,0.6103,96.0,0.4178,90.0,0.4881,89.0,0.4982,90.0,0.5083,91.0,0.5967,94.0,0.4971,96.0,0.4856,98.0,0.5028,99.0,0.5201,99.0,20260116.0,35.0,245.0,1.009233239662786
AAP,197.0,,,59.13,3546907201.0,0.2524,53.0,0.2933,72.0,0.4851,89.0,0.4833,89.0,0.4816,88.0,0.8475,100.0,0.533,98.0,0.5345,96.0,0.5245,94.0,0.5145,92.0,20270115.0,7.0,609.0,1.085247258431616
AAPB,,,,24.01,,0.6876,86.0,0.3481,66.0,0.4946,56.0,0.467,35.0,0.4395,24.0,0.7648,92.0,0.5749,90.0,0.4532,59.0,0.4884,63.0,0.5236,54.0,20260116.0,35.0,245.0,1.0458244111349035
AAPD,,,,15.88,,0.3491,85.0,0.1749,49.0,0.294,52.0,,,,,0.3993,93.0,0.3036,90.0,0.3477,85.0,,,,,20260116.0,35.0,245.0,
AAPL,224.0,,,226.79,3474173162835.0,0.3436,72.0,0.1817,34.0,0.2349,32.0,0.2333,31.0,0.2317,31.0,0.3878,78.0,0.3011,67.0,0.2536,23.0,0.2672,24.0,0.2807,26.0,20271217.0,7.0,945.0,1.1453064723531932
AAPU,,,,26.09,,0.6861,88.0,0.3645,65.0,0.3954,36.0,0.4821,49.0,0.5688,72.0,0.7619,90.0,0.59,90.0,0.427,52.0,0.4776,56.0,0.5281,62.0,20260116.0,35.0,245.0,0.9906658369632856
AAPW,,,,36.58,,0.3962,,0.2185,,,,,,1.6278,,0.4318,,0.2935,,,,,,0.9674,,20251219.0,35.0,217.0,
AAPX,,,,22.45,,0.6044,,0.2983,,0.3131,,0.5208,,0.7285,,0.7626,,0.5718,,0.3568,,0.4718,,0.5869,,20251219.0,35.0,217.0,0.9059139784946236
AAPY,,,,22.72,,0.31,,0.0682,,,,,,0.3059,,0.3265,,0.1817,,,,,,0.3059,,20260116.0,35.0,245.0,
