symbol,next_report_days,next_report_date,current_price,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank,max_expiry,min_days,max_days,iv_ratio
A,113,2/24/2026,144.69,38,0.1959,38,0.278,47,0.2909,52,0.3037,56,0.3102,66,0.2498,62,0.3061,61,0.3173,62,0.3284,62,20270115,35,609,1.090752836
AA,,,37.2,55,0.3393,57,0.5359,81,0.5389,81,0.5419,81,0.4774,68,0.3741,63,0.5053,82,0.5037,79,0.5022,76,20270115,7,609,0.934681759
AAAU,,,39.58,,0.145,,0.2055,,0.2048,,0.2041,,0.2018,,0.1069,,0.1922,,0.1981,,0.204,,20251219,35,217,0.967285156
AAL,,,13.34,90,0.453,82,0.4858,75,0.4926,76,0.4994,77,0.4854,79,0.3662,63,0.4427,68,0.4494,67,0.4562,67,20271217,7,945,0.912302071
AAMI,,,46.22,,0.4987,,0.3484,,0.4063,,0.4642,,0.4053,,0.3225,,0.3484,,0.3379,,0.3275,,20260116,35,245,0.831651489
AAOI,113,2/24/2026,33.04,79,0.8597,84,1.6404,97,1.5787,97,1.5169,95,1.046,85,0.9632,89,1.0052,89,1.0102,89,1.0152,87,20270115,7,609,0.639893583
AAON,114,2/25/2026,95.9,80,0.4074,89,0.8015,100,0.7834,100,0.7654,100,0.574,93,0.4649,94,0.587,100,0.5744,100,0.5618,100,20260116,35,245,0.733214195
AAP,113,2/24/2026,47.41,96,0.8614,100,0.5614,94,0.5601,94,0.5588,94,0.8517,100,0.5284,98,0.5822,99,0.5796,98,0.5771,97,20270115,7,609,1.034815212
AAPB,,,33.07,35,0.3427,65,0.4453,42,0.4924,43,0.5395,57,0.4818,68,0.3775,73,0.4441,55,0.4981,66,0.5521,66,20260116,35,245,1.011575955
AAPD,,,13.26,26,0.1794,52,0.2828,49,,,,,0.2462,65,0.1952,63,0.2828,61,,,,,20260116,35,245,
AAPL,,,269.05,19,0.1822,34,0.2331,31,0.226,28,0.2189,26,0.2414,27,0.1989,28,0.2897,35,0.2814,30,0.273,20,20271217,7,945,1.245132743
AAPU,,,35.66,40,0.355,63,0.4431,50,0.4511,40,0.4591,38,0.4797,72,0.3903,69,0.474,78,0.5198,79,0.5657,78,20260116,35,245,1.152294391
