date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-08,0.2108,44.0,0.2086,43.0,0.376,74.0,0.3448,63.0,0.3136,56.0,0.3466,71.0,0.321,78.0,0.2863,57.0,0.3006,55.0,0.3149,57.0
2025-07-07,0.1814,34.0,0.2062,42.0,0.2392,28.0,0.2857,48.0,0.3322,60.0,0.3466,71.0,0.321,78.0,0.2929,59.0,0.3141,60.0,0.3353,66.0
2025-07-03,0.2046,42.0,0.1933,35.0,0.2875,52.0,0.2849,48.0,0.2823,46.0,0.3467,71.0,0.3204,78.0,0.3251,70.0,0.3208,63.0,0.3164,57.0
2025-07-02,0.2071,43.0,0.2022,40.0,0.2639,42.0,0.2556,34.0,0.2472,27.0,0.3473,72.0,0.3208,78.0,0.3394,73.0,0.3191,63.0,0.2988,51.0
2025-07-01,0.2295,51.0,0.2144,45.0,0.3892,76.0,0.364,68.0,0.3387,61.0,0.3465,71.0,0.3207,78.0,0.3514,76.0,0.318,62.0,0.2847,46.0
2025-06-30,0.2754,65.0,0.2071,42.0,0.2325,24.0,0.3101,55.0,0.3877,75.0,0.3465,71.0,0.3204,78.0,0.2933,59.0,0.3075,57.0,0.3217,61.0
2025-06-27,0.2808,66.0,0.2024,40.0,0.2277,20.0,0.2769,45.0,0.326,59.0,0.3456,71.0,0.3207,78.0,0.2894,57.0,0.2822,47.0,0.2751,43.0
2025-06-26,0.3043,71.0,0.2056,41.0,0.2684,44.0,0.271,43.0,0.2736,42.0,0.3454,71.0,0.3209,78.0,0.2956,60.0,0.2933,52.0,0.291,48.0
2025-06-25,0.2418,55.0,0.184,30.0,0.2838,51.0,0.2824,47.0,0.2809,45.0,0.343,71.0,0.3201,78.0,0.3091,66.0,0.2991,54.0,0.2891,47.0
2025-06-24,0.2935,69.0,0.2084,43.0,0.2891,53.0,0.2372,22.0,0.1854,2.0,0.3426,71.0,0.3203,78.0,0.3079,65.0,0.305,56.0,0.302,52.0
2025-06-23,0.2824,66.0,0.2084,43.0,0.3247,61.0,0.3126,56.0,0.3006,52.0,0.343,71.0,0.3204,78.0,0.3472,75.0,0.3389,68.0,0.3307,64.0
2025-06-20,0.1983,40.0,0.2262,51.0,0.3482,66.0,0.292,50.0,0.2358,20.0,0.3414,71.0,0.3209,78.0,0.3028,63.0,0.3161,61.0,0.3294,63.0
2025-06-18,0.1999,41.0,0.2282,52.0,0.2753,48.0,0.2898,50.0,0.3042,53.0,0.3625,74.0,0.3272,79.0,0.2917,59.0,0.2978,54.0,0.3038,53.0
2025-06-17,0.351,80.0,0.2639,65.0,0.263,42.0,0.3173,56.0,0.3715,71.0,0.3653,75.0,0.3282,79.0,0.2991,62.0,0.2983,54.0,0.2975,50.0
2025-06-16,0.6355,96.0,0.5502,97.0,0.3958,77.0,0.3693,69.0,0.3429,63.0,0.3652,75.0,0.3281,79.0,0.3157,67.0,0.3112,57.0,0.3067,54.0
2025-06-13,0.6236,95.0,0.5613,97.0,0.2351,25.0,0.2493,30.0,0.2635,37.0,0.3653,75.0,0.3281,79.0,0.2788,53.0,0.2917,52.0,0.3046,54.0
2025-06-12,0.6255,95.0,0.5519,97.0,0.2458,32.0,0.2558,34.0,0.2657,39.0,0.363,74.0,0.3271,79.0,0.2614,46.0,0.2758,45.0,0.2902,48.0
2025-06-11,0.6427,96.0,0.5507,97.0,0.2389,28.0,0.2416,25.0,0.2443,26.0,0.363,74.0,0.327,79.0,0.2809,54.0,0.2916,52.0,0.3024,53.0
2025-06-10,0.637,96.0,0.5373,97.0,0.2175,14.0,0.2498,30.0,0.2821,46.0,0.3607,74.0,0.326,79.0,0.2708,50.0,0.2649,42.0,0.2589,37.0
2025-06-09,0.6493,96.0,0.5338,97.0,0.2317,23.0,0.2383,23.0,0.2449,26.0,0.3608,74.0,0.3258,79.0,0.2879,57.0,0.2854,48.0,0.2828,46.0
2025-06-06,0.5792,95.0,0.5165,96.0,0.2777,49.0,0.3036,53.0,0.3295,60.0,0.3576,73.0,0.3244,78.0,0.2774,53.0,0.2896,51.0,0.3018,52.0
2025-06-05,0.1763,32.0,0.174,25.0,0.4247,81.0,0.4492,84.0,0.4736,85.0,0.3315,70.0,0.3032,73.0,0.287,57.0,0.3144,60.0,0.3418,69.0
2025-06-04,0.2379,54.0,0.1599,18.0,0.448,84.0,0.4772,86.0,0.5064,88.0,0.331,69.0,0.3022,73.0,0.2622,46.0,0.2892,50.0,0.3162,57.0
2025-06-03,0.235,53.0,0.1696,23.0,0.4258,81.0,0.4834,87.0,0.5409,91.0,0.3329,70.0,0.3031,73.0,0.2734,51.0,0.298,54.0,0.3227,61.0
2025-06-02,0.2317,52.0,0.1688,22.0,0.4089,79.0,0.4004,79.0,0.392,76.0,0.3329,70.0,0.3033,73.0,0.2689,49.0,0.2905,51.0,0.3121,57.0
2025-05-30,0.2628,61.0,0.1743,25.0,0.4573,85.0,0.4322,82.0,0.4072,78.0,0.3327,70.0,0.3031,73.0,0.2684,49.0,0.2951,53.0,0.3217,61.0
2025-05-29,0.2589,60.0,0.1685,22.0,0.4365,83.0,0.4541,84.0,0.4717,85.0,0.3326,70.0,0.303,73.0,0.2812,54.0,0.2873,49.0,0.2934,49.0
