date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-30,2.0967,,1.7482,,2.795,,2.6901,,2.5852,,3.2481,,2.4336,,2.1287,,2.5492,,2.9696,
2025-10-29,2.0101,,1.8526,,2.5563,,2.8686,,3.181,,3.377,,2.5301,,1.9293,,2.4574,,2.9855,
2025-10-28,2.1279,,1.8566,,3.1315,,3.0498,,2.9682,,3.3756,,2.5614,,1.9083,,2.1628,,2.4173,
2025-10-27,2.176,,1.876,,3.5679,,3.3975,,3.2271,,3.4033,,2.5982,,2.1249,,2.313,,2.501,
2025-10-24,2.1719,,2.1501,,3.2175,,3.2745,,3.3316,,3.425,,2.6089,,2.5796,,2.7686,,2.9577,
2025-10-23,2.2949,,1.8895,,2.8851,,2.9798,,3.0744,,3.4613,,2.6362,,1.763,,2.1724,,2.5818,
2025-10-22,1.6681,,1.8129,,3.3244,,3.0232,,2.722,,3.4645,,2.6526,,2.7742,,2.6266,,2.4791,
2025-10-21,1.5472,,1.8299,,2.8071,,2.8419,,2.8767,,3.4623,,2.6585,,2.0508,,2.3026,,2.5543,
2025-10-20,2.1833,,2.0912,,3.1642,,2.9584,,2.7526,,3.4646,,2.654,,2.101,,2.2276,,2.3543,
2025-10-15,0.6297,,1.0183,,3.1813,,3.252,,3.3226,,1.5729,,1.852,,2.1413,,2.2612,,2.3811,
