date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-13,0.2835,72.0,0.3249,90.0,0.2996,75.0,0.3001,74.0,0.3006,74.0,0.247,55.0,0.2427,69.0,0.2288,38.0,0.2984,75.0,0.3681,92.0
2025-10-10,0.2825,71.0,0.31,87.0,0.3229,82.0,0.3144,79.0,0.3058,75.0,0.247,55.0,0.2423,69.0,0.2349,42.0,0.2936,73.0,0.3523,88.0
2025-10-09,0.2829,72.0,0.3285,90.0,0.2862,70.0,0.2948,73.0,0.3035,75.0,0.247,55.0,0.2428,69.0,0.2324,41.0,0.2996,76.0,0.3669,92.0
2025-10-08,0.2705,68.0,0.3105,87.0,0.2945,73.0,0.2941,72.0,0.2936,71.0,0.2489,56.0,0.243,69.0,0.2308,40.0,0.2916,71.0,0.3524,88.0
2025-10-07,0.2587,65.0,0.2782,81.0,0.272,63.0,0.2714,62.0,0.2708,61.0,0.2481,56.0,0.2421,69.0,0.2232,35.0,0.284,67.0,0.3447,86.0
2025-10-06,0.2695,68.0,0.2971,85.0,0.2835,68.0,0.2826,67.0,0.2817,66.0,0.2611,62.0,0.2524,73.0,0.2208,33.0,0.284,67.0,0.3472,87.0
2025-10-02,0.1218,13.0,0.2335,67.0,0.2675,61.0,0.27,62.0,0.2726,61.0,0.2605,62.0,0.2592,77.0,0.2199,33.0,0.2796,63.0,0.3392,84.0
2025-10-01,0.1624,28.0,0.2513,74.0,0.2721,63.0,0.2656,60.0,0.2592,55.0,0.2944,71.0,0.2656,79.0,0.2068,24.0,0.276,60.0,0.3451,86.0
2025-09-30,0.2338,57.0,0.2753,80.0,0.2556,56.0,0.2553,54.0,0.2551,52.0,0.2944,71.0,0.2644,79.0,0.2178,31.0,0.2813,64.0,0.3448,86.0
2025-09-29,0.2528,63.0,0.2782,81.0,0.2512,53.0,0.2496,51.0,0.2479,48.0,0.2941,71.0,0.2649,79.0,0.2211,34.0,0.2811,64.0,0.3411,85.0
2025-09-24,0.3758,87.0,0.2893,83.0,0.2582,57.0,0.2537,53.0,0.2492,49.0,0.2968,71.0,0.2631,78.0,0.218,32.0,0.2782,62.0,0.3383,84.0
2025-09-23,0.3439,83.0,0.2988,85.0,0.2736,64.0,0.2652,59.0,0.2568,53.0,0.2952,71.0,0.2637,78.0,0.2151,30.0,0.272,57.0,0.3289,79.0
2025-09-22,0.328,81.0,0.2837,82.0,0.2849,69.0,0.2834,67.0,0.282,66.0,0.2961,71.0,0.2635,78.0,0.2167,31.0,0.2788,62.0,0.3408,85.0
2025-09-19,0.2739,69.0,0.2314,65.0,0.2541,55.0,0.2528,53.0,0.2516,50.0,0.2925,70.0,0.2607,78.0,0.2134,28.0,0.275,60.0,0.3366,83.0
2025-09-18,0.2671,67.0,0.272,79.0,0.2644,60.0,0.2621,57.0,0.2598,55.0,0.2923,70.0,0.261,78.0,0.2174,31.0,0.2769,61.0,0.3364,83.0
2025-09-17,0.2671,67.0,0.2721,79.0,0.258,57.0,0.2591,56.0,0.2602,55.0,0.2926,70.0,0.2615,78.0,0.2162,30.0,0.2768,61.0,0.3374,83.0
2025-09-16,0.2449,60.0,0.2779,80.0,0.2895,71.0,0.276,64.0,0.2624,57.0,0.2912,70.0,0.2612,78.0,0.2162,30.0,0.2762,60.0,0.3361,83.0
2025-09-15,0.1768,35.0,0.229,64.0,0.2687,62.0,0.2601,57.0,0.2515,50.0,0.2897,70.0,0.2591,77.0,0.2158,30.0,0.2766,61.0,0.3374,83.0
2025-09-12,0.1508,24.0,0.2254,62.0,0.2461,50.0,0.2388,45.0,0.2316,38.0,0.2887,69.0,0.2593,77.0,0.2325,41.0,0.2747,59.0,0.3169,71.0
2025-09-10,0.1585,27.0,0.2303,65.0,0.2556,56.0,0.2589,56.0,0.2621,56.0,0.2895,70.0,0.2604,77.0,0.2298,39.0,0.2741,59.0,0.3184,72.0
2025-09-09,0.1431,21.0,0.1739,32.0,0.2601,57.0,0.2576,55.0,0.255,52.0,0.2887,69.0,0.2588,77.0,0.2317,40.0,0.2724,57.0,0.313,68.0
2025-09-08,0.1429,21.0,0.1788,36.0,0.258,57.0,0.2582,56.0,0.2585,54.0,0.2929,70.0,0.2598,77.0,0.2286,38.0,0.2739,59.0,0.3193,73.0
2025-09-05,0.1281,15.0,0.1542,21.0,0.2672,61.0,0.2506,52.0,0.2341,40.0,0.2984,72.0,0.2622,78.0,0.2392,45.0,0.2779,62.0,0.3167,71.0
2025-09-04,0.1341,18.0,0.1517,20.0,0.2325,43.0,0.2348,42.0,0.2372,42.0,0.2993,72.0,0.2646,79.0,0.2278,38.0,0.2744,59.0,0.3211,74.0
2025-08-26,0.2717,68.0,0.2273,63.0,0.2271,39.0,0.2183,32.0,0.2095,25.0,0.3103,74.0,0.2729,82.0,0.2184,32.0,0.2629,49.0,0.3074,65.0
2025-08-25,0.1689,31.0,0.2204,60.0,0.2143,32.0,0.2142,28.0,0.214,28.0,0.3082,74.0,0.2727,82.0,0.2036,21.0,0.2558,41.0,0.3079,66.0
2025-08-22,0.1973,43.0,0.2119,55.0,0.2379,46.0,0.2201,33.0,0.2023,22.0,0.3124,75.0,0.2734,82.0,0.2218,34.0,0.2638,50.0,0.3057,65.0
2025-08-21,0.1511,24.0,0.2138,56.0,0.2469,51.0,0.243,47.0,0.2391,43.0,0.3097,74.0,0.2718,81.0,0.2139,28.0,0.2617,48.0,0.3095,67.0
2025-08-20,0.1512,24.0,0.2169,57.0,0.2531,54.0,0.2638,59.0,0.2744,62.0,0.3097,74.0,0.2724,82.0,0.2668,63.0,0.2639,50.0,0.261,25.0
2025-08-19,0.1444,21.0,0.2166,57.0,0.253,54.0,0.2528,53.0,0.2525,51.0,0.3128,75.0,0.2743,82.0,0.2623,61.0,0.2625,49.0,0.2628,27.0
2025-08-18,0.1481,23.0,0.2164,57.0,0.2571,56.0,0.2613,57.0,0.2655,57.0,0.313,75.0,0.2743,82.0,0.2633,61.0,0.2649,51.0,0.2665,30.0
2025-08-15,0.1666,30.0,0.2333,67.0,0.2061,27.0,0.2432,47.0,0.2804,65.0,0.313,75.0,0.2745,82.0,0.266,62.0,0.2665,53.0,0.267,31.0
2025-08-13,0.3694,86.0,0.324,89.0,0.1939,21.0,0.2098,28.0,0.2256,35.0,0.3127,75.0,0.2742,83.0,0.2623,60.0,0.2628,50.0,0.2632,27.0
2025-08-12,0.3659,86.0,0.2974,85.0,0.213,31.0,0.2183,32.0,0.2236,34.0,0.3118,75.0,0.2752,83.0,0.2645,61.0,0.2652,52.0,0.2659,30.0
2025-08-08,0.4193,90.0,0.3016,86.0,0.2108,30.0,0.219,33.0,0.2272,36.0,0.3145,75.0,0.2753,83.0,0.2671,63.0,0.2682,55.0,0.2694,34.0
2025-08-07,0.4211,90.0,0.3136,88.0,0.2309,42.0,0.2427,47.0,0.2545,52.0,0.3145,75.0,0.2753,83.0,0.2072,24.0,0.2634,50.0,0.3196,74.0
2025-08-05,0.4195,90.0,0.2841,82.0,0.2536,55.0,0.2558,54.0,0.258,54.0,0.314,75.0,0.276,83.0,0.2028,21.0,0.2602,47.0,0.3177,72.0
2025-08-04,0.2023,46.0,0.2169,57.0,0.3712,90.0,0.3728,91.0,0.3745,90.0,0.3053,74.0,0.2752,83.0,0.2134,28.0,0.275,60.0,0.3367,83.0
2025-08-01,0.1888,40.0,0.2134,56.0,0.4085,93.0,0.407,93.0,0.4054,93.0,0.3143,75.0,0.2757,83.0,0.2175,31.0,0.2769,61.0,0.3364,83.0
2025-07-31,0.2259,55.0,0.1972,47.0,0.4077,93.0,0.4102,94.0,0.4128,93.0,0.3161,76.0,0.2752,83.0,0.2134,28.0,0.2712,57.0,0.3289,79.0
2025-07-30,0.2438,60.0,0.2055,52.0,0.3996,93.0,0.4006,93.0,0.4016,93.0,0.3152,75.0,0.2751,83.0,0.2147,28.0,0.274,59.0,0.3332,82.0
2025-07-29,0.2199,53.0,0.1857,40.0,0.332,84.0,0.3376,85.0,0.3432,85.0,0.3142,75.0,0.2741,83.0,0.2121,27.0,0.2605,47.0,0.3089,67.0
2025-07-28,0.2267,55.0,0.1817,38.0,0.3364,85.0,0.331,83.0,0.3256,81.0,0.3151,75.0,0.2749,83.0,0.2091,25.0,0.2679,54.0,0.3267,78.0
2025-07-25,0.2214,53.0,0.204,51.0,0.2866,70.0,0.2818,67.0,0.2769,63.0,0.3179,76.0,0.2763,83.0,0.2124,27.0,0.2684,55.0,0.3244,77.0
2025-07-24,0.2171,51.0,0.1913,44.0,0.2866,70.0,0.2815,67.0,0.2764,63.0,0.3211,76.0,0.2761,83.0,0.2111,26.0,0.2687,55.0,0.3263,78.0
2025-07-22,0.2182,52.0,0.1924,44.0,0.2917,72.0,0.3006,75.0,0.3096,77.0,0.3199,76.0,0.2759,83.0,0.2123,27.0,0.2709,57.0,0.3294,80.0
2025-07-21,0.1573,27.0,0.183,39.0,0.2938,73.0,0.2926,72.0,0.2915,70.0,0.319,76.0,0.2752,83.0,0.2024,21.0,0.2648,51.0,0.3273,78.0
2025-07-18,0.1896,40.0,0.2203,60.0,0.2526,54.0,0.2602,57.0,0.2677,59.0,0.319,76.0,0.2752,83.0,0.2126,27.0,0.2719,57.0,0.3312,81.0
2025-07-17,0.1675,30.0,0.2317,66.0,0.2832,68.0,0.2758,64.0,0.2684,60.0,0.3183,76.0,0.275,83.0,0.211,26.0,0.2708,57.0,0.3307,80.0
2025-07-16,0.1629,28.0,0.2156,57.0,0.2566,56.0,0.2536,53.0,0.2505,50.0,0.3181,76.0,0.2742,83.0,0.2133,28.0,0.272,57.0,0.3307,80.0
2025-07-15,0.1723,33.0,0.2187,59.0,0.2669,61.0,0.257,55.0,0.2471,48.0,0.318,76.0,0.2743,83.0,0.214,28.0,0.2727,57.0,0.3314,81.0
2025-07-14,0.1724,33.0,0.234,67.0,0.2552,56.0,0.2432,48.0,0.2311,38.0,0.3187,76.0,0.2749,83.0,0.1975,18.0,0.264,51.0,0.3306,80.0
2025-07-11,0.2399,59.0,0.2495,73.0,0.2365,45.0,0.233,41.0,0.2296,38.0,0.3194,76.0,0.2754,83.0,0.2113,26.0,0.2705,56.0,0.3297,80.0
2025-07-09,0.2976,75.0,0.2613,77.0,0.2393,47.0,0.2344,42.0,0.2296,38.0,0.3207,76.0,0.2765,83.0,0.2092,25.0,0.2682,55.0,0.3273,78.0
2025-07-08,0.3386,82.0,0.2781,81.0,0.2432,49.0,0.2376,44.0,0.2319,39.0,0.3206,76.0,0.2768,83.0,0.2131,28.0,0.2716,57.0,0.3301,80.0
2025-07-07,0.3399,82.0,0.2797,81.0,0.2519,54.0,0.2468,49.0,0.2418,45.0,0.3206,76.0,0.2769,83.0,0.2122,27.0,0.2718,57.0,0.3313,81.0
