date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-29,0.1019,2.0,0.1227,1.0,0.2414,9.0,0.2386,8.0,0.2358,7.0,0.3047,34.0,0.2642,36.0,0.3025,3.0,0.3075,3.0,0.3125,4.0
2025-07-28,0.1247,5.0,0.1336,1.0,0.2371,8.0,0.2337,7.0,0.2303,6.0,0.3057,34.0,0.2646,36.0,0.3029,3.0,0.3061,3.0,0.3093,4.0
2025-07-25,0.1253,5.0,0.1363,2.0,0.2198,3.0,0.2157,2.0,0.2116,2.0,0.3099,35.0,0.2669,37.0,0.3012,3.0,0.3076,3.0,0.314,5.0
2025-07-24,0.1285,6.0,0.1378,2.0,0.2505,13.0,0.239,8.0,0.2276,5.0,0.3098,35.0,0.2679,38.0,0.3065,5.0,0.3116,4.0,0.3168,5.0
2025-07-22,0.3421,66.0,0.2041,21.0,0.2422,9.0,0.2355,7.0,0.2288,5.0,0.3097,35.0,0.2678,38.0,0.3062,4.0,0.3124,4.0,0.3185,6.0
2025-07-21,0.3815,73.0,0.2105,24.0,0.2488,12.0,0.2412,9.0,0.2336,7.0,0.3098,35.0,0.2679,38.0,0.3099,6.0,0.3157,6.0,0.3216,7.0
2025-07-18,0.5972,92.0,0.3105,66.0,0.203,1.0,0.2102,2.0,0.2174,3.0,0.3108,35.0,0.2678,38.0,0.3054,4.0,0.314,5.0,0.3225,8.0
2025-07-17,0.5862,91.0,0.3601,79.0,0.2174,3.0,0.2184,3.0,0.2195,3.0,0.31,35.0,0.2679,38.0,0.3072,5.0,0.3138,5.0,0.3204,7.0
2025-07-16,0.5744,91.0,0.361,79.0,0.2308,6.0,0.2304,6.0,0.23,6.0,0.3098,35.0,0.268,38.0,0.3118,6.0,0.3164,6.0,0.3209,7.0
2025-07-15,0.5694,91.0,0.3626,80.0,0.2555,15.0,0.2448,10.0,0.2342,7.0,0.3104,35.0,0.2682,38.0,0.3138,7.0,0.3184,7.0,0.323,8.0
2025-07-14,0.5998,92.0,0.3661,80.0,0.2587,16.0,0.2527,14.0,0.2467,11.0,0.3093,35.0,0.2679,38.0,0.3135,7.0,0.3215,8.0,0.3295,13.0
2025-07-11,0.4559,82.0,0.3407,75.0,0.2697,22.0,0.2744,24.0,0.279,26.0,0.3012,31.0,0.2666,37.0,0.314,7.0,0.3191,7.0,0.3242,9.0
2025-07-09,0.2332,33.0,0.2522,43.0,0.3044,37.0,0.2784,26.0,0.2524,14.0,0.2886,24.0,0.2618,35.0,0.3123,6.0,0.3155,6.0,0.3187,6.0
2025-07-08,0.1514,10.0,0.1696,7.0,0.2241,4.0,0.222,4.0,0.22,3.0,0.2867,24.0,0.2583,33.0,0.3072,5.0,0.311,4.0,0.3148,5.0
2025-07-07,0.1475,9.0,0.1744,9.0,0.224,4.0,0.2314,6.0,0.2388,9.0,0.2866,24.0,0.2585,33.0,0.3065,5.0,0.3123,4.0,0.318,6.0
2025-07-03,0.1228,5.0,0.1647,6.0,0.1789,1.0,0.1886,1.0,0.1982,1.0,0.2862,23.0,0.2587,33.0,0.3074,5.0,0.3108,4.0,0.3143,5.0
