date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-25,0.0141,,0.0209,,,,,,,,0.0331,,0.0315,,,,,,,
2025-06-24,0.0227,,0.0218,,,,,,,,0.0332,,0.0315,,,,,,,
2025-06-23,0.0242,,0.022,,,,,,,,0.0332,,0.0317,,,,,,,
2025-06-20,0.0243,,0.0199,,,,,,,,0.0331,,0.0316,,,,,,,
2025-06-18,0.0253,,0.0197,,,,,,,,0.034,,0.0319,,,,,,,
2025-06-17,0.0267,,0.0279,,,,,,,,0.034,,0.032,,,,,,,
2025-06-16,0.0356,,0.0275,,,,,,,,0.0339,,0.0319,,,,,,,
2025-06-13,0.0367,,0.028,,,,,,,,0.034,,0.0319,,,,,,,
2025-06-12,0.0388,,0.0287,,,,,,0.1182,,0.034,,0.0319,,,,,,0.1182,
2025-06-11,0.0371,,0.028,,,,,,0.1042,,0.0339,,0.0319,,,,,,0.1042,
2025-06-10,0.0543,,0.0307,,,,,,0.1093,,0.0348,,0.0319,,,,,,0.1093,
2025-06-09,0.0547,,0.0309,,,,,,0.106,,0.0348,,0.0319,,,,,,0.106,
2025-06-06,0.056,,0.0233,,,,,,0.1066,,0.0348,,0.0315,,,,,,0.1066,
2025-06-05,0.0525,,0.0233,,,,,,0.1187,,0.0343,,0.0316,,,,,,0.1187,
2025-06-04,0.0529,,0.0224,,,,,,0.1017,,0.0344,,0.0316,,,,,,0.1017,
2025-06-03,0.0489,,0.0209,,,,,,0.1037,,0.0341,,0.0315,,,,,,0.1037,
2025-06-02,0.0482,,0.021,,,,,,0.1012,,0.034,,0.0322,,,,,,0.1012,
2025-05-30,0.0297,,0.0181,,,,,,0.1121,,0.033,,0.0321,,,,,,0.1121,
2025-05-29,0.0297,,0.0188,,,,,,0.1112,,0.033,,0.032,,,,,,0.1112,
2025-05-28,0.0253,,0.0198,,,,,,0.1118,,0.0329,,0.032,,,,,,0.1118,
2025-05-27,0.0219,,0.0215,,,,,,0.1131,,0.0333,,0.0321,,,,,,0.1131,
2025-05-23,0.0264,,0.0296,,,,,,0.1139,,0.0333,,0.0321,,,,,,0.1139,
2025-05-22,0.0275,,0.0307,,,,,,0.101,,0.0333,,0.0322,,,,,,0.101,
2025-05-21,0.0268,,0.0307,,,,,,0.1027,,0.0333,,0.0322,,,,,,0.1027,
2025-05-20,0.0283,,0.03,,,,,,0.1129,,0.0331,,0.0322,,,,,,0.1129,
2025-05-19,0.0283,,0.029,,,,,,0.1012,,0.0331,,0.0322,,,,,,0.1012,
2025-05-16,0.0319,,0.0348,,,,,,0.1098,,0.0331,,0.0323,,,,,,0.1098,
2025-05-15,0.0325,,0.0337,,,,,,0.1009,,0.0331,,0.0323,,,,,,0.1009,
2025-05-14,0.0272,,0.0303,,,,,,0.0995,,0.0329,,0.032,,,,,,0.0995,
2025-05-13,0.0279,,0.0287,,,,,,0.1027,,0.033,,0.0322,,,,,,0.1027,
2025-05-12,0.0272,,0.029,,,,,,0.1015,,0.0331,,0.0322,,,,,,0.1015,
2025-05-09,0.0252,,0.0324,,,,,,0.1092,,0.0328,,0.0322,,,,,,0.1092,
2025-05-08,0.0261,,0.0331,,,,,,0.1079,,0.0331,,0.0325,,,,,,0.1079,
2025-05-07,0.022,,0.0262,,,,,,0.1057,,0.0333,,0.0322,,,,,,0.1057,
2025-05-06,0.0253,,0.0274,,,,,,0.1084,,0.0333,,0.0324,,,,,,0.1084,
2025-05-05,0.0395,,0.024,,,,,,0.1078,,0.0341,,0.0323,,,,,,0.1078,
2025-05-02,0.0453,,0.0238,,,,,,0.1088,,0.0341,,0.0325,,,,,,0.1088,
2025-05-01,0.0424,,0.0249,,,,,,0.1036,,0.0362,,0.0326,,,,,,0.1036,
2025-04-30,0.0162,,0.0217,,,,,,0.1085,,0.0355,,0.0325,,,,,,0.1085,
