date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-24,0.2751,70.0,0.1576,57.0,0.1577,2.0,0.1978,20.0,0.2378,38.0,0.2984,65.0,0.1891,77.0,0.2556,44.0,0.2573,46.0,0.2591,44.0
2025-06-23,0.2286,57.0,0.135,44.0,0.2273,35.0,0.2334,38.0,0.2394,39.0,0.2969,64.0,0.1885,77.0,0.2758,59.0,0.2747,59.0,0.2736,54.0
2025-06-20,0.2265,57.0,0.1364,44.0,0.1926,17.0,0.2071,25.0,0.2216,31.0,0.2971,64.0,0.1884,77.0,0.2628,51.0,0.2629,52.0,0.263,47.0
2025-06-18,0.2543,65.0,0.1302,40.0,0.4217,89.0,0.3325,77.0,0.2433,40.0,0.2972,64.0,0.1889,77.0,0.2674,54.0,0.2688,56.0,0.2701,53.0
2025-06-17,0.2535,65.0,0.1286,38.0,0.2141,28.0,0.2631,50.0,0.3121,67.0,0.2985,65.0,0.1893,77.0,0.2735,57.0,0.2733,57.0,0.2731,54.0
2025-06-16,0.2544,65.0,0.1249,35.0,0.2304,37.0,0.2596,48.0,0.2888,59.0,0.2978,65.0,0.1891,77.0,0.2733,57.0,0.2718,57.0,0.2704,53.0
2025-06-13,0.2657,68.0,0.1193,30.0,0.1398,1.0,0.184,10.0,0.2282,34.0,0.2989,65.0,0.1893,77.0,0.2728,57.0,0.273,57.0,0.2732,54.0
2025-06-12,0.1217,16.0,0.1037,16.0,0.2188,32.0,0.2218,33.0,0.2249,33.0,0.2954,64.0,0.1889,77.0,0.2613,49.0,0.2749,59.0,0.2885,64.0
2025-06-11,0.123,16.0,0.1168,27.0,0.1791,9.0,0.2018,22.0,0.2246,33.0,0.2955,64.0,0.189,77.0,0.2639,52.0,0.2619,51.0,0.2598,44.0
2025-06-10,0.1412,23.0,0.1114,22.0,0.1987,21.0,0.206,25.0,0.2132,28.0,0.2957,64.0,0.189,77.0,0.2592,47.0,0.2592,48.0,0.2592,44.0
2025-06-09,0.1238,17.0,0.1433,49.0,0.24,41.0,0.27,54.0,0.3001,63.0,0.2948,64.0,0.1891,77.0,0.2577,46.0,0.2572,46.0,0.2567,41.0
2025-06-06,0.1285,18.0,0.1598,57.0,0.2066,25.0,0.1987,20.0,0.1909,15.0,0.2949,64.0,0.1891,77.0,0.2612,49.0,0.2606,49.0,0.26,44.0
2025-06-05,0.1642,32.0,0.1546,56.0,0.2349,38.0,0.2309,37.0,0.2269,34.0,0.2947,64.0,0.1888,77.0,0.2666,54.0,0.2666,54.0,0.2665,50.0
2025-06-04,0.1462,25.0,0.1548,56.0,0.2356,39.0,0.2341,38.0,0.2326,36.0,0.2943,64.0,0.1888,77.0,0.242,31.0,0.243,31.0,0.244,28.0
2025-06-03,0.1434,24.0,0.1652,61.0,0.2978,64.0,0.27,54.0,0.2422,40.0,0.2945,64.0,0.1888,77.0,0.2682,55.0,0.2699,56.0,0.2716,53.0
2025-06-02,0.1643,32.0,0.1638,60.0,0.2439,42.0,0.2443,42.0,0.2447,41.0,0.2947,64.0,0.1884,77.0,0.2647,52.0,0.267,55.0,0.2692,52.0
2025-05-30,0.1614,31.0,0.1764,65.0,0.2421,41.0,0.2142,28.0,0.1862,12.0,0.2946,64.0,0.1885,77.0,0.2636,51.0,0.2632,52.0,0.2627,47.0
2025-05-29,0.1747,37.0,0.1684,62.0,0.2603,49.0,0.2777,57.0,0.2951,61.0,0.295,64.0,0.1873,77.0,0.2716,57.0,0.2754,60.0,0.2792,57.0
2025-05-28,0.1337,21.0,0.1537,55.0,0.2493,44.0,0.2436,42.0,0.2378,38.0,0.295,64.0,0.1869,77.0,0.2659,53.0,0.2665,54.0,0.2671,50.0
2025-05-27,0.2182,55.0,0.1652,61.0,0.2361,39.0,0.237,39.0,0.2379,38.0,0.2942,64.0,0.1869,77.0,0.2629,51.0,0.2639,52.0,0.2649,48.0
2025-05-23,0.2209,56.0,0.172,64.0,0.3428,78.0,0.2885,63.0,0.2342,37.0,0.2943,64.0,0.1867,76.0,0.2616,50.0,0.2593,48.0,0.2571,42.0
2025-05-22,0.4439,92.0,0.1987,76.0,0.2416,41.0,0.2466,43.0,0.2517,44.0,0.2942,64.0,0.1862,76.0,0.2662,53.0,0.2685,56.0,0.2708,53.0
2025-05-21,0.444,92.0,0.2027,78.0,0.2524,45.0,0.2506,44.0,0.2488,42.0,0.2933,64.0,0.1858,76.0,0.2681,55.0,0.268,56.0,0.2678,51.0
2025-05-20,0.4426,92.0,0.1971,75.0,0.2392,40.0,0.237,39.0,0.2349,37.0,0.2933,64.0,0.1855,76.0,0.2389,28.0,0.2491,38.0,0.2593,44.0
2025-05-19,0.4464,92.0,0.1862,70.0,0.2359,39.0,0.2377,40.0,0.2395,39.0,0.2927,64.0,0.1864,76.0,0.2607,49.0,0.2616,50.0,0.2624,47.0
2025-05-16,0.4481,92.0,0.1947,75.0,0.2291,36.0,0.2326,38.0,0.236,37.0,0.2926,64.0,0.1869,77.0,0.2584,47.0,0.2608,50.0,0.2631,48.0
2025-05-15,0.3924,89.0,0.1867,70.0,0.2345,38.0,0.2222,34.0,0.2098,27.0,0.2931,64.0,0.1865,76.0,0.2618,50.0,0.2639,52.0,0.266,49.0
2025-05-14,0.3721,87.0,0.1792,67.0,0.2543,46.0,0.2691,53.0,0.2839,57.0,0.2932,64.0,0.1885,77.0,0.2722,57.0,0.2699,56.0,0.2675,50.0
2025-05-13,0.1077,12.0,0.1403,47.0,0.4305,90.0,0.4912,96.0,0.5518,94.0,0.2903,64.0,0.1955,80.0,0.2754,59.0,0.2876,68.0,0.2999,70.0
2025-05-12,0.1895,43.0,0.1308,40.0,0.4368,90.0,0.4185,92.0,0.4002,85.0,0.2894,63.0,0.1953,80.0,0.2646,52.0,0.2686,56.0,0.2726,53.0
2025-05-09,0.1999,47.0,0.1354,44.0,0.3724,83.0,0.3708,85.0,0.3691,81.0,0.2891,63.0,0.1949,80.0,0.2796,61.0,0.2851,66.0,0.2905,66.0
2025-05-08,0.2196,55.0,0.1583,57.0,0.3556,81.0,0.412,91.0,0.4683,91.0,0.2895,63.0,0.1947,80.0,0.2725,57.0,0.28,63.0,0.2876,63.0
2025-05-07,0.2309,59.0,0.1502,53.0,0.4276,90.0,0.4033,90.0,0.379,83.0,0.2899,63.0,0.1948,80.0,0.2761,59.0,0.2778,61.0,0.2795,57.0
2025-05-06,0.2316,59.0,0.1513,54.0,0.3927,86.0,0.3788,87.0,0.3649,81.0,0.29,63.0,0.1948,80.0,0.2889,65.0,0.2995,73.0,0.3101,77.0
2025-05-05,0.2031,50.0,0.1493,53.0,0.3647,82.0,0.3562,83.0,0.3478,78.0,0.2892,63.0,0.1949,80.0,0.279,61.0,0.2902,69.0,0.3015,71.0
2025-05-02,0.187,42.0,0.156,57.0,0.2774,57.0,0.3002,66.0,0.3231,70.0,0.2891,63.0,0.1949,80.0,0.2849,64.0,0.2925,69.0,0.3001,71.0
2025-05-01,0.1481,26.0,0.1694,62.0,0.3493,79.0,0.3291,76.0,0.3089,66.0,0.288,63.0,0.1949,80.0,0.2979,70.0,0.2966,71.0,0.2952,68.0
2025-04-30,0.1018,10.0,0.1659,61.0,0.2815,59.0,0.3106,70.0,0.3396,75.0,0.2879,63.0,0.1943,80.0,0.2919,67.0,0.2958,71.0,0.2998,70.0
2025-04-29,0.1634,31.0,0.1679,62.0,0.285,60.0,0.2978,65.0,0.3107,66.0,0.2874,63.0,0.1931,79.0,0.2864,65.0,0.2917,69.0,0.297,68.0
2025-04-28,0.1586,30.0,0.1744,65.0,0.2733,54.0,0.2652,51.0,0.2571,46.0,0.2871,62.0,0.1929,79.0,0.277,60.0,0.2944,70.0,0.3119,78.0
2025-04-25,0.1588,30.0,0.175,65.0,0.3064,67.0,0.3142,71.0,0.322,70.0,0.287,62.0,0.1928,79.0,0.2726,57.0,0.2873,68.0,0.302,71.0
2025-04-24,0.159,30.0,0.1796,67.0,0.3123,69.0,0.3273,75.0,0.3423,76.0,0.287,62.0,0.1928,79.0,0.2999,70.0,0.3067,78.0,0.3136,79.0
2025-04-23,0.1594,30.0,0.1898,72.0,0.3257,74.0,0.3351,78.0,0.3445,77.0,0.2866,62.0,0.1923,78.0,0.2894,66.0,0.2962,71.0,0.3031,72.0
2025-04-22,0.2096,52.0,0.1885,71.0,0.3487,79.0,0.3584,83.0,0.368,81.0,0.2866,62.0,0.1915,78.0,0.2959,69.0,0.3066,78.0,0.3172,81.0
2025-04-21,0.3186,79.0,0.2105,81.0,0.408,88.0,0.3506,82.0,0.2932,60.0,0.2853,62.0,0.1911,78.0,0.2912,66.0,0.3039,76.0,0.3166,81.0
2025-04-17,0.5548,95.0,0.3834,98.0,0.3229,73.0,0.331,76.0,0.3392,75.0,0.2849,62.0,0.19,77.0,0.2863,65.0,0.2944,70.0,0.3026,72.0
2025-04-16,0.5613,95.0,0.4136,98.0,0.3711,83.0,0.3926,88.0,0.4142,87.0,0.285,62.0,0.1896,77.0,0.2686,55.0,0.2768,61.0,0.2849,62.0
2025-04-15,0.5803,96.0,0.4583,99.0,0.4497,91.0,0.4384,93.0,0.4272,88.0,0.2854,62.0,0.1896,77.0,0.2759,59.0,0.2852,67.0,0.2944,67.0
2025-04-14,0.7517,98.0,0.4684,99.0,0.3164,71.0,0.3173,72.0,0.3182,69.0,0.2852,62.0,0.1904,78.0,0.2885,65.0,0.2965,71.0,0.3045,73.0
2025-04-11,0.7742,98.0,0.4768,99.0,0.3471,79.0,0.3668,85.0,0.3864,83.0,0.2849,62.0,0.1894,77.0,0.3203,85.0,0.3269,91.0,0.3336,89.0
2025-04-10,0.7383,98.0,0.4723,99.0,0.545,94.0,,,0.4193,87.0,0.2816,62.0,0.1885,77.0,0.3244,86.0,,,0.3459,92.0
2025-04-09,0.7265,98.0,0.469,99.0,0.3206,72.0,,,0.2844,57.0,0.2776,61.0,0.1867,76.0,0.3061,74.0,,,0.3109,77.0
2025-04-08,0.3719,86.0,0.3323,96.0,0.5433,94.0,,,0.5206,93.0,0.251,48.0,0.1691,69.0,0.3348,91.0,,,0.35,92.0
2025-04-07,0.3551,85.0,0.2883,93.0,0.6325,98.0,,,0.5229,93.0,0.2511,48.0,0.1645,67.0,0.3668,94.0,,,0.3583,93.0
2025-04-04,0.6023,96.0,0.2558,91.0,0.5102,93.0,,,0.5517,94.0,0.2521,49.0,0.1582,65.0,0.3264,87.0,,,0.3496,92.0
2025-04-03,0.4722,93.0,0.2354,86.0,0.3429,78.0,,,0.2789,56.0,0.2341,33.0,0.1563,64.0,0.2796,61.0,,,0.287,63.0
