date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-23,0.2936,35.0,0.4103,53.0,0.6953,75.0,0.6828,73.0,0.6704,72.0,0.7435,94.0,0.609,86.0,0.7148,84.0,0.7225,84.0,0.7302,84.0
2025-09-22,0.3375,43.0,0.3805,46.0,0.5797,57.0,0.7909,84.0,1.002,97.0,0.753,94.0,0.6122,87.0,0.7285,86.0,0.728,85.0,0.7275,84.0
2025-09-19,0.5487,74.0,0.5075,70.0,0.6687,72.0,0.6822,72.0,0.6957,76.0,0.752,94.0,0.6118,87.0,0.7165,85.0,0.6904,80.0,0.6643,77.0
2025-09-18,0.5764,77.0,0.526,73.0,0.6697,72.0,0.6852,73.0,0.7007,77.0,0.7598,95.0,0.6127,87.0,0.737,87.0,0.7392,86.0,0.7413,86.0
2025-09-17,0.556,75.0,0.5264,73.0,0.7498,81.0,0.7184,77.0,0.687,75.0,0.758,95.0,0.6147,87.0,0.6067,72.0,0.6695,77.0,0.7323,84.0
2025-09-16,0.5571,75.0,0.5437,75.0,0.7498,81.0,0.7503,80.0,0.7508,82.0,0.7618,95.0,0.619,88.0,0.7358,87.0,0.7478,87.0,0.7597,88.0
2025-09-15,0.5547,75.0,0.5302,73.0,0.7905,85.0,0.7892,84.0,0.788,85.0,0.7643,95.0,0.6202,88.0,0.6406,76.0,0.6894,80.0,0.7383,85.0
2025-09-12,0.5488,74.0,0.5246,72.0,0.8031,86.0,0.7618,81.0,0.7204,79.0,0.7658,96.0,0.6211,88.0,0.7447,88.0,0.7301,85.0,0.7155,83.0
2025-09-10,0.3333,42.0,0.5479,76.0,0.6818,73.0,0.6725,71.0,0.6632,72.0,0.7602,95.0,0.6171,87.0,0.6756,80.0,0.6876,80.0,0.6997,81.0
2025-09-09,0.3392,43.0,0.5316,74.0,0.678,73.0,0.6617,70.0,0.6453,69.0,0.7605,95.0,0.6177,87.0,0.6998,82.0,0.6992,82.0,0.6987,81.0
2025-09-08,0.3393,43.0,0.5368,74.0,0.6762,73.0,0.6709,71.0,0.6657,72.0,0.7611,95.0,0.6181,88.0,0.69,81.0,0.6942,81.0,0.6985,81.0
