date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-25,0.4625,,0.7478,,1.3884,,1.769,,2.1495,,1.1055,,1.1214,,1.5539,,1.7183,,1.8827,
2025-07-24,0.6651,,0.7909,,1.491,,1.6749,,1.8588,,1.115,,1.1232,,1.3529,,1.6158,,1.8787,
2025-07-22,1.0238,,0.9152,,1.5721,,1.7251,,1.8781,,1.1302,,1.1386,,1.2343,,1.4244,,1.6146,
2025-07-21,1.0676,,0.945,,1.577,,1.834,,2.0911,,1.1593,,1.1577,,1.3277,,1.6246,,1.9214,
2025-07-18,1.0656,,0.9418,,1.56,,1.8099,,2.0598,,1.16,,1.1588,,1.2538,,1.3844,,1.5151,
2025-07-17,1.0443,,0.9115,,1.5104,,1.9845,,2.4586,,1.1559,,1.157,,1.3437,,1.6086,,1.8734,
2025-07-16,1.1002,,0.9654,,1.6396,,2.096,,2.5524,,1.1562,,1.1586,,1.3335,,1.6257,,1.9179,
2025-07-15,1.1087,,1.0755,,1.6255,,2.0358,,2.4461,,1.1524,,1.1631,,1.3876,,1.6572,,1.9268,
2025-07-14,1.1371,,1.0639,,1.9782,,2.1427,,2.3072,,1.1564,,1.1719,,1.1091,,1.481,,1.8528,
2025-07-11,0.8934,,0.9975,,1.4509,,2.0046,,2.5582,,1.1524,,1.1773,,1.3093,,1.5964,,1.8836,
2025-07-09,1.1617,,1.2311,,1.525,,1.8722,,2.2195,,1.1538,,1.1861,,1.336,,1.6064,,1.8768,
2025-07-08,1.2484,,1.1904,,1.6489,,1.9674,,2.286,,1.1801,,1.1971,,1.4072,,1.645,,1.8828,
2025-07-07,1.119,,1.2648,,1.5192,,1.9806,,2.442,,1.1707,,1.2014,,1.6287,,1.7462,,1.8638,
2025-07-03,1.2902,,1.2026,,1.5588,,1.6825,,1.8062,,1.1782,,1.204,,1.3393,,1.5984,,1.8576,
2025-07-02,1.1708,,1.2142,,1.6869,,1.9933,,2.2997,,1.1738,,1.2047,,1.3072,,1.442,,1.5768,
2025-07-01,1.0883,,1.2039,,1.8415,,1.9671,,2.0927,,1.1726,,1.2025,,1.3324,,1.554,,1.7756,
2025-06-30,1.0593,,1.0875,,1.7499,,2.0887,,2.4275,,1.1728,,1.2035,,1.4759,,1.665,,1.8542,
2025-06-27,1.1631,,1.0097,,1.6533,,1.7102,,1.7671,,1.1607,,1.1966,,1.1143,,1.3367,,1.5592,
2025-06-26,1.3967,,1.0592,,1.7396,,1.797,,1.8543,,1.156,,1.1939,,1.307,,1.5444,,1.7817,
2025-06-25,1.399,,1.0684,,1.6135,,1.6169,,1.6203,,1.1502,,1.1925,,1.2099,,1.4255,,1.6411,
2025-06-24,1.4461,,1.188,,1.4831,,1.5225,,1.5619,,1.1586,,1.199,,1.1635,,1.465,,1.7665,
2025-06-23,1.3525,,1.1539,,1.6433,,1.9212,,2.1991,,1.1646,,1.1967,,1.2357,,1.4506,,1.6656,
2025-06-20,1.3395,,1.1433,,1.6183,,1.801,,1.9838,,1.1641,,1.1957,,1.2997,,1.5118,,1.7238,
2025-06-18,1.3151,,1.1423,,1.7452,,2.444,,3.1427,,1.1679,,1.1966,,1.2817,,1.407,,1.5322,
2025-06-17,1.0337,,1.1227,,2.1755,,2.5285,,2.8814,,1.1596,,1.194,,1.4062,,1.6694,,1.9327,
2025-06-16,0.7727,,1.1033,,3.0419,,2.3753,,1.7087,,1.142,,1.19,,1.181,,1.3689,,1.5568,
2025-06-13,0.5817,,1.096,,1.528,,2.1383,,2.7486,,1.1427,,1.1905,,1.2972,,1.4412,,1.5853,
