date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-24,0.6027,,0.0,,,,,,,,0.6219,,0.0,,,,,,,
2025-06-23,0.6027,,0.0,,,,,,,,0.6219,,0.0,,,,,,,
2025-06-20,0.6186,,0.4068,,,,,,,,0.6225,,0.4181,,,,,,,
2025-06-18,0.6173,,0.4131,,,,,,,,0.6241,,0.4202,,,,,,,
2025-06-17,0.6571,,0.4142,,,,,,,,0.6244,,0.4201,,,,,,,
2025-06-16,0.6651,,0.4035,,,,,,,,0.6247,,0.4202,,,,,,,
2025-06-13,0.4187,,0.2553,,,,,,,,0.6127,,0.4139,,,,,,,
2025-06-12,0.4066,,0.2608,,,,,,,,0.6122,,0.414,,,,,,,
2025-06-11,0.3875,,0.2642,,,,,,,,0.6118,,0.4143,,,,,,,
2025-06-10,0.3762,,0.2531,,,,,,,,0.6121,,0.4143,,,,,,,
2025-06-09,0.4482,,0.2566,,,,,,,,0.6172,,0.4145,,,,,,,
2025-06-06,0.3601,,0.2537,,,,,,,,0.6139,,0.415,,,,,,,
2025-06-05,0.3736,,0.2477,,,,,,,,0.6142,,0.415,,,,,,,
2025-06-04,0.377,,0.231,,,,,,,,0.6135,,0.4143,,,,,,,
2025-06-03,0.3848,,0.2352,,,,,,,,0.6134,,0.4138,,,,,,,
2025-06-02,0.39,,0.2081,,,,,,,,0.6149,,0.4133,,,,,,,
2025-05-30,0.3102,,0.2513,,,,,,,,0.6124,,0.4131,,,,,,,
2025-05-29,0.2932,,0.2383,,,,,,,,0.612,,0.4134,,,,,,,
2025-05-28,0.31,,0.2225,,,,,,,,0.6127,,0.4141,,,,,,,
2025-05-27,0.3401,,0.2315,,,,,,,,0.6133,,0.4142,,,,,,,
2025-05-23,0.2308,,0.2311,,,,,,,,0.6109,,0.4137,,,,,,,
2025-05-22,0.4159,,0.2821,,,,,,,,0.6109,,0.4141,,,,,,,
2025-05-21,0.4783,,0.3024,,,,,,,,0.6108,,0.4142,,,,,,,
2025-05-20,0.5301,,0.2812,,,,,,,,0.6106,,0.4127,,,,,,,
2025-05-19,0.5013,,0.2816,,0.4409,,0.4507,,0.4605,,0.6122,,0.4128,,0.4222,,0.4553,,0.4884,
2025-05-16,0.4234,,0.312,,0.4286,,0.426,,0.4234,,0.613,,0.4132,,0.4162,,0.4436,,0.471,
2025-05-15,0.4341,,0.3812,,0.4053,,0.4455,,0.4857,,0.6126,,0.4132,,0.4093,,0.4426,,0.4758,
2025-05-14,0.4202,,0.3801,,0.4135,,0.447,,0.4804,,0.6129,,0.4134,,0.4385,,0.4446,,0.4506,
2025-05-13,0.3819,,0.3463,,0.4691,,0.41,,0.351,,0.6098,,0.4119,,0.4386,,0.4235,,0.4084,
2025-05-12,0.3419,,0.3264,,0.4329,,0.4122,,0.3914,,0.6063,,0.4113,,0.4175,,0.4344,,0.4513,
2025-05-09,0.271,,0.3335,,0.4316,,0.4349,,0.4382,,0.602,,0.4108,,0.448,,0.4532,,0.4584,
2025-05-08,0.2715,,0.3882,,0.3904,,0.457,,0.5235,,0.6039,,0.4109,,0.4234,,0.4626,,0.5018,
2025-05-07,0.2701,,0.3683,,0.5772,,0.5212,,0.4651,,0.6047,,0.4102,,0.4818,,0.4777,,0.4736,
2025-05-06,0.2682,,0.3058,,0.5106,,0.6361,,0.7616,,0.6039,,0.4067,,0.4631,,0.489,,0.515,
2025-05-05,0.2245,,0.318,,0.6675,,0.6002,,0.533,,0.6032,,0.4068,,0.4904,,0.4959,,0.5014,
2025-05-02,0.3152,,0.3402,,0.4898,,0.5584,,0.6269,,0.6029,,0.4063,,0.4671,,0.4814,,0.4957,
2025-05-01,0.4088,,0.3701,,0.4545,,0.4995,,0.5445,,0.6026,,0.407,,0.4579,,0.4948,,0.5318,
2025-04-30,0.3906,,0.3525,,0.6546,,0.581,,0.5074,,0.6194,,0.4066,,0.5442,,0.5258,,0.5074,
2025-04-29,0.4652,,0.2953,,0.4844,,0.4928,,0.5011,,0.622,,0.406,,0.4745,,0.4878,,0.5011,
2025-04-28,0.4776,,0.3015,,0.5526,,0.5162,,0.4798,,0.623,,0.406,,0.4997,,0.4898,,0.4798,
2025-04-25,0.7085,,0.3299,,0.5961,,0.5379,,0.4797,,0.6238,,0.4057,,0.525,,0.5024,,0.4797,
2025-04-24,0.6964,,0.3143,,0.7696,,0.6287,,0.4879,,0.6227,,0.405,,0.553,,0.5205,,0.4879,
2025-04-23,0.6308,,0.2962,,0.5054,,0.5661,,0.6269,,0.6188,,0.4034,,0.4836,,0.5202,,0.5568,
2025-04-22,0.6297,,0.3072,,0.6395,,0.635,,0.6305,,0.6136,,0.402,,0.5041,,0.532,,0.5599,
2025-04-21,0.7845,,0.3856,,0.756,,0.7302,,0.7044,,0.6142,,0.4022,,0.5632,,0.5549,,0.5465,
2025-04-17,1.8935,,1.0312,,0.5884,,0.5823,,0.5762,,0.6135,,0.4019,,0.5203,,0.5446,,0.5689,
2025-04-16,1.9555,,1.1471,,0.6918,,0.6924,,0.6931,,0.6136,,0.4019,,0.5399,,0.5577,,0.5755,
2025-04-15,1.8843,,1.217,,0.5977,,0.5621,,0.5265,,0.6049,,0.4003,,0.4837,,0.5051,,0.5265,
2025-04-14,1.9926,,1.2364,,0.538,,0.5985,,0.659,,0.6086,,0.4013,,0.5034,,0.5258,,0.5482,
2025-04-11,2.0769,,1.2439,,0.7168,,0.7148,,0.7127,,0.6085,,0.4006,,0.554,,0.5582,,0.5625,
2025-04-10,2.0392,,1.235,,0.8004,,,,0.6282,,0.6036,,0.3997,,0.5585,,,,0.6484,
2025-04-09,1.9731,,1.2129,,0.7151,,,,,,0.5948,,0.3985,,0.652,,,,,
2025-04-08,0.6035,,0.7533,,0.7653,,,,0.8798,,0.4429,,0.3273,,0.5663,,,,0.6216,
