date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-06,0.2611,34.0,0.2811,45.0,,,,,0.5387,85.0,0.3635,32.0,0.3276,48.0,,,,,0.5387,97.0
2025-10-02,0.1757,9.0,0.2384,18.0,,,,,0.6074,92.0,0.363,32.0,0.3412,55.0,,,,,0.6074,99.0
2025-10-01,0.169,7.0,0.243,20.0,,,,,0.6581,94.0,0.3667,34.0,0.3453,63.0,,,,,0.6581,100.0
2025-09-30,0.172,8.0,0.2626,33.0,,,,,0.6702,95.0,0.4109,74.0,0.3526,65.0,,,,,0.6702,100.0
2025-09-29,0.1927,13.0,0.4278,88.0,,,,,0.5999,92.0,0.4112,74.0,0.3531,66.0,,,,,0.5999,99.0
2025-09-24,0.2882,43.0,0.4242,88.0,,,,,0.3809,34.0,0.4113,74.0,0.3533,67.0,,,,,0.4642,85.0
2025-09-23,0.2899,43.0,0.4268,88.0,,,,,0.3699,28.0,0.4111,74.0,0.3535,67.0,,,,,0.3699,38.0
2025-09-22,0.2887,43.0,0.4208,87.0,,,,,,,0.4111,74.0,0.3533,67.0,,,,,,
2025-09-19,0.2916,44.0,0.4081,85.0,,,,,0.3725,30.0,0.4105,74.0,0.3522,65.0,,,,,0.7676,100.0
2025-09-18,0.2313,25.0,0.2208,10.0,,,,,,,0.4097,73.0,0.3427,57.0,,,,,,
2025-09-17,0.1553,6.0,0.2106,8.0,,,,,0.4369,59.0,0.4078,71.0,0.3422,57.0,,,,,0.7806,100.0
2025-09-16,0.163,7.0,0.1837,3.0,,,,,0.477,72.0,0.4081,72.0,0.3414,55.0,,,,,0.477,88.0
2025-09-15,0.1707,8.0,0.2258,12.0,,,,,0.4063,46.0,0.4077,71.0,0.3415,55.0,,,,,0.4063,61.0
2025-09-12,0.2303,24.0,0.2235,11.0,,,,,,,0.4077,71.0,0.3416,56.0,,,,,,
2025-09-10,0.2209,22.0,0.2207,10.0,,,,,,,0.4083,72.0,0.3419,57.0,,,,,,
2025-09-09,0.22,21.0,0.2137,9.0,0.3299,20.0,0.3386,16.0,0.3473,20.0,0.4085,72.0,0.342,57.0,0.3299,25.0,0.3386,27.0,0.3473,28.0
2025-09-08,0.2018,17.0,0.2135,9.0,0.5056,71.0,0.4362,57.0,0.3669,28.0,0.408,72.0,0.3422,57.0,0.5056,97.0,0.4362,84.0,0.3669,37.0
2025-09-05,0.1965,14.0,0.2136,9.0,,,,,,,0.4079,71.0,0.3424,57.0,,,,,,
2025-09-04,0.1621,6.0,0.1647,1.0,0.481,66.0,,,,,0.4114,74.0,0.3423,57.0,0.481,94.0,,,,
2025-08-26,0.3926,73.0,0.2784,44.0,0.4015,45.0,0.4303,53.0,0.4591,68.0,0.4133,76.0,0.3442,61.0,0.4015,67.0,0.4303,81.0,0.4591,84.0
2025-08-25,0.4518,82.0,0.2983,51.0,0.3501,27.0,0.365,25.0,0.3799,34.0,0.4131,76.0,0.3442,61.0,0.3501,37.0,0.365,42.0,0.3799,45.0
2025-08-22,0.4681,84.0,0.3044,54.0,,,,,0.5256,83.0,0.4142,76.0,0.3443,61.0,,,,,0.3632,35.0
2025-08-21,0.2574,32.0,0.2267,12.0,0.409,47.0,0.4932,72.0,0.5775,90.0,0.4027,68.0,0.3408,54.0,0.409,71.0,0.4932,98.0,0.5775,98.0
2025-08-20,0.3608,65.0,0.2609,32.0,,,,,0.6664,95.0,0.4028,68.0,0.341,54.0,,,,,0.5066,94.0
2025-08-19,0.3606,65.0,0.2622,33.0,,,,,0.6654,94.0,0.4068,70.0,0.3444,61.0,,,,,0.3701,38.0
2025-08-18,0.3715,68.0,0.2515,26.0,0.2964,11.0,0.3118,7.0,0.3272,14.0,0.4074,70.0,0.3436,60.0,0.2904,10.0,0.305,9.0,0.3195,15.0
2025-08-15,0.3974,74.0,0.2585,31.0,0.4013,45.0,0.5234,78.0,0.6455,94.0,0.407,70.0,0.3436,60.0,0.4013,67.0,0.5234,99.0,0.6455,99.0
2025-08-13,0.3272,,0.2313,,,,,,0.515,,0.4049,,0.3427,,,,,,0.515,
