date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-15,0.2861,,0.3429,,1.7257,,,,,,0.8233,,0.8456,,1.7257,,,,,
2025-08-14,0.2864,,0.3397,,1.2039,,2.5245,,3.8451,,0.8289,,0.8505,,1.2039,,2.5245,,3.8451,
2025-08-13,0.2864,,0.3128,,,,,,4.5158,,0.8301,,0.8513,,,,,,4.5158,
2025-08-12,0.254,,0.2637,,,,,,4.0856,,0.8312,,0.8525,,,,,,4.0856,
2025-08-08,0.1191,,0.2177,,,,,,0.8944,,0.8386,,0.8591,,,,,,0.8944,
2025-08-07,0.1244,,0.2342,,,,,,4.2167,,0.845,,0.8636,,,,,,4.2167,
2025-08-05,0.1095,,0.2674,,,,,,0.8833,,0.8561,,0.87,,,,,,0.8833,
2025-08-04,0.1066,,0.3119,,,,,,4.1645,,0.8592,,0.871,,,,,,4.1645,
2025-08-01,0.1065,,0.3661,,,,,,1.1939,,0.8612,,0.8732,,,,,,1.1939,
2025-07-31,0.5612,,0.4428,,,,,,1.1525,,0.8619,,0.8742,,,,,,1.1525,
2025-07-30,0.5568,,0.4747,,3.9571,,2.504,,1.051,,0.8634,,0.8772,,3.9571,,2.504,,1.051,
2025-07-29,0.5943,,0.504,,,,,,2.9587,,0.867,,0.8787,,,,,,2.9587,
2025-07-28,0.6483,,0.5426,,,,,,1.4791,,0.8669,,0.8805,,,,,,1.4791,
2025-07-25,0.7777,,0.7058,,1.0486,,,,,,0.8669,,0.8808,,1.0486,,,,,
2025-07-24,0.7638,,0.6991,,,,,,1.4853,,0.8755,,0.8866,,,,,,1.4853,
2025-07-22,0.7092,,0.7106,,1.1436,,2.6925,,4.2414,,0.8716,,0.8862,,1.1436,,2.6925,,4.2414,
2025-07-21,0.7017,,0.7194,,1.1027,,,,,,0.8726,,0.8873,,1.1027,,,,,
2025-07-18,0.6814,,0.7159,,1.3047,,2.5848,,3.8649,,0.873,,0.8883,,1.3047,,2.5848,,3.8649,
2025-07-17,0.6056,,0.758,,0.9141,,,,,,0.8748,,0.8892,,0.9141,,,,,
2025-07-16,0.6455,,0.6882,,1.0787,,,,,,0.8672,,0.8832,,1.0787,,,,,
2025-07-15,0.7094,,0.6904,,0.9916,,,,,,0.8667,,0.8848,,0.9916,,,,,
2025-07-14,0.5972,,0.659,,,,,,,,0.8677,,0.8828,,,,,,,
2025-07-11,0.601,,0.6855,,1.1007,,,,,,0.8668,,0.8831,,1.1007,,,,,
2025-07-09,0.7339,,0.7018,,,,,,1.6299,,0.8672,,0.8862,,,,,,1.6299,
2025-07-08,0.9219,,0.8682,,0.7525,,1.2037,,1.6549,,0.8651,,0.8869,,0.9551,,1.305,,1.6549,
2025-07-07,0.8038,,0.804,,,,,,,,0.8605,,0.8834,,,,,,,
2025-07-03,0.9344,,0.8722,,,,,,,,0.8672,,0.8848,,,,,,,
2025-07-02,0.8846,,0.8989,,,,,,,,0.8646,,0.8863,,,,,,,
2025-07-01,0.9438,,0.9458,,,,,,,,0.8628,,0.8858,,,,,,,
2025-06-30,0.9411,,0.9566,,,,,,,,0.8631,,0.8888,,,,,,,
2025-06-27,0.893,,0.9274,,,,,,,,0.8613,,0.8871,,,,,,,
2025-06-26,0.9253,,0.9004,,,,,,,,0.8693,,0.889,,,,,,,
2025-06-25,0.6241,,0.7607,,1.1159,,,,,,0.8565,,0.8804,,1.1159,,,,,
2025-06-24,0.6254,,0.6797,,1.2385,,2.7132,,4.1878,,0.8565,,0.8773,,1.0287,,0.9638,,0.899,
2025-06-23,0.56,,0.6489,,,,,,,,0.8565,,0.8768,,,,,,,
2025-06-20,0.3796,,0.6115,,,,,,,,0.8524,,0.873,,,,,,,
2025-06-18,0.53,,0.6432,,,,,,,,0.8539,,0.8748,,,,,,,
2025-06-17,0.4779,,0.6528,,,,,,,,0.8536,,0.8764,,,,,,,
2025-06-16,0.7345,,0.6839,,,,,,,,0.8528,,0.8784,,,,,,,
2025-06-13,0.7093,,0.6915,,,,,,,,0.851,,0.8772,,,,,,,
2025-06-12,0.8211,,0.7832,,,,,,,,0.851,,0.8775,,,,,,,
2025-06-11,0.8268,,0.8897,,1.078,,3.3976,,5.7173,,0.8523,,0.8811,,1.031,,0.962,,0.8931,
2025-06-10,0.7533,,0.8564,,,,,,1.1577,,0.8597,,0.881,,,,,,1.1577,
2025-06-09,0.7493,,0.8298,,0.9121,,1.0912,,1.2702,,0.8608,,0.8825,,2.9866,,2.1284,,1.2702,
2025-06-06,0.7492,,0.82,,2.7537,,,,,,0.8608,,0.8823,,2.7537,,,,,
2025-06-05,0.4935,,0.8055,,,,,,,,0.8574,,0.8833,,,,,,,
2025-06-04,0.5208,,0.8139,,,,,,,,0.8568,,0.8816,,,,,,,
2025-06-03,0.5553,,0.7452,,,,,,,,0.8528,,0.8791,,,,,,,
2025-06-02,0.5954,,0.6031,,,,,,1.4079,,0.8525,,0.8731,,,,,,1.4079,
2025-05-30,0.5778,,0.5985,,,,,,4.5923,,0.8537,,0.8718,,,,,,4.5923,
2025-05-29,1.0509,,0.7924,,0.9893,,1.0401,,1.0909,,0.8521,,0.8718,,0.9893,,1.0401,,1.0909,
2025-05-28,1.0432,,0.7919,,,,,,1.3776,,0.8523,,0.8717,,,,,,1.3776,
2025-05-27,0.9491,,0.7942,,0.937,,1.0365,,1.136,,0.8503,,0.871,,0.937,,1.0365,,1.136,
2025-05-23,0.8625,,0.8625,,1.4612,,1.3324,,1.2036,,0.8508,,0.8705,,1.4612,,1.672,,1.8827,
2025-05-22,1.1288,,0.8966,,1.6044,,,,,,0.8512,,0.8748,,1.6044,,,,,
2025-05-21,1.1338,,0.8813,,1.1278,,1.661,,2.1941,,0.8524,,0.8765,,1.1278,,1.661,,2.1941,
2025-05-20,1.085,,0.8591,,,,,,3.5639,,0.8527,,0.8754,,,,,,3.5639,
2025-05-19,0.8462,,0.6676,,,,,,0.5854,,0.8293,,0.868,,,,,,1.098,
2025-05-16,0.8423,,0.6899,,,,,,1.1652,,0.8294,,0.8691,,,,,,1.1652,
2025-05-15,0.8492,,0.6773,,,,,,,,0.8274,,0.8703,,,,,,,
2025-05-14,0.744,,0.5815,,,,,,,,0.8139,,0.8665,,,,,,,
2025-05-13,0.6333,,0.5109,,,,,,,,0.8136,,0.8676,,,,,,,
2025-05-12,0.6224,,0.595,,,,,,,,0.8329,,0.8822,,,,,,,
2025-05-09,0.4644,,0.6007,,,,,,,,0.8445,,0.8874,,,,,,,
2025-05-08,0.4839,,0.6872,,,,,,,,0.8446,,0.8918,,,,,,,
2025-05-07,0.491,,0.6816,,,,,,,,0.8483,,0.8921,,,,,,,
2025-05-06,0.5481,,0.6772,,,,,,,,0.8485,,0.8921,,,,,,,
2025-05-05,0.3929,,0.6554,,,,,,,,0.8485,,0.8921,,,,,,,
2025-05-02,0.2647,,0.6479,,,,,,,,0.848,,0.8919,,,,,,,
2025-05-01,0.2497,,0.6454,,,,,,,,0.8492,,0.8896,,,,,,,
2025-04-30,0.2988,,0.7214,,,,,,,,0.8491,,0.89,,,,,,,
2025-04-29,0.3092,,0.682,,,,,,,,0.851,,0.8881,,,,,,,
2025-04-28,0.3113,,0.6724,,,,,,,,0.8518,,0.889,,,,,,,
2025-04-25,0.4406,,0.7856,,,,,,,,0.8552,,0.8946,,,,,,,
2025-04-24,0.8804,,0.9539,,,,,,,,0.8566,,0.9035,,,,,,,
2025-04-23,0.9079,,0.9668,,,,,,,,1.9111,,0.9377,,,,,,,
2025-04-22,0.9232,,0.9641,,,,,,,,1.9115,,0.9355,,,,,,,
2025-04-21,0.898,,0.9643,,,,,,,,1.9114,,0.9325,,,,,,,
2025-04-17,0.8958,,1.0941,,,,,,,,1.9109,,0.9317,,,,,,,
2025-04-16,1.1638,,1.337,,,,,,,,1.9107,,0.9325,,,,,,,
2025-04-15,1.7303,,1.7406,,,,,,,,1.9108,,0.9277,,,,,,,
2025-04-14,1.6472,,1.7019,,,,,,,,1.9006,,0.9182,,,,,,,
2025-04-11,1.7905,,1.7173,,,,,,,,1.9015,,0.9175,,,,,,,
2025-04-10,1.7779,,1.7034,,,,,,,,1.9123,,0.9218,,,,,,,
2025-04-09,1.8265,,1.695,,,,,,,,1.9142,,0.919,,,,,,,
2025-03-26,0.3809,,0.7394,,0.9887,,,,0.9156,,1.8804,,0.8376,,0.9951,,,,1.0451,
2025-03-25,0.3616,,0.7617,,4.6925,,,,0.9161,,1.8804,,0.8391,,2.2561,,,,1.0564,
2025-03-24,0.4003,,0.7636,,3.9491,,,,1.0481,,1.885,,0.8463,,0.9988,,,,1.0726,
2025-03-21,0.4903,,0.8512,,3.8183,,,,1.0191,,1.8851,,0.8465,,1.0706,,,,1.0594,
2025-03-20,0.5722,,0.8016,,4.0827,,,,1.0485,,1.8857,,0.8454,,4.0827,,,,1.0814,
2025-03-19,0.6435,,0.8567,,0.9831,,,,1.1957,,1.8857,,0.844,,3.6279,,,,1.0827,
2025-03-18,0.6859,,0.8572,,1.0133,,,,1.4536,,1.886,,0.8423,,3.4521,,,,1.1087,
2025-03-17,0.8012,,1.0459,,1.0354,,,,1.1562,,1.8842,,0.8387,,1.0527,,,,1.1562,
2025-03-14,1.4041,,1.2692,,1.0095,,,,1.1124,,1.8847,,0.8377,,1.0631,,,,1.1124,
2025-03-13,1.5118,,1.3072,,1.1175,,,,0.9838,,1.8864,,0.8378,,1.0298,,,,0.9838,
2025-03-12,1.3922,,1.2716,,1.0864,,,,1.0962,,1.8837,,0.8331,,2.0846,,,,1.0962,
2025-03-11,1.5203,,1.4075,,2.2546,,,,2.4413,,1.8833,,0.8333,,2.1704,,,,4.4936,
2025-03-10,1.5244,,1.3526,,1.4475,,,,2.0942,,1.8836,,0.831,,2.194,,,,2.0942,
2025-03-07,1.5053,,1.3544,,1.2054,,,,1.1745,,1.8855,,0.8345,,1.3911,,,,1.1148,
2025-03-06,1.2153,,1.1795,,1.1637,,,,1.4675,,1.8815,,0.8196,,1.0468,,,,1.1623,
2025-03-05,1.0351,,0.9988,,1.2597,,,,1.3707,,1.8674,,0.8032,,3.2597,,,,1.0482,
2025-03-04,0.9193,,0.9471,,4.3041,,,,1.1265,,1.8629,,0.8003,,2.1773,,,,1.1265,
2025-03-03,0.9303,,0.9144,,1.1043,,,,1.0877,,1.8638,,0.7982,,1.0304,,,,0.9171,
2025-02-28,0.4838,,0.6829,,3.9731,,,,1.0887,,1.8557,,0.7859,,3.6088,,,,1.0887,
2025-02-27,0.5148,,0.6848,,4.1699,,,,1.1067,,1.858,,0.787,,3.6186,,,,1.003,
2025-02-26,0.555,,0.726,,3.831,,,,0.8557,,1.8569,,0.7842,,3.0032,,,,1.0149,
2025-02-25,0.624,,0.7231,,4.1268,,,,1.0669,,1.8573,,0.7836,,3.006,,,,1.0669,
2025-02-24,0.6076,,0.64,,3.5665,,,,0.8896,,1.8567,,0.778,,2.5196,,,,0.8896,
2025-02-10,0.6864,,0.7779,,3.6486,,,,0.953,,1.8693,,0.7806,,2.6551,,,,0.953,
2025-02-03,0.6744,,0.7422,,3.2724,,,,1.25,,1.8719,,0.79,,1.3464,,,,1.25,
2025-01-31,0.8577,,0.7565,,2.2561,,,,1.0413,,1.8717,,0.7935,,1.4608,,,,1.0413,
2025-01-30,0.8686,,0.7358,,1.5605,,,,1.0976,,1.8736,,0.7958,,2.1954,,,,1.0976,
2025-01-29,0.7884,,0.7444,,4.1409,,,,1.0874,,1.8758,,0.8036,,0.9249,,,,1.0874,
2025-01-28,0.8667,,0.7531,,4.2472,,,,0.9587,,1.9053,,0.8198,,1.2163,,,,0.9587,
2025-01-27,0.8913,,0.7564,,4.1284,,,,1.0814,,1.9057,,0.8197,,2.3325,,,,1.0814,
2025-01-22,0.6057,,0.6382,,1.3766,,,,1.0928,,1.9002,,0.8148,,1.1864,,,,1.0928,
2025-01-21,0.5172,,0.6516,,1.2208,,,,0.939,,1.8996,,0.8142,,1.2208,,,,0.939,
2025-01-17,0.5503,,0.6688,,0.9408,,,,1.9148,,1.8996,,0.8128,,0.8143,,,,1.9148,
2025-01-16,0.5326,,0.665,,1.0854,,,,1.8016,,1.8979,,0.8127,,2.1244,,,,1.8016,
2025-01-15,0.6106,,0.6934,,1.6808,,,,1.451,,1.8972,,0.8149,,1.2353,,,,1.451,
2025-01-14,0.6839,,0.6807,,1.2328,,,,1.7999,,1.8981,,0.8211,,2.1072,,,,1.7999,
2025-01-13,0.6628,,0.7378,,1.4143,,,,1.3396,,1.8985,,0.8233,,1.1641,,,,1.5642,
2025-01-10,0.6415,,0.7443,,1.3849,,,,1.6502,,1.9016,,0.8265,,1.1146,,,,1.6502,
