date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-26,0.1755,44.0,0.1882,57.0,0.2227,54.0,0.2234,54.0,0.224,53.0,0.2253,56.0,0.1926,59.0,0.2857,83.0,0.2752,77.0,0.2648,61.0
2025-11-25,0.2428,69.0,0.2013,65.0,0.2258,56.0,0.2328,60.0,0.2397,63.0,0.2253,56.0,0.1926,59.0,0.2763,79.0,0.2692,73.0,0.2621,57.0
2025-11-20,0.1677,41.0,0.1944,62.0,0.2583,73.0,0.2513,70.0,0.2444,65.0,0.2246,56.0,0.1937,60.0,0.2928,85.0,0.2806,79.0,0.2684,64.0
2025-11-18,0.2008,54.0,0.1923,61.0,0.2712,77.0,0.2626,74.0,0.254,70.0,0.2257,56.0,0.1922,59.0,0.2473,63.0,0.2774,78.0,0.3074,85.0
2025-11-17,0.2107,57.0,0.1963,63.0,0.2991,85.0,0.2796,80.0,0.2601,72.0,0.2259,56.0,0.1921,59.0,0.2458,62.0,0.2764,77.0,0.3069,84.0
2025-11-14,0.5324,97.0,0.2757,88.0,0.2322,60.0,0.234,60.0,0.2358,60.0,0.2252,56.0,0.1918,57.0,0.2385,57.0,0.272,75.0,0.3056,83.0
2025-11-13,0.5297,97.0,0.2832,89.0,0.2561,73.0,0.2539,71.0,0.2517,69.0,0.2244,56.0,0.1914,57.0,0.2415,59.0,0.2726,75.0,0.3038,82.0
2025-11-12,0.5459,97.0,0.2817,89.0,0.2447,67.0,0.2422,65.0,0.2396,63.0,0.2253,56.0,0.1907,57.0,0.2361,55.0,0.2666,72.0,0.297,79.0
2025-11-10,0.5576,97.0,0.2844,89.0,0.249,69.0,0.2528,70.0,0.2565,71.0,0.2252,56.0,0.1908,57.0,0.2337,53.0,0.2695,74.0,0.3053,83.0
2025-11-07,0.5702,98.0,0.2843,89.0,0.2491,69.0,0.259,73.0,0.269,76.0,0.2254,56.0,0.1907,57.0,0.2348,54.0,0.2744,76.0,0.3141,88.0
2025-11-06,0.5997,98.0,0.2873,90.0,0.306,86.0,0.2794,79.0,0.2528,69.0,0.2256,56.0,0.1902,56.0,0.2425,59.0,0.2714,75.0,0.3003,81.0
2025-11-05,0.1485,32.0,0.2001,65.0,0.4009,96.0,0.3839,95.0,0.3669,94.0,0.1908,27.0,0.1851,51.0,0.2565,69.0,0.2954,85.0,0.3342,93.0
2025-11-04,0.1676,41.0,0.1834,55.0,0.3577,94.0,0.3551,93.0,0.3525,93.0,0.1902,26.0,0.1841,50.0,0.2535,67.0,0.2917,84.0,0.3299,93.0
2025-11-03,0.1496,33.0,0.1785,52.0,0.3462,92.0,0.3684,94.0,0.3907,95.0,0.192,28.0,0.185,51.0,0.2618,73.0,0.2998,86.0,0.3378,94.0
2025-10-31,0.1727,43.0,0.1635,42.0,0.3213,89.0,0.3335,91.0,0.3456,92.0,0.1918,28.0,0.1847,51.0,0.2608,72.0,0.2947,84.0,0.3287,92.0
2025-10-30,0.1719,43.0,0.1513,34.0,0.3361,91.0,0.3376,91.0,0.3392,91.0,0.1929,30.0,0.1857,51.0,0.2564,69.0,0.2932,84.0,0.3301,93.0
2025-10-29,0.1637,39.0,0.1452,30.0,0.3645,94.0,0.3584,93.0,0.3523,93.0,0.1937,31.0,0.1857,51.0,0.2525,67.0,0.2898,83.0,0.3272,92.0
2025-10-28,0.0771,5.0,0.119,12.0,0.3353,91.0,0.3254,90.0,0.3155,87.0,0.193,30.0,0.1867,52.0,0.2553,69.0,0.2863,81.0,0.3173,89.0
2025-10-27,0.0658,3.0,0.1263,16.0,0.3225,89.0,0.3163,88.0,0.31,86.0,0.1929,30.0,0.2008,65.0,0.2544,68.0,0.2873,82.0,0.3202,90.0
