date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-12-02,0.3359,,0.398,,0.7793,,0.7416,,0.7039,,0.0,,0.0,,0.6757,,0.7278,,0.78,
2025-11-26,0.5126,,0.477,,0.6223,,0.69,,0.7576,,0.0,,0.0,,0.6694,,0.7194,,0.7695,
2025-11-25,0.4756,,0.4802,,0.7575,,0.8164,,0.8754,,0.0,,0.0,,0.7151,,0.7604,,0.8057,
2025-11-20,0.5463,,0.5501,,0.7534,,0.7286,,0.7038,,0.0,,0.0,,0.6833,,0.7222,,0.7611,
2025-11-18,0.4923,,0.4985,,1.1774,,0.9596,,0.7418,,0.0,,0.0,,0.7291,,0.7612,,0.7932,
2025-11-17,0.5439,,0.5202,,0.7156,,0.7246,,0.7337,,0.0,,0.0,,0.7497,,0.7492,,0.7488,
2025-11-14,0.5455,,0.5215,,0.6154,,0.9146,,1.2138,,0.0,,0.0,,0.6938,,0.7155,,0.7373,
2025-11-13,0.6561,,0.5333,,0.759,,0.9306,,1.1021,,0.0,,0.0,,0.7458,,0.7788,,0.8117,
2025-11-12,0.6039,,0.5304,,0.6488,,0.8963,,1.1438,,0.0,,0.0,,0.7086,,0.7494,,0.7902,
2025-11-10,0.6087,,0.5014,,0.635,,0.7993,,0.9636,,0.0,,0.0,,0.7378,,0.7652,,0.7925,
2025-11-07,0.6556,,0.5311,,0.9486,,0.8998,,0.8511,,0.0,,0.0,,0.7011,,0.7522,,0.8034,
2025-11-06,0.6552,,0.5496,,0.9962,,0.8956,,0.7949,,0.0,,0.0,,0.6901,,0.7514,,0.8128,
2025-11-05,0.6537,,0.5592,,0.8466,,0.8513,,0.856,,0.0,,0.0,,0.6511,,0.7439,,0.8367,
2025-11-04,0.7218,,0.5689,,0.7812,,0.9319,,1.0826,,0.0,,0.0,,0.6885,,0.7766,,0.8647,
2025-11-03,0.6811,,0.5372,,0.9756,,0.8606,,0.7457,,0.0,,0.0,,0.6749,,0.7505,,0.826,
2025-10-31,0.678,,0.5119,,0.8247,,0.9564,,1.0882,,0.0,,0.0,,0.6551,,0.7448,,0.8345,
2025-10-30,0.6797,,0.5474,,0.7155,,0.8129,,0.9103,,0.0,,0.0,,0.6891,,0.7715,,0.8539,
2025-10-29,0.7588,,0.5487,,0.5925,,0.5889,,0.5852,,0.0,,0.0,,0.6073,,0.6398,,0.6723,
2025-10-28,0.8159,,0.5407,,0.5314,,0.6122,,0.693,,0.0,,0.0,,0.5049,,0.6023,,0.6997,
2025-10-27,0.8836,,0.663,,0.5379,,0.6,,0.662,,0.0,,0.0,,0.5452,,0.6255,,0.7058,
2025-10-24,0.8541,,0.6484,,0.6041,,0.6512,,0.6984,,0.0,,0.0,,0.5578,,0.6229,,0.688,
2025-10-23,0.8967,,0.6739,,0.7769,,0.7112,,0.6456,,0.0,,0.0,,0.5301,,0.6079,,0.6857,
2025-10-22,0.3674,,0.396,,0.5317,,0.6457,,0.7597,,0.0,,0.0,,0.5041,,0.619,,0.734,
