date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-04,0.2796,78.0,0.2824,84.0,0.2148,57.0,0.219,60.0,0.2233,60.0,0.2022,59.0,0.1774,40.0,0.1951,42.0,0.2283,59.0,0.2615,69.0
2025-11-03,0.2758,77.0,0.2771,84.0,0.2072,54.0,0.2175,59.0,0.2278,62.0,0.2033,59.0,0.1776,40.0,0.199,44.0,0.2393,65.0,0.2796,74.0
2025-10-31,0.2527,72.0,0.2669,82.0,0.2544,73.0,0.2176,59.0,0.1809,30.0,0.2028,59.0,0.1765,39.0,0.2135,55.0,0.2308,61.0,0.2481,63.0
2025-10-30,0.2893,79.0,0.2695,82.0,0.2254,63.0,0.215,57.0,0.2047,48.0,0.2032,59.0,0.176,38.0,0.1941,41.0,0.2195,53.0,0.2449,61.0
2025-10-29,0.2957,80.0,0.2038,63.0,0.2817,79.0,0.2579,73.0,0.234,65.0,0.2033,59.0,0.1709,31.0,0.2043,48.0,0.2252,57.0,0.2461,62.0
2025-10-28,0.1666,44.0,0.1577,36.0,0.2429,70.0,0.2306,65.0,0.2184,57.0,0.1954,53.0,0.1682,28.0,0.1957,42.0,0.2153,48.0,0.2349,54.0
2025-10-27,0.1126,16.0,0.1462,28.0,0.2097,56.0,0.2193,60.0,0.2289,63.0,0.1929,51.0,0.1698,28.0,0.1841,35.0,0.2184,52.0,0.2526,65.0
2025-10-24,0.0958,10.0,0.1432,26.0,0.2023,51.0,0.2058,52.0,0.2094,51.0,0.1939,52.0,0.1715,32.0,0.1752,28.0,0.204,38.0,0.2327,53.0
2025-10-23,0.1197,19.0,0.1585,37.0,0.2143,57.0,0.2071,53.0,0.1999,45.0,0.1939,52.0,0.1718,32.0,0.177,31.0,0.2058,39.0,0.2346,54.0
2025-10-22,0.116,18.0,0.1551,35.0,0.2124,57.0,0.2178,59.0,0.2231,60.0,0.1944,52.0,0.1717,32.0,0.1753,28.0,0.2073,41.0,0.2393,57.0
2025-10-21,0.1013,12.0,0.1376,22.0,0.2249,63.0,0.2146,57.0,0.2043,48.0,0.1937,52.0,0.1711,31.0,0.1906,39.0,0.2122,46.0,0.2338,53.0
2025-10-20,0.1154,18.0,0.1453,28.0,0.2389,69.0,0.2268,64.0,0.2148,55.0,0.1937,52.0,0.1713,31.0,0.1995,45.0,0.2266,57.0,0.2537,66.0
2025-10-15,0.0703,3.0,0.1457,28.0,0.209,55.0,0.2223,61.0,0.2356,66.0,0.1958,54.0,0.1726,33.0,0.198,44.0,0.2194,53.0,0.2408,57.0
2025-10-14,0.1064,14.0,0.1419,25.0,0.2344,67.0,0.2294,65.0,0.2245,61.0,0.197,55.0,0.1726,33.0,0.1903,38.0,0.2192,53.0,0.248,63.0
2025-10-13,0.1037,13.0,0.1424,26.0,0.2336,67.0,0.2268,64.0,0.22,57.0,0.1969,55.0,0.1732,34.0,0.202,46.0,0.228,59.0,0.2539,66.0
2025-10-10,0.0981,11.0,0.1447,27.0,0.2052,53.0,0.2042,50.0,0.2032,47.0,0.1969,55.0,0.1734,35.0,0.1829,34.0,0.2069,41.0,0.2309,51.0
2025-10-09,0.1026,12.0,0.136,21.0,0.2277,65.0,0.2288,65.0,0.2298,63.0,0.205,60.0,0.1758,38.0,0.1882,37.0,0.2124,46.0,0.2365,55.0
2025-10-08,0.1262,22.0,0.1408,24.0,0.2308,66.0,0.2248,62.0,0.2188,57.0,0.2051,60.0,0.1774,40.0,0.1844,35.0,0.2096,43.0,0.2347,54.0
2025-10-07,0.1268,23.0,0.1423,26.0,0.1977,48.0,0.1952,44.0,0.1927,40.0,0.2107,63.0,0.1849,49.0,0.1909,39.0,0.2178,51.0,0.2447,61.0
2025-10-06,0.1699,45.0,0.1395,23.0,0.2339,67.0,0.2182,59.0,0.2026,47.0,0.2319,68.0,0.2078,67.0,0.1851,36.0,0.208,42.0,0.231,52.0
2025-10-02,0.1462,33.0,0.1307,16.0,0.2204,61.0,0.2286,65.0,0.2367,66.0,0.232,68.0,0.2192,70.0,0.1869,37.0,0.2111,44.0,0.2353,54.0
2025-10-01,0.1557,38.0,0.1307,16.0,0.217,60.0,0.2184,59.0,0.2199,57.0,0.2531,72.0,0.2271,71.0,0.1921,40.0,0.2118,45.0,0.2314,52.0
2025-09-30,0.1449,33.0,0.1288,15.0,0.1865,40.0,0.1846,36.0,0.1827,32.0,0.2611,74.0,0.2307,72.0,0.2023,47.0,0.2028,37.0,0.2033,28.0
2025-09-29,0.1461,33.0,0.1221,11.0,0.2273,64.0,0.2104,54.0,0.1936,40.0,0.2613,74.0,0.2309,72.0,0.2101,52.0,0.2032,37.0,0.1964,24.0
2025-09-24,0.086,7.0,0.1227,12.0,0.1493,13.0,0.188,39.0,0.2267,62.0,0.2601,74.0,0.2325,72.0,0.2149,56.0,0.2053,39.0,0.1957,23.0
2025-09-23,0.1015,12.0,0.1236,12.0,0.2217,62.0,0.2234,62.0,0.225,61.0,0.2603,74.0,0.2325,72.0,0.2145,56.0,0.2092,43.0,0.204,28.0
2025-09-22,0.0949,9.0,0.1299,16.0,0.16,20.0,0.1998,48.0,0.2397,67.0,0.2603,74.0,0.2324,72.0,0.2103,52.0,0.2022,37.0,0.1941,22.0
2025-09-19,0.1753,48.0,0.1432,26.0,0.1572,18.0,0.1895,40.0,0.2218,59.0,0.2605,74.0,0.2336,73.0,0.2099,52.0,0.2012,36.0,0.1924,20.0
2025-09-18,0.1934,55.0,0.1532,33.0,0.1541,16.0,0.1862,37.0,0.2184,57.0,0.2626,74.0,0.2343,73.0,0.2058,49.0,0.1986,34.0,0.1915,20.0
2025-09-17,0.1911,54.0,0.1518,32.0,0.2442,70.0,0.2418,69.0,0.2395,67.0,0.2627,74.0,0.2344,73.0,0.1685,25.0,0.2013,36.0,0.2341,53.0
2025-09-16,0.1909,54.0,0.1429,26.0,0.1913,43.0,0.2288,65.0,0.2664,75.0,0.2628,74.0,0.2342,73.0,0.177,31.0,0.2118,45.0,0.2465,62.0
