date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-30,0.0753,,0.0864,,0.1491,,0.1612,,0.1732,,0.2459,,0.1884,,0.1349,,0.1601,,0.1853,
2025-06-27,0.0797,,0.0881,,0.1356,,0.17,,0.2044,,0.2463,,0.1887,,0.129,,0.1593,,0.1896,
2025-06-26,0.1108,,0.0866,,0.0904,,0.13,,0.1697,,0.2462,,0.1886,,0.126,,0.1591,,0.1922,
2025-06-25,0.1103,,0.0856,,0.1524,,0.1491,,0.1457,,0.2462,,0.1886,,0.1398,,0.1632,,0.1865,
2025-06-24,0.1376,,0.0926,,0.152,,0.1696,,0.1872,,0.2463,,0.1888,,0.1365,,0.1654,,0.1943,
2025-06-23,0.1307,,0.0934,,0.1316,,0.1723,,0.213,,0.2465,,0.1898,,0.1288,,0.1668,,0.2048,
2025-06-20,0.1169,,0.0846,,0.1528,,0.1698,,0.1867,,0.2462,,0.1898,,0.1495,,0.171,,0.1924,
2025-06-18,0.1252,,0.0773,,0.1491,,0.1833,,0.2175,,0.2505,,0.1921,,0.1504,,0.1746,,0.1989,
2025-06-17,0.1251,,0.0742,,0.1627,,0.1741,,0.1855,,0.2506,,0.192,,0.1533,,0.1734,,0.1934,
2025-06-16,0.1283,,0.0706,,0.1452,,0.1654,,0.1856,,0.2503,,0.1919,,0.135,,0.1667,,0.1983,
2025-06-13,0.1162,,0.0771,,0.1633,,0.1764,,0.1894,,0.2499,,0.1919,,0.1484,,0.1729,,0.1974,
2025-06-12,0.0844,,0.0676,,0.1251,,0.1572,,0.1894,,0.2495,,0.1917,,0.1275,,0.1624,,0.1973,
2025-06-11,0.0929,,0.0727,,0.141,,0.1548,,0.1687,,0.2497,,0.1917,,0.1422,,0.1658,,0.1894,
2025-06-10,0.0838,,0.0787,,0.1359,,0.161,,0.1861,,0.2497,,0.1916,,0.1352,,0.17,,0.2048,
2025-06-09,0.0866,,0.0877,,0.1442,,0.1632,,0.1822,,0.2497,,0.1917,,0.1491,,0.1705,,0.1919,
2025-06-06,0.0849,,0.097,,0.1394,,0.1616,,0.1837,,0.2497,,0.1917,,0.1335,,0.1654,,0.1972,
2025-06-05,0.0832,,0.1021,,0.1425,,0.1582,,0.1738,,0.2492,,0.1917,,0.1463,,0.1723,,0.1982,
2025-06-04,0.1444,,0.1047,,0.1495,,0.1663,,0.1831,,0.2492,,0.1915,,0.1456,,0.1712,,0.1968,
2025-06-03,0.1545,,0.1103,,0.1325,,0.1586,,0.1846,,0.2492,,0.1915,,0.1251,,0.1651,,0.2051,
2025-06-02,0.1515,,0.1085,,0.1459,,0.1679,,0.1899,,0.2489,,0.1914,,0.135,,0.1715,,0.208,
2025-05-30,0.1948,,0.1163,,0.1468,,0.1679,,0.189,,0.249,,0.1911,,0.1436,,0.1761,,0.2086,
2025-05-29,0.1953,,0.1116,,0.1451,,0.1665,,0.1879,,0.249,,0.1909,,0.1434,,0.173,,0.2026,
2025-05-28,0.1916,,0.1092,,0.1642,,0.1698,,0.1754,,0.2489,,0.1907,,0.167,,0.1834,,0.1997,
2025-05-27,0.1949,,0.1068,,0.1243,,0.1644,,0.2045,,0.2489,,0.1906,,0.1297,,0.1708,,0.2118,
2025-05-23,0.1355,,0.102,,0.1637,,0.1861,,0.2085,,0.2473,,0.1904,,0.1486,,0.186,,0.2233,
2025-05-22,0.133,,0.0959,,0.1943,,0.1911,,0.1879,,0.2475,,0.1904,,0.1497,,0.178,,0.2064,
2025-05-21,0.144,,0.0974,,0.1629,,0.1757,,0.1885,,0.2475,,0.1904,,0.158,,0.1753,,0.1926,
2025-05-20,0.2052,,0.0829,,0.1355,,0.1581,,0.1806,,0.2461,,0.1901,,0.1377,,0.1682,,0.1986,
2025-05-19,0.1992,,0.0839,,0.1157,,0.1659,,0.2161,,0.2461,,0.1901,,0.1206,,0.163,,0.2055,
2025-05-16,0.1918,,0.092,,0.1225,,0.1498,,0.1771,,0.2466,,0.1901,,0.1328,,0.1665,,0.2002,
2025-05-15,0.1939,,0.0973,,0.1442,,0.1578,,0.1714,,0.2465,,0.1901,,0.1331,,0.1673,,0.2015,
2025-05-14,0.2153,,0.0992,,0.1484,,0.1668,,0.1853,,0.2464,,0.1901,,0.1458,,0.1692,,0.1926,
2025-05-13,0.2237,,0.1031,,0.13,,0.1602,,0.1903,,0.2465,,0.1902,,0.1331,,0.166,,0.199,
2025-05-12,0.234,,0.1049,,0.1795,,0.2414,,0.3034,,0.2464,,0.19,,0.1402,,0.1726,,0.2051,
2025-05-09,0.1376,,0.1059,,0.1899,,0.1902,,0.1904,,0.2413,,0.1899,,0.1671,,0.1894,,0.2117,
2025-05-08,0.1396,,0.1384,,0.2617,,0.2372,,0.2126,,0.2414,,0.1898,,0.162,,0.1892,,0.2165,
2025-05-07,0.1333,,0.1351,,0.1777,,0.1974,,0.217,,0.2461,,0.1897,,0.1653,,0.1956,,0.226,
2025-05-06,0.133,,0.1377,,0.2022,,0.207,,0.2117,,0.2469,,0.1898,,0.1674,,0.1966,,0.2257,
2025-05-05,0.115,,0.1382,,0.1987,,0.213,,0.2273,,0.2467,,0.1897,,0.1601,,0.1904,,0.2206,
2025-05-02,0.1338,,0.1561,,0.1707,,0.1954,,0.2201,,0.2466,,0.1897,,0.1514,,0.1878,,0.2242,
2025-05-01,0.1259,,0.1752,,0.2205,,0.2146,,0.2088,,0.2466,,0.1897,,0.1779,,0.1977,,0.2176,
2025-04-30,0.1664,,0.1854,,0.2505,,0.2679,,0.2852,,0.2464,,0.1896,,0.1528,,0.196,,0.2392,
2025-04-29,0.2509,,0.1822,,0.1761,,0.2305,,0.285,,0.2464,,0.1884,,0.161,,0.1958,,0.2307,
2025-04-28,0.2507,,0.1832,,0.2518,,0.2472,,0.2425,,0.2464,,0.1881,,0.1665,,0.1978,,0.229,
2025-04-25,0.2959,,0.2,,0.1965,,0.2086,,0.2207,,0.2464,,0.188,,0.1629,,0.198,,0.2331,
2025-04-24,0.2988,,0.2015,,0.2529,,0.2708,,0.2886,,0.2464,,0.1878,,0.1587,,0.2,,0.2414,
2025-04-23,0.2779,,0.1974,,0.2796,,0.254,,0.2284,,0.2447,,0.1872,,0.2026,,0.216,,0.2293,
2025-04-22,0.2789,,0.2084,,0.2418,,0.2742,,0.3066,,0.2437,,0.186,,0.1833,,0.2199,,0.2565,
