date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-15,0.173,14.0,0.1149,11.0,0.2387,20.0,0.3012,52.0,0.3637,70.0,0.3287,64.0,0.2071,64.0,0.1856,14.0,0.2542,10.0,0.3229,27.0
2025-08-14,0.173,14.0,0.1104,9.0,0.2624,34.0,0.3048,54.0,0.3473,66.0,0.3287,64.0,0.2071,64.0,0.1977,22.0,0.2598,13.0,0.3219,26.0
2025-08-13,0.1321,6.0,0.1193,12.0,0.2275,15.0,0.2849,43.0,0.3423,65.0,0.3279,63.0,0.2076,64.0,0.1981,22.0,0.2586,12.0,0.3192,24.0
2025-08-12,0.1418,7.0,0.1219,14.0,0.2485,26.0,0.2684,32.0,0.2884,42.0,0.329,63.0,0.2084,64.0,0.1964,21.0,0.2594,13.0,0.3225,26.0
2025-08-08,0.1497,8.0,0.1411,28.0,0.2476,25.0,0.2547,23.0,0.2618,27.0,0.329,63.0,0.2088,65.0,0.1969,21.0,0.2681,20.0,0.3393,38.0
2025-08-07,0.3013,59.0,0.1833,56.0,0.2483,26.0,0.2565,25.0,0.2647,28.0,0.3287,63.0,0.2085,64.0,0.2029,26.0,0.2633,17.0,0.3237,27.0
2025-08-05,0.2984,57.0,0.1805,54.0,0.2731,39.0,0.2718,34.0,0.2705,31.0,0.3288,63.0,0.2089,65.0,0.1955,20.0,0.2601,14.0,0.3247,28.0
2025-08-04,0.3063,60.0,0.1749,51.0,0.2837,46.0,0.2868,44.0,0.29,43.0,0.3285,63.0,0.2086,64.0,0.1981,22.0,0.2612,15.0,0.3244,28.0
2025-08-01,0.2648,47.0,0.1785,53.0,0.2749,41.0,0.2748,36.0,0.2746,34.0,0.3289,63.0,0.2089,65.0,0.1977,22.0,0.2691,21.0,0.3405,39.0
2025-07-31,0.2726,50.0,0.1756,51.0,0.2776,42.0,0.2832,42.0,0.2889,42.0,0.3291,63.0,0.2094,65.0,0.2081,30.0,0.26,14.0,0.3118,19.0
2025-07-30,0.3901,78.0,0.1685,47.0,0.2837,46.0,0.2824,41.0,0.2812,38.0,0.3296,63.0,0.2091,65.0,0.1962,21.0,0.2463,6.0,0.2964,12.0
2025-07-29,0.3541,72.0,0.1261,17.0,0.2631,34.0,0.2633,28.0,0.2636,28.0,0.3256,62.0,0.2071,64.0,0.1966,21.0,0.2846,31.0,0.3727,55.0
2025-07-28,0.3519,72.0,0.129,19.0,0.2697,38.0,0.2696,32.0,0.2696,31.0,0.3254,62.0,0.2072,64.0,0.1931,19.0,0.266,18.0,0.339,38.0
2025-07-25,0.3298,67.0,0.1418,28.0,0.2553,28.0,0.2524,22.0,0.2495,20.0,0.3264,62.0,0.2075,64.0,0.1927,19.0,0.262,15.0,0.3313,33.0
2025-07-24,0.2914,56.0,0.148,33.0,0.2597,32.0,0.2576,25.0,0.2555,23.0,0.3254,62.0,0.2076,64.0,0.1977,22.0,0.2702,22.0,0.3427,40.0
2025-07-22,0.3369,68.0,0.1705,48.0,0.2541,28.0,0.2576,25.0,0.2612,26.0,0.324,61.0,0.2077,64.0,0.1926,19.0,0.2754,26.0,0.3583,48.0
2025-07-21,0.2835,53.0,0.1698,48.0,0.2527,28.0,0.2522,22.0,0.2518,22.0,0.3219,60.0,0.2076,64.0,0.1923,18.0,0.2454,6.0,0.2986,13.0
2025-07-18,0.3269,66.0,0.1738,50.0,0.2581,31.0,0.256,24.0,0.2538,23.0,0.3199,59.0,0.2071,64.0,0.1939,19.0,0.2583,12.0,0.3228,27.0
2025-07-17,0.3262,66.0,0.1795,54.0,0.3495,72.0,0.3428,69.0,0.3361,63.0,0.3202,59.0,0.2071,64.0,0.1956,20.0,0.2642,17.0,0.3327,34.0
2025-07-16,0.3277,66.0,0.197,63.0,0.3251,66.0,0.3581,73.0,0.3912,77.0,0.32,59.0,0.2067,64.0,0.215,33.0,0.2716,23.0,0.3281,30.0
2025-07-15,0.3548,72.0,0.2007,64.0,0.3376,69.0,0.405,82.0,0.4725,90.0,0.3192,57.0,0.2066,64.0,0.1971,21.0,0.262,15.0,0.3268,28.0
2025-07-14,0.2914,56.0,0.1884,59.0,0.3258,66.0,0.3196,61.0,0.3134,55.0,0.3163,57.0,0.2055,63.0,0.1934,19.0,0.2592,13.0,0.3249,28.0
2025-07-11,0.3638,74.0,0.2202,73.0,0.2648,35.0,0.2758,37.0,0.2869,41.0,0.317,57.0,0.2059,63.0,0.1772,10.0,0.234,3.0,0.2909,10.0
2025-07-09,0.3227,65.0,0.2097,69.0,0.2964,53.0,0.2798,40.0,0.2631,27.0,0.3126,56.0,0.2054,63.0,0.196,21.0,0.264,17.0,0.3319,33.0
2025-07-08,0.3712,75.0,0.2083,68.0,0.2844,46.0,0.2844,42.0,0.2843,40.0,0.3129,56.0,0.2054,63.0,0.1928,19.0,0.2638,17.0,0.3349,35.0
2025-07-07,0.3691,75.0,0.1893,59.0,0.2743,40.0,0.2756,36.0,0.277,35.0,0.3128,56.0,0.2043,63.0,0.2008,24.0,0.2667,19.0,0.3326,34.0
2025-07-03,0.3062,60.0,0.1399,27.0,0.3501,72.0,0.3042,53.0,0.2582,25.0,0.3104,56.0,0.2023,62.0,0.2027,26.0,0.2614,15.0,0.3201,25.0
2025-07-02,0.3219,64.0,0.1721,49.0,0.2594,32.0,0.2918,47.0,0.3243,59.0,0.3114,56.0,0.2037,63.0,0.208,30.0,0.2836,31.0,0.3593,48.0
2025-07-01,0.249,41.0,0.1515,36.0,0.2436,23.0,0.2484,20.0,0.2532,22.0,0.3058,54.0,0.2018,62.0,0.2174,34.0,0.2677,20.0,0.318,23.0
2025-06-30,0.3381,69.0,0.1732,50.0,0.2604,33.0,0.2594,26.0,0.2585,25.0,0.3056,54.0,0.2014,62.0,0.1669,5.0,0.256,11.0,0.3451,41.0
2025-06-27,0.3294,67.0,0.1754,51.0,0.2516,27.0,0.2555,24.0,0.2594,26.0,0.3052,54.0,0.2015,62.0,0.199,23.0,0.2616,15.0,0.3242,27.0
2025-06-26,0.3615,74.0,0.1865,57.0,0.259,32.0,0.2516,22.0,0.2443,18.0,0.3051,54.0,0.2014,62.0,0.1955,20.0,0.2705,22.0,0.3455,41.0
2025-06-25,0.2782,52.0,0.1752,51.0,0.2719,39.0,0.2646,28.0,0.2574,25.0,0.3013,53.0,0.2006,62.0,0.2102,31.0,0.2749,26.0,0.3395,38.0
2025-06-24,0.3029,59.0,0.1745,51.0,0.2692,37.0,0.2618,28.0,0.2543,23.0,0.3009,53.0,0.2006,62.0,0.1604,3.0,0.2678,20.0,0.3751,57.0
2025-06-23,0.28,52.0,0.1737,50.0,0.2808,44.0,0.2765,37.0,0.2723,33.0,0.3006,52.0,0.2013,62.0,0.2449,41.0,0.3176,54.0,0.3902,65.0
2025-06-20,0.2216,31.0,0.1546,38.0,0.2769,42.0,0.2785,38.0,0.2802,37.0,0.3001,52.0,0.2004,62.0,0.1947,20.0,0.2684,21.0,0.342,39.0
2025-06-18,0.2371,37.0,0.1235,15.0,0.2622,34.0,0.2614,28.0,0.2606,26.0,0.3002,52.0,0.2007,62.0,0.1991,23.0,0.2632,16.0,0.3274,30.0
