date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-04,0.5698,,0.6015,,1.1776,,1.7526,,2.3275,,0.0,,0.0,,1.2871,,1.6045,,1.9219,
2025-11-03,0.7193,,0.5621,,1.328,,1.6724,,2.0168,,0.0,,0.0,,1.3912,,1.6254,,1.8596,
2025-10-31,0.7843,,0.5192,,1.733,,2.2827,,2.8323,,0.0,,0.0,,1.6565,,1.7206,,1.7847,
2025-10-30,0.8688,,0.5636,,1.6596,,1.753,,1.8464,,0.0,,0.0,,1.6203,,1.7232,,1.8261,
2025-10-29,0.9017,,0.6739,,1.6619,,1.5822,,1.5024,,0.0,,0.0,,1.7264,,1.7671,,1.8078,
2025-10-28,0.937,,0.6969,,1.6991,,1.62,,1.541,,0.0,,0.0,,1.6991,,2.2322,,2.7654,
2025-10-27,1.162,,0.717,,1.8485,,1.7516,,1.6546,,0.0,,0.0,,1.7195,,1.7732,,1.8268,
2025-10-24,1.0758,,0.7784,,2.3185,,1.9477,,1.5769,,0.0,,0.0,,1.7093,,2.2152,,2.7211,
2025-10-23,1.0499,,0.8226,,1.5544,,1.659,,1.7637,,0.0,,0.0,,1.6605,,1.7582,,1.8558,
2025-10-22,0.9045,,0.9248,,1.5704,,1.7048,,1.8393,,0.0,,0.0,,1.6907,,1.7838,,1.877,
2025-10-21,0.9232,,0.8992,,1.8164,,1.708,,1.5995,,0.0,,0.0,,1.6849,,1.769,,1.853,
2025-10-20,1.3627,,1.1787,,1.7146,,1.7038,,1.693,,0.0,,0.0,,1.8726,,1.8738,,1.875,
2025-10-15,1.3132,,1.4086,,2.1319,,2.091,,2.05,,0.0,,0.0,,1.8382,,1.9254,,2.0125,
2025-10-14,1.2937,,1.3822,,2.084,,2.1225,,2.161,,0.0,,0.0,,1.8594,,1.9809,,2.1024,
2025-10-13,1.249,,1.4108,,1.8559,,1.9996,,2.1433,,0.0,,0.0,,1.8535,,1.9508,,2.048,
2025-10-10,1.1854,,1.3618,,2.0751,,2.0411,,2.007,,0.0,,0.0,,1.8484,,1.931,,2.0137,
2025-10-09,0.8536,,1.124,,1.9319,,1.7649,,1.5979,,0.0,,0.0,,1.6887,,1.8707,,2.0527,
2025-10-08,0.8732,,1.0894,,1.8452,,2.0428,,2.2404,,0.0,,0.0,,2.6604,,2.8425,,3.0245,
2025-10-07,1.0386,,0.7966,,2.3452,,2.1822,,2.0192,,0.0,,0.0,,1.8171,,1.9344,,2.0518,
2025-10-06,1.119,,0.8614,,2.4133,,2.224,,2.0348,,0.0,,0.0,,1.8476,,1.9021,,1.9566,
2025-10-02,1.1849,,1.037,,2.152,,2.272,,2.3921,,0.0,,0.0,,1.7938,,1.8568,,1.9197,
2025-10-01,1.1703,,1.1084,,2.457,,2.2409,,2.0249,,0.0,,0.0,,1.754,,1.8125,,1.871,
2025-09-30,1.1808,,1.1909,,2.3028,,2.2038,,2.1047,,0.0,,0.0,,1.7686,,1.7987,,1.8288,
2025-09-29,0.7942,,1.1756,,2.3979,,2.3313,,2.2647,,0.0,,0.0,,1.9068,,1.8907,,1.8746,
