date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-22,0.1565,,0.087,,,,,,,,0.245,,0.1581,,,,,,,
2025-07-21,0.1727,,0.0893,,,,,,,,0.2456,,0.1583,,,,,,,
2025-07-18,0.1732,,0.0882,,,,,,,,0.2471,,0.1582,,,,,,,
2025-07-17,0.1644,,0.0631,,,,,,,,0.2466,,0.1574,,,,,,,
2025-07-16,0.1382,,0.0642,,,,,,,,0.2457,,0.1576,,,,,,,
2025-07-15,0.1389,,0.0785,,,,,,,,0.246,,0.1577,,,,,,,
2025-07-14,0.1404,,0.074,,,,,,,,0.2459,,0.1577,,,,,,,
2025-07-11,0.135,,0.0874,,,,,,,,0.2458,,0.158,,,,,,,
2025-07-09,0.1113,,0.0902,,,,,,,,0.2474,,0.1581,,,,,,,
2025-07-08,0.123,,0.0886,,,,,,,,0.2473,,0.1579,,,,,,,
2025-07-07,0.1334,,0.1004,,,,,,,,0.2475,,0.1583,,,,,,,
2025-07-03,0.1209,,0.082,,,,,,,,0.2471,,0.1579,,,,,,,
2025-07-02,0.1123,,0.0941,,,,,,,,0.2467,,0.1583,,,,,,,
2025-07-01,0.1238,,0.083,,,,,,,,0.247,,0.1581,,,,,,,
2025-06-30,0.1275,,0.0823,,,,,,,,0.2468,,0.1581,,,,,,,
2025-06-27,0.1372,,0.0878,,,,,,,,0.2473,,0.1586,,,,,,,
2025-06-26,0.1272,,0.0762,,,,,,,,0.2469,,0.1582,,,,,,,
2025-06-25,0.1208,,0.0739,,,,,,,,0.2467,,0.1583,,,,,,,
2025-06-24,0.1726,,0.0745,,,,,,,,0.2468,,0.1583,,,,,,,
2025-06-23,0.1547,,0.0665,,,,,,,,0.2463,,0.1584,,,,,,,
2025-06-20,0.1449,,0.0764,,,,,,,,0.2461,,0.1586,,,,,,,
2025-06-18,0.1413,,0.0866,,,,,,,,0.2121,,0.1159,,,,,,,
