date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-25,0.2139,39.0,0.2131,22.0,,,,,,,0.271,43.0,0.324,66.0,,,,,,
2025-06-24,0.2288,44.0,0.2999,60.0,,,,,,,0.2706,43.0,0.3239,66.0,,,,,,
2025-06-23,0.2258,43.0,0.299,59.0,,,,,,,0.2708,43.0,0.3249,67.0,,,,,,
2025-06-20,0.1533,15.0,0.2861,55.0,,,,,,,0.2687,41.0,0.3258,68.0,,,,,,
2025-06-18,0.1815,26.0,0.2824,53.0,,,,,,,0.2798,51.0,0.3323,71.0,,,,,,
2025-06-17,0.1588,16.0,0.3005,60.0,,,,,,,0.2802,51.0,0.333,71.0,,,,,,
2025-06-16,0.2321,45.0,0.2982,59.0,,,,,,,0.2802,51.0,0.3328,71.0,,,,,,
2025-06-13,0.2245,42.0,0.2916,57.0,,,,,,,0.2802,51.0,0.3328,71.0,,,,,,
2025-06-12,0.2261,43.0,0.2178,23.0,,,,,,,0.2793,50.0,0.329,70.0,,,,,,
2025-06-11,0.2356,46.0,0.2294,28.0,,,,,,,0.2794,51.0,0.329,70.0,,,,,,
2025-06-10,0.2508,52.0,0.2272,28.0,,,,,,,0.2794,51.0,0.3292,70.0,,,,,,
2025-06-09,0.2534,53.0,0.2196,24.0,,,,,,,0.2784,49.0,0.329,70.0,,,,,,
2025-06-06,0.2537,53.0,0.184,11.0,,,,,,,0.2786,50.0,0.3282,70.0,,,,,,
2025-06-05,0.1939,31.0,0.1863,12.0,,,,,,,0.2756,47.0,0.3283,70.0,,,,,,
2025-06-04,0.2898,63.0,0.2019,18.0,,,,,,,0.2756,47.0,0.3292,70.0,,,,,,
2025-06-03,0.2766,59.0,0.1795,10.0,0.3652,52.0,,,,,0.2754,47.0,0.3288,70.0,0.3652,71.0,,,,
