date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-25,0.1076,7.0,0.1804,22.0,0.295,52.0,0.2884,49.0,0.2818,44.0,0.4459,87.0,0.3511,85.0,0.3366,63.0,0.3418,64.0,0.3471,66.0
2025-06-24,0.1782,30.0,0.1788,21.0,0.2826,47.0,0.277,43.0,0.2713,39.0,0.4461,87.0,0.3509,85.0,0.3407,65.0,0.3454,66.0,0.35,68.0
2025-06-23,0.15,20.0,0.1795,21.0,0.3072,56.0,0.3036,54.0,0.3,52.0,0.4459,87.0,0.352,86.0,0.3429,66.0,0.3492,68.0,0.3555,72.0
2025-06-20,0.165,25.0,0.1822,22.0,0.2876,49.0,0.2971,52.0,0.3066,55.0,0.4459,87.0,0.3521,86.0,0.3495,69.0,0.3541,71.0,0.3587,74.0
2025-06-18,0.1978,37.0,0.175,19.0,0.2761,44.0,0.2594,35.0,0.2426,26.0,0.4483,87.0,0.3539,87.0,0.3458,68.0,0.3506,69.0,0.3555,72.0
2025-06-17,0.2204,44.0,0.2,31.0,0.3128,57.0,0.3109,57.0,0.309,56.0,0.4483,87.0,0.354,87.0,0.3469,68.0,0.3524,70.0,0.3579,73.0
2025-06-16,0.2149,42.0,0.1914,27.0,0.2931,51.0,0.2924,50.0,0.2917,49.0,0.4493,88.0,0.3548,87.0,0.3445,67.0,0.3504,69.0,0.3564,72.0
2025-06-13,0.2164,43.0,0.2022,32.0,0.275,43.0,0.2844,47.0,0.2939,50.0,0.4493,88.0,0.3549,87.0,0.3488,69.0,0.3551,72.0,0.3614,75.0
2025-06-12,0.0865,3.0,0.1983,30.0,0.2786,45.0,0.2808,45.0,0.283,44.0,0.4478,87.0,0.3547,87.0,0.3441,67.0,0.3499,69.0,0.3557,72.0
2025-06-11,0.0851,3.0,0.2053,34.0,0.2935,51.0,0.2877,48.0,0.2819,44.0,0.4487,88.0,0.3548,87.0,0.3438,67.0,0.3498,69.0,0.3557,72.0
2025-06-10,0.1091,8.0,0.2097,36.0,0.3144,59.0,0.3304,64.0,0.3465,69.0,0.4498,88.0,0.3555,88.0,0.3475,68.0,0.3522,70.0,0.3569,72.0
2025-06-09,0.1045,7.0,0.2224,42.0,0.3192,60.0,0.3173,60.0,0.3154,59.0,0.4495,88.0,0.3557,88.0,0.3497,69.0,0.3538,71.0,0.3578,73.0
2025-06-06,0.1577,23.0,0.2934,73.0,0.3031,55.0,0.309,57.0,0.3148,59.0,0.4493,88.0,0.3552,87.0,0.3457,68.0,0.3509,70.0,0.3561,72.0
2025-06-05,0.7206,97.0,0.5471,96.0,0.3216,61.0,0.3234,62.0,0.3252,63.0,0.459,89.0,0.3579,88.0,0.3508,70.0,0.3548,72.0,0.3588,74.0
