date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-12,0.0635,,0.0729,,0.2862,,0.2834,,0.2806,,0.4821,,0.4658,,0.2862,,0.5364,,0.7867,
2025-09-10,0.0671,,0.0652,,0.3097,,0.2952,,0.2808,,0.4821,,0.4657,,1.1753,,1.1212,,1.067,
2025-09-09,0.0733,,0.0687,,0.2718,,0.2744,,0.2771,,0.4821,,0.4656,,0.8814,,0.9634,,1.0454,
2025-09-08,0.0847,,0.0755,,0.2798,,0.2704,,0.261,,0.4821,,0.4656,,1.0951,,1.0768,,1.0585,
2025-09-05,0.076,,0.077,,1.2591,,1.3586,,1.4581,,0.4821,,0.4656,,1.2591,,1.1856,,1.1121,
2025-09-04,0.0693,,0.0783,,0.3,,0.3198,,0.3397,,0.482,,0.4656,,1.1244,,1.0991,,1.0738,
2025-08-26,0.0684,,0.1205,,0.304,,0.2964,,0.2888,,0.4817,,0.4654,,0.7934,,0.5411,,0.2888,
2025-08-25,0.0651,,0.1356,,1.0524,,0.6874,,0.3224,,0.4818,,0.4653,,0.7667,,0.5446,,0.3224,
2025-08-22,0.1014,,0.1627,,0.2908,,0.2571,,0.2234,,0.4818,,0.4652,,0.9044,,0.953,,1.0016,
2025-08-21,0.0848,,0.168,,1.1415,,0.6831,,0.2248,,0.4817,,0.4652,,1.1813,,0.761,,0.3408,
2025-08-20,0.2323,,0.2207,,0.35,,0.2905,,0.231,,0.4817,,0.4651,,1.1748,,0.7884,,0.4019,
2025-08-19,0.2353,,0.2191,,0.2676,,0.26,,0.2525,,0.4817,,0.4649,,1.081,,0.7758,,0.4707,
2025-08-18,0.2467,,0.2232,,0.2696,,0.28,,0.2903,,0.4817,,0.4648,,0.836,,0.8366,,0.8372,
2025-08-15,0.2611,,0.2288,,0.5558,,0.4339,,0.3121,,0.4815,,0.4645,,1.1088,,0.8346,,0.5603,
2025-08-13,0.3213,,0.2696,,0.4188,,0.8168,,1.2148,,0.4809,,0.4637,,0.9574,,1.0861,,1.2148,
2025-08-12,0.3484,,0.2742,,0.5118,,0.8768,,1.2418,,0.4806,,0.4635,,1.0919,,1.1669,,1.2418,
2025-08-08,0.2824,,0.2635,,0.2456,,,,,,0.4789,,0.462,,0.7889,,,,,
2025-08-07,0.015,,0.0193,,0.9344,,,,,,0.2024,,0.2497,,0.9092,,,,,
