date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-01,0.5581,85.0,0.5036,85.0,0.5441,81.0,0.5698,84.0,0.5954,86.0,0.5874,89.0,0.5499,90.0,0.5424,83.0,0.5689,86.0,0.5954,89.0
2025-06-30,0.4743,77.0,0.4286,76.0,0.6717,91.0,0.634,89.0,0.5962,86.0,0.5855,89.0,0.5469,90.0,0.607,90.0,0.6016,90.0,0.5962,89.0
2025-06-27,0.4736,76.0,0.4305,76.0,0.5877,85.0,0.5906,86.0,0.5934,86.0,0.5855,89.0,0.5473,90.0,0.623,90.0,0.6359,91.0,0.6488,92.0
2025-06-26,0.5738,86.0,0.5006,85.0,0.6413,89.0,0.6038,87.0,0.5663,83.0,0.5858,89.0,0.5473,90.0,0.5478,83.0,0.5294,81.0,0.5111,78.0
2025-06-25,0.505,80.0,0.49,84.0,0.7819,96.0,0.6842,92.0,0.5865,85.0,0.583,89.0,0.5466,90.0,0.584,88.0,0.541,83.0,0.4979,76.0
2025-06-24,0.5041,80.0,0.4961,84.0,0.5362,80.0,0.5559,82.0,0.5756,84.0,0.5826,89.0,0.5465,90.0,0.5438,83.0,0.5445,83.0,0.5452,83.0
2025-06-23,0.5134,81.0,0.4874,83.0,0.7304,94.0,0.6572,91.0,0.584,85.0,0.5857,89.0,0.548,90.0,0.6324,91.0,0.6082,90.0,0.584,88.0
2025-06-20,0.3402,54.0,0.4158,73.0,0.5394,80.0,0.5439,81.0,0.5484,81.0,0.5807,89.0,0.5457,90.0,0.5911,88.0,0.566,86.0,0.5409,82.0
2025-06-18,0.3472,55.0,0.4491,79.0,0.7814,96.0,0.7143,94.0,0.6471,90.0,0.5843,89.0,0.5505,90.0,0.6127,90.0,0.5469,83.0,0.481,74.0
2025-06-17,0.3725,61.0,0.4759,82.0,0.5568,82.0,0.5514,82.0,0.5459,81.0,0.5846,89.0,0.5515,90.0,0.6437,92.0,0.5281,81.0,0.4125,59.0
2025-06-16,0.33,51.0,0.3968,69.0,0.5976,86.0,0.573,84.0,0.5483,81.0,0.5816,89.0,0.5486,90.0,0.5884,88.0,0.5822,88.0,0.5761,87.0
2025-06-13,0.3602,57.0,0.3985,70.0,0.6133,87.0,0.5919,86.0,0.5705,84.0,0.5817,89.0,0.5483,90.0,0.6167,90.0,0.6365,91.0,0.6563,92.0
2025-06-12,0.4547,74.0,0.4199,74.0,0.7277,94.0,0.6762,92.0,0.6248,88.0,0.5824,89.0,0.5473,90.0,0.7202,97.0,0.7224,97.0,0.7245,97.0
2025-06-11,0.5585,85.0,0.5483,90.0,0.5484,81.0,0.5317,79.0,0.5151,78.0,0.5847,89.0,0.549,90.0,0.5479,83.0,0.549,84.0,0.55,84.0
2025-06-10,0.5862,87.0,0.5464,89.0,0.632,88.0,0.6052,87.0,0.5783,84.0,0.5841,89.0,0.5491,90.0,0.5637,85.0,0.5724,87.0,0.5811,88.0
2025-06-09,0.6233,89.0,0.5238,88.0,0.7297,94.0,0.7472,95.0,0.7648,96.0,0.5819,89.0,0.5481,90.0,0.555,84.0,0.5528,84.0,0.5505,84.0
