date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-25,0.5246,81.0,0.5024,87.0,0.5124,77.0,0.448,67.0,0.3836,51.0,0.5034,72.0,0.4181,75.0,0.4207,71.0,0.4178,59.0,0.415,48.0
2025-06-24,0.6332,88.0,0.5416,89.0,0.599,84.0,0.5062,76.0,0.4133,57.0,0.5032,72.0,0.4181,75.0,0.4819,77.0,0.4494,68.0,0.4168,49.0
2025-06-23,0.6259,88.0,0.5242,88.0,0.4188,63.0,0.4259,62.0,0.433,62.0,0.5026,71.0,0.4182,75.0,0.4345,73.0,0.4246,61.0,0.4147,48.0
2025-06-20,0.6139,87.0,0.5304,89.0,0.5908,83.0,0.4902,74.0,0.3896,53.0,0.5023,71.0,0.4178,75.0,0.4367,73.0,0.4284,62.0,0.4202,50.0
2025-06-18,0.652,89.0,0.5407,89.0,0.5332,79.0,0.4634,69.0,0.3937,54.0,0.506,72.0,0.4206,76.0,0.5065,80.0,0.459,71.0,0.4114,47.0
2025-06-17,0.6292,88.0,0.5399,89.0,0.5508,81.0,0.4762,72.0,0.4016,55.0,0.505,72.0,0.4204,76.0,0.4642,76.0,0.4606,71.0,0.4571,61.0
2025-06-16,0.6323,88.0,0.5192,88.0,0.5673,82.0,0.5792,83.0,0.591,83.0,0.5043,72.0,0.4192,76.0,0.434,73.0,0.4183,59.0,0.4026,42.0
2025-06-13,0.4733,77.0,0.3495,63.0,0.3904,57.0,0.3948,56.0,0.3992,55.0,0.4946,69.0,0.4094,74.0,0.5029,80.0,0.4898,76.0,0.4768,65.0
2025-06-12,0.2836,47.0,0.2848,47.0,0.4352,66.0,0.4108,59.0,0.3864,52.0,0.4882,69.0,0.4067,73.0,0.4553,75.0,0.4576,71.0,0.46,62.0
2025-06-11,0.2938,49.0,0.3362,60.0,0.4019,60.0,0.3913,55.0,0.3808,51.0,0.4885,69.0,0.4071,73.0,0.453,75.0,0.4524,69.0,0.4519,60.0
