date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-08,0.4444,,0.5511,,,,,,,,0.6804,,0.7943,,,,,,,
2025-08-07,0.7103,,0.6372,,,,,,,,0.6805,,0.7937,,,,,,,
2025-08-05,0.6803,,0.6683,,,,,,,,0.6853,,0.7956,,,,,,,
2025-08-04,0.6668,,0.6665,,,,,,,,0.6886,,0.7964,,,,,,,
2025-08-01,0.9119,,0.7571,,,,,,,,0.6869,,0.7982,,,,,,,
2025-07-31,0.9861,,0.7698,,,,,,,,0.6891,,0.7998,,,,,,,
2025-07-30,0.9928,,0.7484,,,,,,,,0.6909,,0.7998,,,,,,,
2025-07-29,0.7863,,0.648,,1.4755,,,,,,0.6796,,0.7956,,1.4755,,,,,
2025-07-28,0.7665,,0.6355,,,,,,,,0.6778,,0.7948,,,,,,,
2025-07-25,0.7526,,0.581,,,,,,,,0.678,,0.7925,,,,,,,
2025-07-24,0.836,,0.6169,,3.7429,,,,,,0.6779,,0.7949,,1.5412,,,,,
2025-07-23,0.5366,,0.5758,,,,,,,,0.8474,,0.8292,,,,,,,
