date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-23,0.1409,,0.1207,,,,,,0.2763,,0.1295,,0.0953,,,,,,0.2763,
2025-06-20,0.1373,,0.1094,,0.106,,0.1564,,0.2067,,0.1303,,0.096,,0.106,,0.1564,,0.2067,
2025-06-18,0.1363,,0.1102,,,,,,0.2392,,0.132,,0.0968,,,,,,0.355,
2025-06-17,0.149,,0.1066,,0.1198,,0.1516,,0.1834,,0.1321,,0.0967,,0.1198,,0.1516,,0.1834,
2025-06-16,0.1287,,0.093,,0.1018,,0.152,,0.2021,,0.1304,,0.096,,0.1018,,0.2298,,0.3577,
2025-06-13,0.1209,,0.0914,,0.2032,,0.1944,,0.1855,,0.13,,0.096,,0.2032,,0.1944,,0.1855,
2025-06-12,0.0971,,0.0804,,0.116,,0.155,,0.194,,0.1297,,0.0951,,0.116,,0.2266,,0.3373,
2025-06-11,0.0909,,0.0855,,0.0941,,0.227,,0.3598,,0.1297,,0.0959,,0.0941,,0.1737,,0.2533,
2025-06-10,0.0901,,0.0821,,0.1239,,0.2252,,0.3265,,0.1307,,0.0959,,0.1793,,0.1925,,0.2057,
2025-06-09,0.0962,,0.078,,0.0971,,0.1854,,0.2736,,0.1315,,0.0961,,0.0971,,0.2114,,0.3257,
2025-06-06,0.101,,0.0794,,,,,,0.2135,,0.1312,,0.0961,,,,,,0.2135,
2025-06-05,0.0697,,0.0786,,0.1714,,0.1976,,0.2239,,0.1297,,0.0967,,0.1057,,0.1648,,0.2239,
2025-06-04,0.056,,0.0832,,0.1126,,0.1664,,0.2202,,0.1289,,0.0974,,0.1126,,0.1664,,0.2202,
2025-06-03,0.0595,,0.0843,,,,,,0.2044,,0.1299,,0.0974,,,,,,0.3666,
2025-06-02,0.0519,,0.0792,,,,,,0.1779,,0.1306,,0.0982,,,,,,0.3159,
2025-05-30,0.0497,,0.0833,,0.1162,,0.1286,,0.141,,0.1306,,0.0983,,0.1162,,0.1892,,0.2622,
2025-05-29,0.0509,,0.0838,,0.7453,,0.4412,,0.1372,,0.1307,,0.0984,,0.7453,,0.5456,,0.3458,
2025-05-28,0.0788,,0.0854,,0.1225,,0.2164,,0.3104,,0.1319,,0.0989,,0.1225,,0.1954,,0.2683,
2025-05-27,0.0861,,0.0894,,0.1205,,0.1734,,0.2263,,0.1331,,0.0997,,0.1205,,0.1734,,0.2263,
2025-05-23,0.0885,,0.0857,,,,,,,,0.1333,,0.0996,,,,,,,
2025-05-22,0.0961,,0.0843,,,,,,,,0.134,,0.0997,,,,,,,
