date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-18,0.6607,52.0,0.248,8.0,0.5822,27.0,0.5868,24.0,0.5914,24.0,0.7361,46.0,0.4595,51.0,0.5884,34.0,0.6186,33.0,0.6488,34.0
2025-08-15,0.6675,53.0,0.2451,7.0,0.5672,25.0,0.5735,21.0,0.5798,22.0,0.7378,46.0,0.4607,51.0,0.597,36.0,0.6253,35.0,0.6536,36.0
2025-08-13,0.4958,27.0,0.2376,6.0,0.5905,28.0,0.5876,23.0,0.5848,23.0,0.7383,48.0,0.4645,55.0,0.6095,39.0,0.6352,39.0,0.6608,39.0
2025-08-12,0.3785,13.0,0.2378,6.0,0.5561,22.0,0.5724,20.0,0.5886,23.0,0.7333,48.0,0.4676,56.0,0.5877,35.0,0.6228,36.0,0.6578,38.0
2025-08-08,0.489,27.0,0.2063,2.0,0.5223,17.0,0.5204,13.0,0.5184,13.0,0.7369,48.0,0.4695,57.0,0.5722,31.0,0.6074,32.0,0.6425,34.0
2025-08-07,0.5461,34.0,0.2373,6.0,0.5444,20.0,0.5332,14.0,0.5219,13.0,0.7428,49.0,0.4701,57.0,0.5871,35.0,0.6203,35.0,0.6535,37.0
2025-08-05,0.5205,30.0,0.2606,10.0,0.6553,38.0,0.6133,27.0,0.5713,21.0,0.7453,49.0,0.4714,57.0,0.5834,34.0,0.6201,35.0,0.6568,38.0
2025-08-04,0.5051,28.0,0.2658,11.0,0.5545,22.0,0.5672,19.0,0.58,22.0,0.7479,50.0,0.472,57.0,0.5828,34.0,0.6243,36.0,0.6658,40.0
2025-08-01,0.3451,9.0,0.2765,13.0,0.5542,22.0,0.5633,19.0,0.5724,21.0,0.7506,51.0,0.4735,57.0,0.5882,35.0,0.6199,35.0,0.6516,36.0
2025-07-31,0.387,14.0,0.2635,10.0,0.5152,15.0,0.5321,14.0,0.549,17.0,0.7473,50.0,0.478,60.0,0.5807,33.0,0.6307,38.0,0.6807,44.0
