date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-22,0.5177,80.0,0.4407,75.0,0.5243,72.0,0.6722,88.0,0.82,95.0,0.6276,83.0,0.5716,87.0,0.6581,89.0,0.6299,87.0,0.6017,84.0
2025-08-21,0.5768,84.0,0.5008,83.0,0.6605,86.0,0.7696,93.0,0.8787,96.0,0.6247,83.0,0.5722,87.0,0.5565,81.0,0.7176,93.0,0.8787,98.0
2025-08-20,0.5632,83.0,0.5342,86.0,,,,,0.7109,91.0,0.6253,83.0,0.5726,87.0,,,,,0.61,84.0
2025-08-19,0.5429,82.0,0.5298,86.0,0.6766,87.0,0.6369,85.0,0.5972,80.0,0.6281,83.0,0.5732,87.0,0.6176,86.0,0.6074,85.0,0.5972,83.0
2025-08-18,0.4879,77.0,0.5117,84.0,0.6108,82.0,0.6542,86.0,0.6977,90.0,0.6224,83.0,0.5707,87.0,0.6108,85.0,0.6135,85.0,0.6162,85.0
2025-08-15,0.4368,72.0,0.5237,85.0,0.5863,79.0,0.6836,89.0,0.7809,94.0,0.6227,83.0,0.5715,87.0,0.5863,83.0,0.6836,91.0,0.7809,95.0
2025-08-13,0.4847,78.0,0.6744,93.0,0.6551,87.0,0.6643,88.0,0.6735,88.0,0.6476,86.0,0.5796,89.0,0.5786,84.0,0.626,87.0,0.6735,91.0
2025-08-12,0.3062,50.0,0.6009,90.0,0.5917,82.0,0.6712,89.0,0.7506,93.0,0.6431,85.0,0.58,89.0,0.5543,83.0,0.5723,84.0,0.5903,84.0
2025-08-08,0.3857,65.0,0.5991,90.0,0.5475,77.0,0.616,84.0,0.6845,89.0,0.7475,91.0,0.6219,90.0,0.5475,82.0,0.616,87.0,0.6845,92.0
2025-08-07,0.3487,59.0,0.5837,89.0,0.653,87.0,0.666,88.0,0.6789,89.0,0.7471,91.0,0.6214,90.0,0.5971,85.0,0.638,88.0,0.6789,91.0
2025-08-05,0.3094,51.0,0.5463,87.0,0.6205,84.0,0.644,87.0,0.6674,88.0,0.7578,91.0,0.6225,90.0,0.6205,87.0,0.6136,86.0,0.6067,85.0
2025-08-04,0.3195,53.0,0.4251,74.0,1.0292,98.0,,,,,0.7571,91.0,0.6164,90.0,0.9586,99.0,,,,
2025-08-01,0.4532,75.0,0.5093,85.0,1.0615,99.0,0.8794,96.0,0.6974,90.0,0.7569,91.0,0.616,90.0,0.567,84.0,0.603,86.0,0.6391,88.0
2025-07-31,1.0249,96.0,0.6212,91.0,1.72,100.0,1.2478,99.0,0.7755,94.0,0.7559,91.0,0.6186,90.0,0.5877,85.0,0.6816,91.0,0.7755,95.0
2025-07-30,1.0654,97.0,0.6231,91.0,0.7023,90.0,0.6901,90.0,0.6779,89.0,0.7538,91.0,0.6175,90.0,0.556,83.0,0.574,84.0,0.5919,84.0
2025-07-29,1.0646,97.0,0.6145,90.0,0.6721,88.0,0.8092,95.0,0.9463,97.0,0.7539,91.0,0.6172,90.0,0.6059,86.0,0.7761,94.0,0.9463,99.0
2025-07-28,1.0278,96.0,0.6015,90.0,0.7124,90.0,0.6824,89.0,0.6525,87.0,0.752,91.0,0.6169,90.0,0.6558,89.0,0.6542,89.0,0.6525,90.0
2025-07-25,1.0121,96.0,0.5739,88.0,0.5873,81.0,0.6938,90.0,0.8003,95.0,0.7551,91.0,0.6169,90.0,0.5873,85.0,0.6938,92.0,0.8003,96.0
2025-07-24,1.0079,96.0,0.5773,89.0,0.607,83.0,0.6265,85.0,0.646,87.0,0.7584,91.0,0.6176,90.0,0.6437,88.0,0.6746,91.0,0.7055,93.0
2025-07-22,0.518,80.0,0.3933,69.0,0.7296,91.0,0.7304,92.0,0.7311,92.0,0.7294,90.0,0.6097,90.0,0.6593,89.0,0.6238,87.0,0.5884,84.0
2025-07-21,0.3787,65.0,0.3768,66.0,1.0157,98.0,0.8198,95.0,0.624,84.0,0.7254,90.0,0.6083,90.0,0.5618,83.0,0.5929,85.0,0.624,87.0
2025-07-18,0.3815,65.0,0.4302,74.0,0.55,78.0,0.6041,83.0,0.6582,88.0,0.7298,90.0,0.6113,90.0,0.5551,83.0,0.5607,83.0,0.5662,83.0
2025-07-17,0.4099,69.0,0.4768,81.0,0.7097,90.0,0.6694,88.0,0.629,85.0,0.7309,90.0,0.6123,90.0,0.5941,85.0,0.5849,85.0,0.5757,83.0
2025-07-16,0.3809,65.0,0.4859,82.0,0.9729,98.0,0.7939,95.0,0.615,83.0,0.7311,90.0,0.6133,90.0,0.5487,82.0,0.57,84.0,0.5912,84.0
2025-07-15,0.2477,37.0,0.479,81.0,0.982,98.0,0.793,95.0,0.604,82.0,0.7339,90.0,0.6134,90.0,0.6282,87.0,0.6043,86.0,0.5805,83.0
