date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-18,0.1611,,0.1079,,0.1648,,0.1832,,0.2017,,0.2428,,0.1785,,0.1648,,0.1832,,0.2017,
2025-07-17,0.161,,0.1075,,0.1619,,0.1831,,0.2043,,0.243,,0.1785,,0.1619,,0.1831,,0.2043,
2025-07-16,0.1497,,0.0921,,0.1782,,,,,,0.243,,0.178,,0.1782,,,,,
2025-07-15,0.1452,,0.0784,,0.1586,,,,,,0.2458,,0.1773,,0.1586,,,,,
2025-07-14,0.1005,,0.0777,,0.1497,,,,,,0.2448,,0.1774,,0.1497,,,,,
2025-07-11,0.109,,0.0803,,0.1714,,,,,,0.2453,,0.1775,,0.1714,,,,,
2025-07-09,0.0989,,0.0766,,0.1721,,,,,,0.2477,,0.1781,,0.1721,,,,,
2025-07-08,0.0956,,0.0613,,0.1612,,,,,,0.2475,,0.1783,,0.1612,,,,,
2025-07-07,0.1015,,0.0735,,0.1634,,,,,,0.2476,,0.1785,,0.1634,,,,,
2025-07-03,0.101,,0.0631,,0.1382,,,,,,0.2481,,0.1786,,0.1382,,,,,
2025-07-02,0.0913,,0.0631,,0.1575,,,,,,0.2474,,0.1786,,0.1575,,,,,
2025-07-01,0.0934,,0.0909,,0.151,,,,,,0.2474,,0.1788,,0.151,,,,,
2025-06-30,0.0936,,0.0887,,0.1765,,,,,,0.2473,,0.1794,,0.155,,,,,
2025-06-27,0.101,,0.0881,,0.159,,0.1831,,0.2072,,0.2507,,0.1793,,0.159,,0.1831,,0.2072,
2025-06-26,0.143,,0.0914,,0.1486,,0.1784,,0.2082,,0.2509,,0.1793,,0.1486,,0.1784,,0.2082,
2025-06-25,0.1377,,0.093,,0.161,,0.1834,,0.2057,,0.2504,,0.1794,,0.161,,0.1834,,0.2057,
2025-06-24,0.191,,0.0921,,0.1685,,0.1852,,0.2019,,0.2502,,0.1792,,0.1685,,0.1852,,0.2019,
2025-06-23,0.1813,,0.0937,,0.1596,,0.1881,,0.2166,,0.2504,,0.1798,,0.1596,,0.1881,,0.2166,
2025-06-20,0.1727,,0.0715,,0.1666,,0.1905,,0.2144,,0.25,,0.1794,,0.1666,,0.1905,,0.2144,
2025-06-18,0.1445,,0.0716,,0.2024,,,,,,0.2537,,0.1816,,0.1982,,,,,
2025-06-17,0.1347,,0.0669,,0.1474,,0.1879,,0.2284,,0.2536,,0.1816,,0.1474,,0.1879,,0.2284,
2025-06-16,0.1786,,0.0624,,0.1631,,0.1877,,0.2123,,0.2539,,0.1815,,0.1631,,0.1877,,0.2123,
2025-06-13,0.1274,,0.0527,,0.152,,0.1819,,0.2117,,0.2523,,0.1813,,0.152,,0.1819,,0.2117,
2025-06-12,0.1126,,0.0621,,0.1671,,0.1884,,0.2098,,0.252,,0.1815,,0.1671,,0.1884,,0.2098,
2025-06-11,0.1125,,0.0708,,0.1613,,0.1858,,0.2102,,0.252,,0.1815,,0.1613,,0.1858,,0.2102,
2025-06-10,0.1093,,0.0779,,0.16,,0.1852,,0.2105,,0.252,,0.1817,,0.16,,0.1852,,0.2105,
2025-06-09,0.1085,,0.0746,,0.16,,0.1864,,0.2128,,0.2525,,0.1818,,0.16,,0.1864,,0.2128,
2025-06-06,0.1093,,0.0735,,0.1575,,0.183,,0.2084,,0.2525,,0.1819,,0.1575,,0.183,,0.2084,
2025-06-05,0.0753,,0.0751,,0.1609,,,,,,0.2516,,0.1819,,0.1609,,,,,
2025-06-04,0.1139,,0.0811,,0.1664,,,,,,0.2516,,0.1819,,0.1664,,,,,
2025-06-03,0.1197,,0.0787,,0.1687,,,,,,0.2517,,0.1819,,0.157,,,,,
2025-06-02,0.1208,,0.0845,,0.1679,,,,,,0.2522,,0.1821,,0.1572,,,,,
2025-05-30,0.1775,,0.0949,,0.1668,,,,,,0.2521,,0.1819,,0.1601,,,,,
2025-05-29,0.1723,,0.0954,,0.1798,,,,,,0.252,,0.182,,0.1735,,,,,
2025-05-28,0.1707,,0.0999,,0.1595,,0.1864,,0.2134,,0.2518,,0.1838,,0.1595,,0.1864,,0.2134,
2025-05-27,0.1846,,0.0964,,0.1638,,,,,,0.2526,,0.1838,,0.1638,,,,,
2025-05-23,0.1454,,0.0964,,0.17,,0.1931,,0.2162,,0.2518,,0.1839,,0.17,,0.1931,,0.2162,
2025-05-22,0.1488,,0.0966,,0.1718,,0.1878,,0.2037,,0.2525,,0.1838,,0.1734,,0.1886,,0.2037,
2025-05-21,0.0944,,0.0842,,0.1404,,0.1788,,0.2171,,0.2507,,0.1833,,0.1404,,0.1788,,0.2171,
2025-05-20,0.1484,,0.0883,,0.1464,,0.1802,,0.214,,0.2506,,0.1833,,0.1464,,0.1802,,0.214,
2025-05-19,0.1501,,0.0931,,0.1422,,0.1768,,0.2113,,0.2507,,0.1836,,0.1422,,0.1768,,0.2113,
2025-05-16,0.1511,,0.0924,,0.1423,,,,,,0.2507,,0.1836,,0.1423,,,,,
2025-05-15,0.1552,,0.1011,,0.1402,,,,,,0.2504,,0.1838,,0.1402,,,,,
2025-05-14,0.1658,,0.0664,,,,,,,,0.2506,,0.1832,,,,,,,
2025-05-13,0.1583,,0.0758,,,,,,,,0.2501,,0.1834,,,,,,,
2025-05-12,0.2041,,0.0725,,,,,,,,0.251,,0.1841,,,,,,,
2025-05-09,0.163,,0.0777,,,,,,,,0.2484,,0.1843,,,,,,,
2025-05-08,0.1802,,0.0924,,,,,,,,0.2505,,0.1846,,,,,,,
2025-05-07,0.1647,,0.0991,,,,,,,,0.267,,0.1858,,,,,,,
2025-05-06,0.1589,,0.1011,,,,,,,,0.2675,,0.1857,,,,,,,
2025-05-05,0.1659,,0.1062,,,,,,,,0.2676,,0.1858,,,,,,,
2025-05-02,0.1634,,0.1091,,0.2304,,,,,,0.2675,,0.1857,,0.2304,,,,,
