date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-29,0.2723,67.0,0.2142,53.0,0.3568,72.0,0.338,65.0,0.3193,56.0,0.2184,24.0,0.1732,6.0,0.2529,39.0,0.269,43.0,0.285,46.0
2025-10-28,0.2505,62.0,0.1845,40.0,0.4038,84.0,0.3688,75.0,0.3339,61.0,0.2171,23.0,0.1763,9.0,0.2567,41.0,0.2708,44.0,0.285,46.0
2025-10-27,0.2475,61.0,0.1864,41.0,0.3048,55.0,0.3123,55.0,0.3197,56.0,0.2163,23.0,0.1766,9.0,0.2456,34.0,0.2607,38.0,0.2758,41.0
2025-10-24,0.2489,62.0,0.1912,43.0,0.3577,72.0,0.3263,60.0,0.2948,46.0,0.2164,23.0,0.1773,10.0,0.2371,27.0,0.2543,34.0,0.2715,38.0
2025-10-23,0.249,62.0,0.1934,44.0,0.3037,54.0,0.3156,57.0,0.3275,59.0,0.2165,23.0,0.1776,10.0,0.2246,15.0,0.2495,28.0,0.2744,40.0
2025-10-22,0.2484,62.0,0.2117,52.0,0.3001,53.0,0.2981,50.0,0.2961,47.0,0.2164,23.0,0.1781,11.0,0.223,14.0,0.2454,26.0,0.2679,35.0
2025-10-21,0.1202,14.0,0.1708,33.0,0.2114,17.0,0.2734,40.0,0.3354,62.0,0.2108,20.0,0.1754,8.0,0.2119,7.0,0.243,23.0,0.2742,40.0
2025-10-20,0.2062,49.0,0.1995,47.0,0.3071,56.0,0.2885,46.0,0.27,37.0,0.2137,21.0,0.1765,9.0,0.2275,17.0,0.2448,25.0,0.2621,32.0
2025-10-15,0.3152,74.0,0.2634,69.0,0.3147,57.0,0.307,53.0,0.2994,48.0,0.2195,24.0,0.1798,13.0,0.2412,30.0,0.2594,38.0,0.2775,42.0
2025-10-14,0.3563,80.0,0.276,72.0,0.3269,63.0,0.3139,56.0,0.3009,49.0,0.2195,24.0,0.1797,12.0,0.2484,36.0,0.2617,39.0,0.275,41.0
2025-10-13,0.35,79.0,0.2605,68.0,0.2764,43.0,0.294,48.0,0.3116,53.0,0.2221,26.0,0.1805,13.0,0.2501,37.0,0.264,40.0,0.278,43.0
2025-10-10,0.3356,77.0,0.2612,68.0,0.2993,52.0,0.3075,54.0,0.3157,55.0,0.2217,25.0,0.1806,13.0,0.2505,37.0,0.2832,48.0,0.316,57.0
2025-10-09,0.3055,73.0,0.2379,61.0,0.3225,61.0,0.317,57.0,0.3116,53.0,0.2185,24.0,0.1793,12.0,0.2512,38.0,0.2675,42.0,0.2838,45.0
2025-10-08,0.3001,72.0,0.2275,57.0,0.3269,63.0,0.3307,62.0,0.3345,61.0,0.2184,24.0,0.1803,13.0,0.2304,20.0,0.2529,33.0,0.2754,41.0
2025-10-07,0.2746,67.0,0.2105,52.0,0.2482,31.0,0.2772,41.0,0.3063,51.0,0.22,25.0,0.1816,14.0,0.2576,41.0,0.2601,38.0,0.2626,32.0
2025-10-06,0.1632,32.0,0.1503,20.0,0.1853,7.0,0.2055,12.0,0.2257,21.0,0.2351,31.0,0.1939,21.0,0.2227,13.0,0.2436,24.0,0.2645,33.0
2025-10-02,0.1192,14.0,0.1202,5.0,0.2906,49.0,0.2692,38.0,0.2477,28.0,0.239,32.0,0.2031,28.0,0.2122,7.0,0.2372,17.0,0.2621,32.0
2025-10-01,0.1072,10.0,0.1128,3.0,0.2169,19.0,0.2343,24.0,0.2517,30.0,0.2579,40.0,0.207,31.0,0.2289,19.0,0.2434,24.0,0.2579,28.0
2025-09-30,0.1252,16.0,0.1135,3.0,0.2012,13.0,0.2009,10.0,0.2006,10.0,0.2656,44.0,0.2078,32.0,0.2254,16.0,0.2454,26.0,0.2653,34.0
2025-09-29,0.1358,20.0,0.1212,5.0,0.2563,35.0,0.2612,35.0,0.266,35.0,0.2658,44.0,0.2083,32.0,0.2479,36.0,0.243,23.0,0.2382,11.0
2025-09-24,0.1353,20.0,0.1483,19.0,0.2491,32.0,0.2208,18.0,0.1924,8.0,0.267,45.0,0.2106,34.0,0.2345,24.0,0.2472,27.0,0.2599,30.0
2025-09-23,0.1155,13.0,0.1495,19.0,0.2966,51.0,0.2694,38.0,0.2421,26.0,0.2666,45.0,0.2106,34.0,0.258,42.0,0.2614,39.0,0.2648,34.0
2025-09-22,0.1308,18.0,0.1486,19.0,0.2825,45.0,0.2727,39.0,0.2629,34.0,0.2667,45.0,0.2109,34.0,0.2581,42.0,0.2624,39.0,0.2668,35.0
