date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-22,0.6189,,0.5001,,0.6626,,0.787,,0.9115,,0.0,,0.0,,0.7754,,0.8381,,0.9008,
2025-09-19,0.5696,,0.3603,,0.7787,,0.7548,,0.7308,,0.0,,0.0,,0.8656,,0.8652,,0.8648,
2025-09-18,0.5344,,0.4484,,0.7473,,0.7607,,0.7741,,0.0,,0.0,,0.8452,,0.8521,,0.859,
2025-09-16,0.545,,0.4633,,0.6277,,1.102,,1.5764,,0.0,,0.0,,0.6741,,0.81,,0.946,
2025-09-15,0.6485,,0.4501,,0.6217,,0.7159,,0.8101,,0.0,,0.0,,0.7792,,0.8116,,0.8441,
2025-09-12,0.5985,,0.4287,,0.6961,,0.6997,,0.7032,,0.0,,0.0,,0.7939,,0.8348,,0.8757,
2025-09-10,0.6919,,0.3384,,0.5422,,0.9889,,1.4356,,0.0,,0.0,,0.6056,,0.7798,,0.954,
2025-09-09,0.6312,,0.4118,,1.0377,,0.8154,,0.5932,,0.0,,0.0,,0.9266,,0.8524,,0.7781,
2025-09-08,1.0841,,0.5121,,0.688,,0.6908,,0.6935,,0.0,,0.0,,0.7573,,0.7872,,0.8172,
2025-09-05,1.1457,,0.5672,,0.7669,,0.7668,,0.7667,,0.0,,0.0,,0.7464,,0.7954,,0.8445,
2025-09-04,1.1444,,0.5406,,0.6244,,0.7022,,0.7801,,0.0,,0.0,,0.7674,,0.8274,,0.8875,
2025-08-26,0.4005,,0.3689,,0.6343,,0.712,,0.7897,,0.0,,0.0,,0.71,,0.804,,0.898,
2025-08-25,0.3071,,0.4237,,0.5858,,0.6964,,0.807,,0.0,,0.0,,0.6742,,0.783,,0.8917,
2025-08-22,0.5637,,0.3541,,0.7615,,0.7176,,0.6737,,0.0,,0.0,,0.767,,0.7907,,0.8143,
2025-08-21,0.5444,,0.3949,,0.6648,,0.7018,,0.7389,,0.0,,0.0,,0.7823,,0.8152,,0.848,
2025-08-20,0.0,,0.3704,,0.6228,,0.7477,,0.8726,,0.0,,0.0,,0.7326,,0.7882,,0.8438,
2025-08-19,0.0,,0.0,,0.663,,0.6754,,0.6877,,0.0,,0.0,,0.759,,0.8074,,0.8557,
