date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-30,0.1925,,0.2542,,0.47,,0.4781,,0.4862,,0.4193,,0.3972,,0.4844,,0.4853,,0.4862,
2025-06-27,0.2591,,0.2506,,0.453,,0.484,,0.5149,,0.4194,,0.3974,,0.4411,,0.478,,0.5149,
2025-06-26,0.3338,,0.2658,,0.4854,,0.5066,,0.5278,,0.4195,,0.3976,,0.4446,,0.4862,,0.5278,
2025-06-25,0.3451,,0.2699,,0.4913,,0.4875,,0.4837,,0.4193,,0.3977,,0.5016,,0.4926,,0.4837,
2025-06-24,0.3536,,0.2791,,0.4313,,,,,,0.4188,,0.3976,,0.4313,,,,,
2025-06-23,0.2935,,0.3002,,,,,,,,0.4177,,0.3976,,,,,,,
2025-06-20,0.3211,,0.3671,,0.4745,,,,,,0.42,,0.3998,,0.4785,,,,,
2025-06-18,0.3246,,0.3649,,0.4769,,,,,,0.4249,,0.4054,,0.4769,,,,,
2025-06-17,0.3401,,0.3603,,0.4345,,0.4652,,0.496,,0.4252,,0.4062,,0.5097,,0.5028,,0.496,
2025-06-16,0.328,,0.3506,,0.3671,,0.4248,,0.4826,,0.4217,,0.4059,,0.5012,,0.4919,,0.4826,
2025-06-13,0.3173,,0.3433,,0.4493,,0.493,,0.5366,,0.4211,,0.4065,,0.4734,,0.505,,0.5366,
2025-06-12,0.3569,,0.3327,,0.4115,,,,,,0.4201,,0.4085,,0.4573,,,,,
2025-06-11,0.3285,,0.3099,,,,,,0.4348,,0.4182,,0.4089,,,,,,0.4348,
2025-06-10,0.1681,,0.2306,,0.5008,,0.4666,,0.4324,,0.4139,,0.4073,,0.5008,,0.4914,,0.482,
2025-06-09,0.1727,,0.2462,,0.5321,,0.4846,,0.4372,,0.449,,0.4155,,0.5321,,0.5186,,0.5051,
2025-06-06,0.1748,,0.235,,0.5444,,0.491,,0.4375,,0.4518,,0.4177,,0.5444,,0.5192,,0.494,
2025-06-05,0.1959,,0.2277,,0.5133,,0.4732,,0.4331,,0.4557,,0.4186,,0.5133,,0.4998,,0.4864,
2025-06-04,0.2197,,0.2331,,0.5416,,0.4926,,0.4435,,0.4583,,0.4218,,0.5416,,0.522,,0.5024,
2025-06-03,0.206,,0.2214,,,,,,0.4785,,0.4583,,0.4223,,,,,,0.4785,
