date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-22,0.5697,76.0,0.4575,70.0,0.5792,71.0,0.5592,67.0,0.5392,60.0,0.6996,84.0,0.5245,80.0,0.5815,77.0,0.5863,76.0,0.5911,72.0
2025-09-19,0.5741,77.0,0.4649,72.0,0.4872,50.0,0.4956,50.0,0.5041,50.0,0.6986,84.0,0.5257,80.0,0.5855,79.0,0.5892,77.0,0.5928,72.0
2025-09-18,0.522,71.0,0.4631,72.0,0.5081,55.0,0.5036,52.0,0.4991,49.0,0.6954,82.0,0.524,80.0,0.5749,75.0,0.5821,73.0,0.5893,71.0
2025-09-16,0.5341,73.0,0.4656,73.0,0.5281,60.0,0.5134,56.0,0.4987,49.0,0.6961,83.0,0.5239,80.0,0.5859,79.0,0.5899,77.0,0.5939,73.0
2025-09-15,0.5242,72.0,0.4825,77.0,0.5257,60.0,0.5364,62.0,0.547,63.0,0.6959,83.0,0.5242,80.0,0.5791,77.0,0.5865,76.0,0.5939,73.0
2025-09-12,0.3897,49.0,0.4329,63.0,0.5035,54.0,0.4995,51.0,0.4955,48.0,0.6937,82.0,0.5231,79.0,0.5881,79.0,0.5839,74.0,0.5797,68.0
2025-09-10,0.3675,45.0,0.4545,69.0,0.5303,61.0,0.5267,59.0,0.523,56.0,0.7019,85.0,0.5246,80.0,0.5828,78.0,0.5836,74.0,0.5845,70.0
2025-09-09,0.3853,48.0,0.4763,76.0,0.5216,59.0,0.5159,56.0,0.5103,52.0,0.7106,88.0,0.528,81.0,0.5815,77.0,0.5817,73.0,0.5819,69.0
2025-09-08,0.4036,52.0,0.4846,77.0,0.5343,62.0,0.5327,61.0,0.5311,57.0,0.7114,88.0,0.5299,82.0,0.5833,78.0,0.5849,75.0,0.5864,70.0
2025-09-05,0.5749,77.0,0.5558,88.0,0.5106,56.0,0.5128,55.0,0.515,54.0,0.7172,89.0,0.5334,83.0,0.5802,77.0,0.5825,74.0,0.5848,70.0
2025-09-04,0.5654,76.0,0.5258,85.0,0.5106,56.0,0.5058,53.0,0.5011,50.0,0.7196,89.0,0.5392,85.0,0.5833,78.0,0.5834,74.0,0.5834,69.0
2025-08-26,0.568,76.0,0.3492,37.0,0.4765,47.0,0.4789,44.0,0.4813,44.0,0.7311,89.0,0.5451,87.0,0.5854,79.0,0.5879,76.0,0.5904,71.0
2025-08-25,0.5717,77.0,0.3701,45.0,0.4853,50.0,0.4782,44.0,0.4712,41.0,0.7318,89.0,0.5462,87.0,0.581,77.0,0.5814,73.0,0.5818,69.0
2025-08-22,0.5628,76.0,0.3754,47.0,0.4917,52.0,0.4912,48.0,0.4908,47.0,0.7305,89.0,0.5469,87.0,0.5725,75.0,0.5769,72.0,0.5813,69.0
2025-08-21,0.6543,83.0,0.4112,57.0,0.5483,65.0,0.5362,62.0,0.5242,56.0,0.7323,89.0,0.5511,88.0,0.5816,77.0,0.5824,74.0,0.5833,69.0
2025-08-20,0.6526,83.0,0.4421,66.0,0.5354,62.0,0.5341,61.0,0.5328,59.0,0.7303,89.0,0.5518,88.0,0.5769,76.0,0.5804,73.0,0.5839,69.0
2025-08-19,0.813,91.0,0.5293,86.0,0.5522,66.0,0.5458,65.0,0.5395,61.0,0.7335,89.0,0.5539,88.0,0.5772,76.0,0.5798,73.0,0.5823,69.0
2025-08-18,0.7195,87.0,0.5472,87.0,0.5373,62.0,0.5329,61.0,0.5285,57.0,0.7331,89.0,0.5537,88.0,0.5773,76.0,0.5855,75.0,0.5937,73.0
2025-08-15,1.0168,96.0,0.5907,90.0,0.5321,61.0,0.529,60.0,0.526,57.0,0.7286,89.0,0.552,88.0,0.5823,78.0,0.5809,73.0,0.5795,68.0
2025-08-13,1.0519,96.0,0.6127,92.0,0.5185,59.0,0.5264,60.0,0.5342,60.0,0.7274,92.0,0.5534,92.0,0.571,77.0,0.5808,76.0,0.5906,74.0
2025-08-12,1.0068,96.0,0.5998,92.0,0.5388,64.0,0.5372,63.0,0.5357,60.0,0.7242,92.0,0.5538,92.0,0.5705,77.0,0.5757,74.0,0.5809,72.0
2025-08-08,0.6543,84.0,0.4964,80.0,0.5218,60.0,0.519,59.0,0.5162,55.0,0.7134,92.0,0.5529,92.0,0.5721,78.0,0.5786,75.0,0.585,72.0
2025-08-07,0.683,86.0,0.4869,78.0,0.5523,66.0,0.5527,67.0,0.553,65.0,0.7148,92.0,0.5541,92.0,0.5839,81.0,0.5859,78.0,0.5879,73.0
2025-08-05,0.4433,61.0,0.3734,48.0,0.9666,97.0,0.9712,98.0,0.9757,98.0,0.7679,94.0,0.5632,94.0,0.5941,83.0,0.596,82.0,0.598,77.0
2025-08-04,0.3451,40.0,0.3265,31.0,0.9402,97.0,0.9371,97.0,0.934,97.0,0.7635,94.0,0.5622,94.0,0.5954,84.0,0.5955,81.0,0.5956,76.0
2025-08-01,0.3597,44.0,0.3045,23.0,1.0131,98.0,1.0114,98.0,1.0096,98.0,0.7678,94.0,0.5647,94.0,0.5979,84.0,0.5977,82.0,0.5975,77.0
2025-07-31,0.2429,17.0,0.2961,20.0,1.0015,98.0,0.996,98.0,0.9905,98.0,0.7718,95.0,0.5655,94.0,0.5968,84.0,0.5964,82.0,0.5961,76.0
2025-07-30,0.2502,18.0,0.317,28.0,1.0079,98.0,1.0062,98.0,1.0045,98.0,0.7779,95.0,0.5685,95.0,0.5965,84.0,0.5995,82.0,0.6025,79.0
