date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-13,1.1184,,2.5898,,,,,,,,2.277,,1.9924,,,,,,,
2025-11-12,1.8998,,3.091,,,,,,,,2.2711,,1.9941,,,,,,,
2025-11-10,2.2787,,2.6727,,,,,,,,2.2779,,1.9147,,,,,,,
2025-11-07,2.3954,,3.0185,,,,,,,,2.2782,,1.9118,,,,,,,
2025-11-06,2.2145,,3.1521,,,,,,,,2.271,,1.9179,,,,,,,
2025-11-05,1.9191,,3.1532,,,,,,,,2.256,,1.9149,,,,,,,
2025-11-04,1.8911,,2.7298,,,,,,,,2.2559,,1.8727,,,,,,,
2025-11-03,2.8177,,2.6659,,,,,,,,2.291,,1.8658,,,,,,,
2025-10-31,2.5416,,2.7403,,,,,,,,2.2708,,1.865,,,,,,,
2025-10-30,1.9449,,2.4594,,,,,,,,2.2414,,1.8184,,,,,,,
2025-10-29,1.6019,,2.2037,,,,,,,,2.2173,,1.7831,,,,,,,
2025-10-28,1.6353,,2.1098,,,,,,,,2.2174,,1.7712,,,,,,,
2025-10-27,1.9933,,2.1149,,,,,,,,2.2298,,1.7511,,,,,,,
2025-10-24,1.7635,,2.4985,,,,,,,,2.2264,,1.7454,,,,,,,
2025-10-23,1.7627,,2.7344,,,,,,,,2.2179,,1.7473,,,,,,,
2025-10-22,8.2094,,5.7508,,,,,,,,2.2146,,1.7445,,,,,,,
2025-10-21,8.5805,,6.3474,,,,,,,,2.2105,,1.7298,,,,,,,
2025-10-20,8.0921,,6.178,,,,,,,,2.1947,,1.6829,,,,,,,
2025-10-15,7.9927,,5.8691,,,,,,,,2.1852,,1.6186,,,,,,,
2025-10-14,8.3927,,5.8104,,,,,,,,2.2468,,1.6052,,,,,,,
2025-10-13,4.0677,,3.1235,,,,,,,,1.1726,,1.0944,,,,,,,
2025-10-10,1.4166,,1.4511,,,,,,,,0.663,,0.8579,,,,,,,
2025-10-09,1.2764,,1.3319,,,,,,,,0.6346,,0.8318,,,,,,,
2025-10-08,1.3584,,1.3542,,,,,,,,0.6331,,0.8307,,,,,,,
2025-10-07,1.3889,,1.3517,,,,,,,,0.6317,,0.83,,,,,,,
2025-10-06,1.3859,,1.3701,,,,,,,,0.626,,0.8285,,,,,,,
2025-10-02,1.0639,,1.1635,,,,,,,,0.5886,,0.8097,,,,,,,
2025-10-01,1.0372,,0.9199,,,,,,,,0.5849,,0.7929,,,,,,,
2025-09-30,0.7009,,0.6159,,,,,,,,0.5677,,0.7753,,,,,,,
2025-09-29,0.6356,,0.5543,,,,,,,,0.5591,,0.7722,,,,,,,
2025-09-24,0.3677,,0.4985,,,,,,,,0.5408,,0.7661,,,,,,,
2025-09-23,0.3953,,0.5274,,,,,,,,0.5419,,0.7672,,,,,,,
2025-09-22,0.4329,,0.5124,,,,,,,,0.5405,,0.7651,,,,,,,
