date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-31,0.2393,4.0,0.4201,20.0,0.9606,87.0,0.9719,91.0,0.9832,92.0,0.8084,90.0,0.7045,86.0,0.673,48.0,0.6789,51.0,0.6848,54.0
2025-07-30,0.2839,8.0,0.4216,20.0,1.0503,93.0,0.9844,91.0,0.9185,87.0,0.8121,91.0,0.7054,86.0,0.6783,50.0,0.6944,56.0,0.7104,63.0
2025-07-29,0.3063,11.0,0.4268,22.0,0.949,87.0,0.9168,86.0,0.8845,85.0,0.8118,91.0,0.7073,87.0,0.6828,52.0,0.6699,48.0,0.657,45.0
2025-07-28,0.2742,7.0,0.3906,13.0,0.9368,85.0,0.882,83.0,0.8272,78.0,0.8112,91.0,0.706,86.0,0.6787,50.0,0.6811,53.0,0.6835,53.0
2025-07-25,0.3212,13.0,0.3918,13.0,0.8689,79.0,0.8111,76.0,0.7533,70.0,0.8113,91.0,0.7058,86.0,0.6853,53.0,0.6788,51.0,0.6723,50.0
2025-07-24,0.3213,13.0,0.4009,15.0,0.8825,80.0,0.9275,87.0,0.9725,92.0,0.811,91.0,0.7083,87.0,0.6971,57.0,0.6776,51.0,0.6581,45.0
2025-07-22,0.3659,20.0,0.4295,22.0,0.8318,75.0,0.8204,76.0,0.8089,77.0,0.8178,91.0,0.7111,87.0,0.6908,55.0,0.708,61.0,0.7251,67.0
2025-07-21,0.3345,16.0,0.4179,19.0,0.9132,84.0,0.8988,85.0,0.8844,85.0,0.8177,91.0,0.7106,87.0,0.7203,63.0,0.7086,61.0,0.697,57.0
2025-07-18,0.3151,12.0,0.4187,19.0,0.9351,85.0,0.8778,83.0,0.8206,78.0,0.818,91.0,0.7106,87.0,0.7159,62.0,0.6892,55.0,0.6625,47.0
2025-07-17,0.371,20.0,0.3965,14.0,0.8641,78.0,0.8052,75.0,0.7463,69.0,0.8174,91.0,0.7104,87.0,0.7486,73.0,0.7203,64.0,0.692,57.0
2025-07-16,0.4345,33.0,0.4539,28.0,0.9449,86.0,0.8698,82.0,0.7947,75.0,0.8162,91.0,0.7112,87.0,0.7088,60.0,0.7057,60.0,0.7026,60.0
2025-07-15,0.5744,62.0,0.5271,47.0,0.7365,60.0,0.767,70.0,0.7974,75.0,0.818,91.0,0.7159,88.0,0.6771,50.0,0.676,50.0,0.6748,51.0
2025-07-14,0.5635,60.0,0.5042,41.0,0.9267,84.0,0.8507,80.0,0.7747,72.0,0.8175,91.0,0.7279,88.0,0.6893,54.0,0.6894,55.0,0.6894,56.0
2025-07-11,0.5715,62.0,0.5109,43.0,0.7741,68.0,0.7532,68.0,0.7323,67.0,0.9282,100.0,0.7532,89.0,0.6961,57.0,0.6882,55.0,0.6802,52.0
2025-07-09,0.5695,61.0,0.5624,54.0,0.7297,59.0,0.7006,56.0,0.6716,53.0,0.9284,100.0,0.7537,90.0,0.6917,55.0,0.6978,57.0,0.7038,60.0
2025-07-08,0.5288,54.0,0.6076,63.0,0.6396,38.0,0.7095,59.0,0.7795,73.0,0.9218,100.0,0.751,89.0,0.7214,63.0,0.712,62.0,0.7026,60.0
2025-07-07,0.5562,59.0,0.628,68.0,0.7112,55.0,0.661,46.0,0.6108,37.0,0.9254,100.0,0.7519,89.0,0.6954,57.0,0.7017,59.0,0.708,62.0
2025-07-03,0.5724,62.0,0.6669,76.0,0.7438,62.0,0.7095,59.0,0.6752,54.0,0.9216,100.0,0.7501,89.0,0.6818,52.0,0.6923,56.0,0.7028,60.0
2025-07-02,0.5534,57.0,0.6729,77.0,0.7424,61.0,0.6538,44.0,0.5651,26.0,0.9222,100.0,0.7504,89.0,0.7114,61.0,0.7129,62.0,0.7144,63.0
2025-07-01,0.6642,76.0,0.6889,79.0,0.6906,51.0,0.6679,48.0,0.6451,46.0,0.9219,100.0,0.7497,89.0,0.7087,60.0,0.7033,60.0,0.698,59.0
2025-06-30,0.6819,78.0,0.6774,78.0,0.808,72.0,0.7712,71.0,0.7343,67.0,0.9217,100.0,0.7489,89.0,0.7285,66.0,0.7265,65.0,0.7245,67.0
2025-06-27,0.6577,76.0,0.6536,73.0,0.6957,52.0,0.6408,40.0,0.586,31.0,0.9197,100.0,0.7471,89.0,0.7081,60.0,0.7098,62.0,0.7114,63.0
2025-06-26,0.7292,83.0,0.6731,77.0,0.8236,74.0,0.6864,53.0,0.5493,23.0,0.9214,100.0,0.7491,89.0,0.7037,59.0,0.7151,63.0,0.7265,67.0
2025-06-25,0.5498,57.0,0.5901,60.0,0.6724,47.0,0.5976,28.0,0.5228,17.0,0.9165,100.0,0.7466,89.0,0.7428,72.0,0.7336,68.0,0.7244,67.0
2025-06-24,0.4497,37.0,0.4756,35.0,0.6581,43.0,0.7056,57.0,0.753,69.0,0.917,100.0,0.7439,89.0,0.7759,82.0,0.7612,79.0,0.7465,73.0
2025-06-23,0.4815,43.0,0.4924,38.0,0.7461,62.0,0.719,61.0,0.6919,59.0,0.9173,100.0,0.745,89.0,0.7473,73.0,0.7495,73.0,0.7518,76.0
2025-06-20,0.448,37.0,0.45,28.0,0.5959,28.0,0.6202,35.0,0.6446,46.0,0.9244,100.0,0.7504,89.0,0.7516,74.0,0.775,83.0,0.7984,87.0
2025-06-18,0.4551,38.0,0.4572,28.0,0.687,50.0,0.6567,44.0,0.6265,41.0,0.9271,100.0,0.7557,90.0,0.7858,84.0,0.78,84.0,0.7742,83.0
2025-06-17,0.4495,37.0,0.4385,25.0,0.5405,19.0,0.6484,42.0,0.7562,70.0,0.9273,100.0,0.7566,90.0,0.8001,87.0,0.7944,87.0,0.7886,86.0
2025-06-16,0.3679,20.0,0.4016,15.0,0.6316,36.0,0.6316,38.0,0.6315,42.0,0.9258,100.0,0.7565,90.0,0.7537,75.0,0.7725,83.0,0.7912,86.0
2025-06-13,0.3114,12.0,0.4612,30.0,0.9037,83.0,0.862,81.0,0.8204,78.0,0.924,100.0,0.7562,90.0,0.7853,84.0,0.7893,86.0,0.7933,86.0
2025-06-12,0.317,12.0,0.4525,28.0,0.6046,30.0,0.6074,32.0,0.6103,37.0,0.9242,100.0,0.7565,90.0,0.7819,83.0,0.7594,78.0,0.737,70.0
2025-06-11,0.4443,36.0,0.5152,44.0,0.8191,73.0,0.7704,71.0,0.7216,65.0,0.9287,100.0,0.7588,90.0,0.7896,85.0,0.7786,84.0,0.7675,81.0
2025-06-10,0.4567,38.0,0.5209,45.0,0.7492,63.0,0.7091,59.0,0.669,52.0,0.9287,100.0,0.7591,90.0,0.7901,85.0,0.7947,87.0,0.7993,87.0
2025-06-09,0.48,43.0,0.5189,45.0,0.84,76.0,0.7636,70.0,0.6873,57.0,0.9288,100.0,0.7586,90.0,0.7878,85.0,0.7874,86.0,0.7869,85.0
2025-06-06,0.5644,60.0,0.5601,54.0,0.7872,69.0,0.7458,66.0,0.7043,61.0,0.9315,100.0,0.7591,90.0,0.7631,78.0,0.7702,82.0,0.7773,84.0
2025-06-05,0.6039,69.0,0.5583,53.0,0.7291,59.0,0.7128,60.0,0.6965,60.0,0.9347,100.0,0.7604,90.0,0.8219,89.0,0.8008,87.0,0.7797,84.0
2025-06-04,0.5917,66.0,0.4891,37.0,0.7996,71.0,0.7792,72.0,0.7587,71.0,0.9341,100.0,0.7582,90.0,0.8155,89.0,0.7974,87.0,0.7792,84.0
2025-06-03,0.5882,65.0,0.517,44.0,0.7763,68.0,0.8121,76.0,0.8479,81.0,0.9351,100.0,0.7594,90.0,0.8043,88.0,0.8136,89.0,0.8228,89.0
2025-06-02,0.3278,15.0,0.4375,25.0,0.8681,79.0,0.7525,68.0,0.6369,44.0,0.9282,100.0,0.7568,90.0,0.8453,92.0,0.8492,92.0,0.8532,92.0
2025-05-30,0.4105,27.0,0.4672,32.0,0.8275,74.0,0.7829,72.0,0.7382,68.0,0.9281,100.0,0.7568,90.0,0.8264,90.0,0.8054,88.0,0.7844,85.0
2025-05-29,0.4632,40.0,0.4725,34.0,0.8495,77.0,0.8158,76.0,0.7821,74.0,0.9282,100.0,0.7565,90.0,0.806,88.0,0.7985,87.0,0.7909,86.0
2025-05-28,0.4473,36.0,0.4473,27.0,0.8135,72.0,0.7315,63.0,0.6496,47.0,0.9271,100.0,0.7555,90.0,0.8353,91.0,0.8148,89.0,0.7943,87.0
