date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-21,0.2396,56.0,0.2282,52.0,0.335,65.0,0.3244,60.0,0.3137,56.0,0.1912,4.0,0.195,5.0,0.3057,43.0,0.3006,34.0,0.2956,26.0
2025-10-20,0.2467,57.0,0.2359,56.0,0.3574,71.0,0.3478,68.0,0.3383,64.0,0.1992,4.0,0.2039,9.0,0.3003,37.0,0.2951,27.0,0.2898,20.0
2025-10-15,0.2838,67.0,0.2394,57.0,0.3702,75.0,0.3537,69.0,0.3372,63.0,0.2005,5.0,0.2035,8.0,0.3117,48.0,0.3024,36.0,0.293,23.0
2025-10-14,0.2338,54.0,0.2075,41.0,0.3581,71.0,0.3571,70.0,0.3561,69.0,0.1956,4.0,0.2021,7.0,0.3003,37.0,0.2966,28.0,0.2928,23.0
2025-10-13,0.2358,55.0,0.1976,35.0,0.3635,73.0,0.3536,69.0,0.3437,65.0,0.1958,4.0,0.2018,7.0,0.306,43.0,0.3016,35.0,0.2972,28.0
2025-10-10,0.1803,33.0,0.1651,15.0,0.2966,51.0,0.3092,55.0,0.3218,57.0,0.1932,4.0,0.2004,7.0,0.3058,43.0,0.3091,43.0,0.3124,44.0
2025-10-09,0.1817,33.0,0.1557,10.0,0.2223,15.0,0.2316,18.0,0.241,22.0,0.1945,4.0,0.2003,6.0,0.309,46.0,0.305,39.0,0.3011,32.0
2025-10-08,0.1336,14.0,0.129,2.0,0.2327,20.0,0.2866,46.0,0.3405,64.0,0.1959,4.0,0.2006,7.0,0.293,28.0,0.295,27.0,0.2969,27.0
2025-10-07,0.0844,2.0,0.12,1.0,0.3402,66.0,0.3468,67.0,0.3534,68.0,0.1947,4.0,0.2012,7.0,0.2911,26.0,0.2941,26.0,0.297,28.0
2025-10-06,0.0914,3.0,0.1261,2.0,0.2444,25.0,0.2486,27.0,0.2529,28.0,0.2102,5.0,0.2091,11.0,0.2925,27.0,0.2961,28.0,0.2997,30.0
2025-10-02,0.1299,13.0,0.1395,4.0,0.2774,42.0,0.2689,36.0,0.2604,32.0,0.2127,6.0,0.2151,17.0,0.3032,40.0,0.2992,33.0,0.2951,26.0
2025-10-01,0.1309,13.0,0.1742,21.0,0.2653,36.0,0.2596,32.0,0.2538,28.0,0.2146,6.0,0.2159,18.0,0.2991,35.0,0.2984,32.0,0.2976,28.0
2025-09-30,0.1578,23.0,0.187,28.0,0.2372,22.0,0.2506,28.0,0.2639,34.0,0.2145,6.0,0.2165,18.0,0.2928,28.0,0.2961,28.0,0.2993,30.0
2025-09-29,0.1785,32.0,0.1977,36.0,0.246,26.0,0.2478,26.0,0.2495,27.0,0.2159,7.0,0.2182,20.0,0.2964,32.0,0.2948,27.0,0.2931,24.0
2025-09-24,0.1515,20.0,0.1724,19.0,0.2545,31.0,0.2453,25.0,0.2361,20.0,0.2154,7.0,0.2179,20.0,0.2954,31.0,0.2917,23.0,0.288,18.0
2025-09-23,0.1378,15.0,0.1942,33.0,0.2556,31.0,0.2478,26.0,0.24,22.0,0.2156,7.0,0.2189,21.0,0.2979,34.0,0.2946,27.0,0.2914,22.0
2025-09-22,0.1458,18.0,0.1701,18.0,0.2601,34.0,0.2396,22.0,0.219,11.0,0.2154,7.0,0.2177,20.0,0.2978,34.0,0.2918,24.0,0.2859,16.0
2025-09-19,0.2572,61.0,0.2025,38.0,0.2421,24.0,0.2423,23.0,0.2425,23.0,0.2146,6.0,0.2173,19.0,0.2883,22.0,0.2874,19.0,0.2864,17.0
2025-09-18,0.3208,74.0,0.2211,49.0,0.2956,50.0,0.2558,30.0,0.2159,10.0,0.2135,6.0,0.2174,19.0,0.2848,18.0,0.2832,15.0,0.2816,13.0
2025-09-16,0.3175,74.0,0.2803,71.0,0.2923,49.0,0.261,33.0,0.2296,16.0,0.2153,7.0,0.2178,20.0,0.2883,22.0,0.2856,17.0,0.283,14.0
2025-09-15,0.3135,73.0,0.2814,71.0,0.2963,51.0,0.2584,32.0,0.2204,12.0,0.2155,7.0,0.2186,20.0,0.2929,28.0,0.2912,23.0,0.2894,20.0
2025-09-12,0.3157,73.0,0.2789,70.0,0.2783,43.0,0.2547,30.0,0.2312,17.0,0.2167,7.0,0.2195,21.0,0.2937,28.0,0.2854,17.0,0.277,10.0
2025-09-10,0.2066,44.0,0.2393,57.0,0.2668,37.0,0.2464,25.0,0.226,14.0,0.2114,6.0,0.2174,19.0,0.2882,22.0,0.2809,13.0,0.2735,8.0
2025-09-09,0.0754,2.0,0.2114,44.0,0.2654,36.0,0.2859,45.0,0.3063,53.0,0.206,5.0,0.2162,18.0,0.2711,9.0,0.2802,13.0,0.2892,19.0
2025-09-08,0.0935,4.0,0.2138,45.0,0.2138,11.0,0.2299,16.0,0.246,25.0,0.2073,5.0,0.2169,19.0,0.2795,14.0,0.2814,13.0,0.2832,14.0
2025-09-05,0.1675,27.0,0.1498,7.0,0.2039,6.0,0.2372,21.0,0.2706,37.0,0.2086,5.0,0.2143,17.0,0.2767,12.0,0.278,11.0,0.2793,11.0
2025-09-04,0.1739,30.0,0.1422,5.0,0.2087,8.0,0.238,21.0,0.2672,36.0,0.2104,6.0,0.2146,17.0,0.2678,8.0,0.2718,7.0,0.2759,10.0
