date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-25,0.1245,,0.0806,,0.1718,,0.1638,,0.1559,,0.2885,,0.214,,0.1759,,0.1833,,0.1907,
2025-06-24,0.1479,,0.0833,,0.1507,,0.16,,0.1693,,0.2886,,0.2141,,0.1652,,0.1813,,0.1973,
2025-06-23,0.1273,,0.0806,,0.1525,,0.1702,,0.1878,,0.2885,,0.2155,,0.1647,,0.1882,,0.2116,
2025-06-20,0.1079,,0.0719,,0.1546,,0.1692,,0.1837,,0.2882,,0.2155,,0.1725,,0.1892,,0.206,
2025-06-18,0.1089,,0.0685,,0.1382,,0.1622,,0.1862,,0.2929,,0.2181,,0.1729,,0.214,,0.2552,
2025-06-17,0.1092,,0.0677,,0.1471,,0.1669,,0.1867,,0.293,,0.2181,,0.1762,,0.1886,,0.2011,
2025-06-16,0.1207,,0.0667,,0.1676,,0.1703,,0.1729,,0.2933,,0.2181,,0.1734,,0.1832,,0.1931,
2025-06-13,0.0965,,0.0785,,0.1605,,0.1726,,0.1847,,0.2928,,0.2182,,0.1825,,0.1913,,0.2001,
2025-06-12,0.0746,,0.0727,,0.1651,,0.1716,,0.1782,,0.2926,,0.2181,,0.149,,0.173,,0.1969,
2025-06-11,0.0855,,0.0734,,0.1662,,0.1752,,0.1843,,0.2932,,0.2181,,0.1708,,0.1822,,0.1936,
2025-06-10,0.0962,,0.0823,,0.1591,,0.1677,,0.1763,,0.2933,,0.2182,,0.1636,,0.1842,,0.2049,
2025-06-09,0.0951,,0.0905,,0.168,,0.167,,0.166,,0.2943,,0.2187,,0.1736,,0.186,,0.1985,
2025-06-06,0.0852,,0.1002,,0.1503,,0.1612,,0.1722,,0.2944,,0.2187,,0.1747,,0.1865,,0.1983,
2025-06-05,0.0857,,0.1013,,0.151,,0.1666,,0.1823,,0.2942,,0.2187,,0.1834,,0.1914,,0.1995,
2025-06-04,0.1165,,0.0935,,0.1652,,0.1674,,0.1697,,0.2943,,0.2185,,0.1753,,0.1889,,0.2024,
2025-06-03,0.1274,,0.1027,,0.1638,,0.1729,,0.182,,0.2943,,0.2185,,0.1689,,0.1884,,0.2079,
2025-06-02,0.1248,,0.105,,0.1569,,0.1697,,0.1825,,0.2941,,0.2184,,0.1783,,0.1908,,0.2033,
2025-05-30,0.1683,,0.1144,,0.1706,,0.1779,,0.1852,,0.2941,,0.2182,,0.1857,,0.1952,,0.2047,
2025-05-29,0.1699,,0.1071,,0.1732,,0.1785,,0.1838,,0.2942,,0.2181,,0.1834,,0.1951,,0.2068,
2025-05-28,0.1716,,0.1163,,0.1919,,0.1848,,0.1776,,0.2944,,0.2179,,0.189,,0.1946,,0.2001,
2025-05-27,0.1751,,0.1205,,0.1621,,0.1808,,0.1994,,0.2943,,0.2181,,0.177,,0.196,,0.215,
2025-05-23,0.1219,,0.1232,,0.1883,,0.1991,,0.2099,,0.2932,,0.218,,0.19,,0.2048,,0.2197,
2025-05-22,0.1252,,0.1161,,0.1847,,0.1886,,0.1926,,0.2932,,0.218,,0.1892,,0.1998,,0.2104,
2025-05-21,0.1522,,0.1258,,0.1809,,0.1892,,0.1975,,0.2931,,0.2181,,0.1875,,0.2008,,0.2141,
2025-05-20,0.186,,0.1179,,0.1512,,0.1689,,0.1866,,0.2925,,0.2181,,0.172,,0.19,,0.2079,
2025-05-19,0.1784,,0.1273,,0.1395,,0.174,,0.2085,,0.2925,,0.2182,,0.1597,,0.1874,,0.215,
2025-05-16,0.1747,,0.1211,,0.1468,,0.1664,,0.1859,,0.293,,0.218,,0.1701,,0.1869,,0.2037,
2025-05-15,0.1755,,0.1215,,0.1481,,0.17,,0.1918,,0.2933,,0.218,,0.1705,,0.188,,0.2056,
2025-05-14,0.2002,,0.12,,0.1958,,0.1943,,0.1928,,0.2933,,0.2179,,0.1848,,0.1921,,0.1995,
2025-05-13,0.2191,,0.1242,,0.1675,,0.1737,,0.1799,,0.2932,,0.218,,0.1742,,0.189,,0.2039,
2025-05-12,0.2319,,0.1179,,0.1732,,0.186,,0.1989,,0.2926,,0.2177,,0.1794,,0.1954,,0.2113,
2025-05-09,0.1593,,0.1164,,0.208,,0.2082,,0.2085,,0.2894,,0.2175,,0.2053,,0.2145,,0.2237,
2025-05-08,0.16,,0.143,,0.2156,,0.21,,0.2044,,0.291,,0.2174,,0.2143,,0.2195,,0.2247,
2025-05-07,0.1562,,0.1394,,0.1922,,0.2133,,0.2344,,0.2933,,0.2172,,0.2003,,0.2173,,0.2343,
2025-05-06,0.1557,,0.1474,,0.2194,,0.2156,,0.2117,,0.2942,,0.2174,,0.2123,,0.2182,,0.2241,
2025-05-05,0.1437,,0.1498,,0.2088,,0.2104,,0.212,,0.294,,0.2173,,0.2067,,0.2155,,0.2243,
2025-05-02,0.1756,,0.1662,,0.1949,,0.2085,,0.2221,,0.2939,,0.2173,,0.2026,,0.2175,,0.2324,
2025-05-01,0.1684,,0.178,,0.2755,,0.2392,,0.2029,,0.2938,,0.2173,,0.2294,,0.2249,,0.2204,
2025-04-30,0.208,,0.1887,,0.1814,,0.2389,,0.2964,,0.2937,,0.2173,,0.1895,,0.2194,,0.2493,
2025-04-29,0.3207,,0.1965,,0.1982,,0.226,,0.2539,,0.2939,,0.2162,,0.2026,,0.2192,,0.2358,
2025-04-28,0.3291,,0.1985,,0.2186,,0.225,,0.2314,,0.2938,,0.216,,0.2019,,0.2202,,0.2386,
2025-04-25,0.377,,0.2159,,0.194,,0.2302,,0.2663,,0.2938,,0.2157,,0.2004,,0.221,,0.2416,
2025-04-24,0.3747,,0.2148,,0.2471,,0.273,,0.2989,,0.2934,,0.2154,,0.1932,,0.2227,,0.2522,
2025-04-23,0.3322,,0.2177,,0.3106,,0.2754,,0.2402,,0.2906,,0.2149,,0.2381,,0.237,,0.2358,
