date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-05,1.068,,0.616,,0.7172,,0.7302,,0.7432,,0.6977,,0.4109,,0.7567,,0.7472,,0.7378,
2025-11-04,1.0711,,0.5991,,0.7786,,0.8577,,0.9368,,0.706,,0.4111,,0.7438,,0.7438,,0.7438,
2025-11-03,0.8901,,0.3536,,0.619,,0.6581,,0.6972,,0.7215,,0.4007,,0.7219,,0.728,,0.734,
2025-10-31,0.7587,,0.3304,,0.5534,,0.5774,,0.6014,,0.7115,,0.3992,,0.7365,,0.7322,,0.7279,
2025-10-30,0.7157,,0.319,,0.7125,,0.7234,,0.7343,,0.7083,,0.3987,,0.7345,,0.7368,,0.7391,
2025-10-29,0.6541,,0.3777,,0.7177,,0.6512,,0.5847,,0.7037,,0.398,,0.7435,,0.736,,0.7285,
2025-10-28,0.6356,,0.3506,,0.5951,,0.7056,,0.8162,,0.7007,,0.396,,0.7255,,0.7312,,0.7368,
2025-10-27,0.598,,0.3571,,0.7376,,0.7148,,0.692,,0.6999,,0.3959,,0.7339,,0.7277,,0.7215,
2025-10-24,0.4855,,0.398,,0.7198,,0.6708,,0.6217,,0.6954,,0.3963,,0.7416,,0.7333,,0.7251,
2025-10-23,0.4931,,0.4172,,0.7366,,0.7343,,0.732,,0.6954,,0.3957,,0.7443,,0.7398,,0.7353,
2025-10-22,0.4693,,0.4654,,0.7562,,0.7654,,0.7745,,0.6947,,0.3958,,0.7404,,0.7414,,0.7424,
2025-10-21,0.6067,,0.4841,,0.6685,,0.6688,,0.6691,,0.6908,,0.3964,,0.7514,,0.7416,,0.7319,
2025-10-20,0.7764,,0.5714,,0.85,,0.8175,,0.785,,0.6913,,0.3928,,0.7477,,0.7374,,0.7272,
2025-10-15,0.75,,0.5824,,0.5242,,0.6247,,0.7252,,0.6973,,0.3947,,0.7346,,0.7318,,0.7291,
2025-10-14,0.8421,,0.5731,,0.7216,,0.7608,,0.7999,,0.6949,,0.3939,,0.723,,0.7304,,0.7379,
2025-10-13,0.8444,,0.5345,,0.6907,,0.656,,0.6214,,0.6939,,0.3918,,0.7277,,0.7243,,0.7208,
2025-10-10,0.7573,,0.5049,,0.6994,,0.6966,,0.6938,,0.6901,,0.3893,,0.7245,,0.7241,,0.7237,
2025-10-09,0.6347,,0.3687,,0.7621,,0.7291,,0.6961,,0.6804,,0.3823,,0.7226,,0.7252,,0.7277,
2025-10-08,0.5527,,0.3601,,0.6174,,0.6122,,0.6069,,0.6776,,0.3823,,0.7285,,0.7217,,0.7149,
2025-10-07,0.5769,,0.3577,,0.6242,,0.626,,0.6278,,0.6891,,0.3874,,0.714,,0.7128,,0.7115,
2025-10-06,0.316,,0.3,,0.6661,,0.642,,0.6178,,0.699,,0.4006,,0.6999,,0.7144,,0.729,
2025-10-02,0.6005,,0.3095,,0.6114,,0.6132,,0.615,,0.7426,,0.4136,,0.707,,0.7157,,0.7244,
2025-10-01,0.571,,0.2818,,0.6265,,0.6264,,0.6262,,0.7414,,0.4131,,0.6963,,0.706,,0.7156,
2025-09-30,0.6754,,0.2871,,0.6807,,0.6365,,0.5923,,0.7479,,0.4134,,0.7227,,0.704,,0.6853,
2025-09-29,0.6884,,0.291,,0.6496,,0.647,,0.6444,,0.7474,,0.414,,0.6854,,0.6866,,0.6879,
2025-09-24,0.5025,,0.1949,,0.6434,,0.6365,,0.6297,,0.7498,,0.4128,,0.7139,,0.7161,,0.7183,
2025-09-23,0.4978,,0.2004,,0.6559,,0.654,,0.652,,0.7499,,0.4129,,0.7186,,0.7103,,0.7019,
2025-09-22,0.6409,,0.2281,,0.6337,,0.643,,0.6522,,0.7519,,0.4138,,0.6912,,0.7135,,0.7358,
2025-09-19,0.5021,,0.2167,,0.6075,,0.6186,,0.6298,,0.7443,,0.4135,,0.7104,,0.7006,,0.6908,
2025-09-18,0.4432,,0.2376,,0.5102,,0.4916,,0.473,,0.7462,,0.4132,,0.7106,,0.7031,,0.6956,
2025-09-16,0.4577,,0.2403,,0.6541,,0.6275,,0.6008,,0.7481,,0.4136,,0.7092,,0.7064,,0.7036,
2025-09-15,0.4598,,0.2969,,0.6282,,0.6214,,0.6146,,0.7529,,0.4144,,0.7043,,0.7052,,0.7061,
2025-09-12,0.4911,,0.3147,,0.587,,0.601,,0.6149,,0.751,,0.4145,,0.7199,,0.7026,,0.6853,
2025-09-10,0.46,,0.3208,,0.6398,,0.6173,,0.5947,,0.7494,,0.415,,0.715,,0.7066,,0.6982,
2025-09-09,0.4748,,0.3141,,0.6266,,0.6186,,0.6107,,0.7501,,0.4156,,0.7214,,0.7143,,0.7072,
2025-09-08,0.4928,,0.3346,,0.636,,0.6446,,0.6532,,0.7528,,0.4168,,0.7211,,0.7174,,0.7138,
2025-09-05,0.4871,,0.333,,0.7787,,0.7333,,0.688,,0.7544,,0.4196,,0.7277,,0.7201,,0.7125,
2025-09-04,0.5606,,0.3075,,0.7053,,0.6984,,0.6914,,0.784,,0.4384,,0.7264,,0.7239,,0.7214,
2025-08-26,1.2056,,0.6374,,0.7951,,0.7994,,0.8038,,0.7811,,0.4602,,0.7452,,0.747,,0.7487,
2025-08-25,1.2057,,0.6564,,0.7551,,0.756,,0.7568,,0.7818,,0.4611,,0.7275,,0.739,,0.7505,
2025-08-22,1.0751,,0.645,,0.7408,,0.7484,,0.756,,0.775,,0.4643,,0.7391,,0.7325,,0.7259,
2025-08-21,0.6767,,0.433,,0.7069,,0.7033,,0.6997,,0.7579,,0.4526,,0.7093,,0.7074,,0.7055,
2025-08-20,0.7703,,0.4451,,0.7198,,0.7151,,0.7105,,0.7562,,0.4525,,0.7247,,0.7214,,0.7182,
2025-08-19,0.7626,,0.4162,,0.7115,,0.7086,,0.7056,,0.7566,,0.4544,,0.7429,,0.7399,,0.7369,
2025-08-18,0.6971,,0.3954,,0.7373,,0.7324,,0.7276,,0.7525,,0.4525,,0.7387,,0.7336,,0.7284,
2025-08-15,0.7028,,0.3926,,0.7239,,0.717,,0.7101,,0.7537,,0.4521,,0.7258,,0.7256,,0.7254,
2025-08-13,0.4639,,0.3336,,0.7397,,0.7203,,0.7008,,0.7515,,0.4505,,0.7656,,0.7635,,0.7614,
2025-08-12,0.4634,,0.3521,,0.6639,,0.6622,,0.6606,,0.7493,,0.4501,,0.7376,,0.7386,,0.7395,
2025-08-08,0.7128,,0.3351,,0.6898,,0.6905,,0.6912,,0.7455,,0.451,,0.7664,,0.7704,,0.7743,
2025-08-07,0.6587,,0.3372,,0.652,,0.6449,,0.6378,,0.744,,0.45,,0.7252,,0.727,,0.7288,
2025-08-05,0.6093,,0.3502,,0.6346,,0.6376,,0.6405,,0.7444,,0.4551,,0.6882,,0.6922,,0.6962,
2025-08-04,0.63,,0.3535,,0.5845,,0.6136,,0.6428,,0.7441,,0.4555,,0.6775,,0.6872,,0.697,
2025-08-01,0.5959,,0.3521,,0.6451,,0.6415,,0.6378,,0.7407,,0.4563,,0.6856,,0.6834,,0.6813,
2025-07-31,0.4522,,0.3336,,0.6213,,0.6219,,0.6225,,0.7903,,0.4605,,0.6713,,0.6763,,0.6813,
2025-07-30,0.4749,,0.3484,,0.7016,,0.6398,,0.5779,,0.7912,,0.4619,,0.7015,,0.6812,,0.6609,
2025-07-29,0.5518,,0.3423,,0.615,,0.6428,,0.6707,,0.7921,,0.4607,,0.6784,,0.6794,,0.6804,
2025-07-28,0.5583,,0.3408,,0.7068,,0.6785,,0.6502,,0.7918,,0.4608,,0.6986,,0.6924,,0.6862,
2025-07-25,0.5223,,0.3362,,0.664,,0.6839,,0.7038,,0.7902,,0.4612,,0.6919,,0.6981,,0.7043,
2025-07-24,0.7069,,0.3971,,0.6734,,0.6693,,0.6652,,0.7939,,0.4614,,0.7078,,0.7081,,0.7084,
2025-07-22,0.6417,,0.3953,,0.7631,,0.6816,,0.6,,0.7917,,0.4606,,0.7093,,0.7007,,0.6921,
2025-07-21,0.6013,,0.3864,,0.7381,,0.7182,,0.6982,,0.7914,,0.46,,0.7149,,0.7118,,0.7087,
2025-07-18,0.612,,0.3773,,0.652,,0.6734,,0.6948,,0.7933,,0.4597,,0.6777,,0.6756,,0.6734,
2025-07-17,0.6202,,0.4127,,0.5312,,0.6051,,0.679,,0.7954,,0.4595,,0.6745,,0.68,,0.6855,
2025-07-16,0.5766,,0.4037,,0.789,,0.7547,,0.7204,,0.7947,,0.4592,,0.72,,0.7144,,0.7087,
2025-07-15,0.4628,,0.3441,,0.61,,0.7128,,0.8155,,0.7874,,0.4588,,0.6952,,0.7112,,0.7272,
2025-07-14,0.5134,,0.3195,,0.6674,,0.6698,,0.6722,,0.7893,,0.4576,,0.6919,,0.6959,,0.6999,
2025-07-11,0.5814,,0.3845,,0.6702,,0.6447,,0.6192,,0.7923,,0.4601,,0.6983,,0.696,,0.6936,
2025-07-09,0.7153,,0.3856,,0.6267,,0.6266,,0.6265,,0.7876,,0.4624,,0.6369,,0.6604,,0.6839,
2025-07-08,0.6587,,0.3307,,0.5707,,0.572,,0.5732,,0.792,,0.4652,,0.6595,,0.6659,,0.6723,
2025-07-07,0.6712,,0.3245,,0.5875,,0.5783,,0.5691,,0.7917,,0.4649,,0.6734,,0.6738,,0.6741,
2025-07-03,0.6499,,0.2513,,0.605,,0.6017,,0.5984,,0.7934,,0.4625,,0.679,,0.6808,,0.6827,
2025-07-02,0.6952,,0.3302,,0.6885,,0.6614,,0.6343,,0.7959,,0.4653,,0.6675,,0.6733,,0.6791,
2025-07-01,0.5979,,0.3178,,0.3877,,0.4718,,0.5559,,0.7869,,0.463,,0.6578,,0.654,,0.6503,
2025-06-30,0.5552,,0.4167,,0.5756,,0.5868,,0.5981,,0.7848,,0.4636,,0.6719,,0.675,,0.678,
2025-06-27,0.4801,,0.4112,,0.6228,,0.6161,,0.6094,,0.7823,,0.4632,,0.6719,,0.6758,,0.6796,
2025-06-26,0.549,,0.4311,,0.6549,,0.6423,,0.6297,,0.7855,,0.4628,,0.6826,,0.6822,,0.6819,
2025-06-25,0.6766,,0.4336,,0.6617,,0.659,,0.6564,,0.7869,,0.463,,0.6795,,0.6828,,0.6861,
