date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-09,0.2772,,0.1535,,0.2704,,0.2778,,0.2851,,0.2508,,0.1689,,0.2297,,0.2574,,0.2851,
2025-07-08,0.2333,,0.1335,,0.2466,,0.2792,,0.3117,,0.2496,,0.1682,,0.2091,,0.2604,,0.3117,
2025-07-07,0.2571,,0.1473,,0.2711,,0.2808,,0.2904,,0.2505,,0.1689,,0.2265,,0.2584,,0.2904,
2025-07-03,0.2177,,0.1282,,0.2373,,0.2407,,0.2441,,0.2499,,0.1691,,0.2004,,0.2447,,0.289,
2025-07-02,0.2115,,0.1301,,,,,,0.2468,,0.2493,,0.1692,,,,,,0.2931,
2025-07-01,0.2139,,0.1215,,0.2375,,0.2682,,0.2988,,0.2493,,0.1689,,0.2,,0.2494,,0.2988,
2025-06-30,0.3569,,0.1298,,0.208,,0.2597,,0.3114,,0.2558,,0.1693,,0.1773,,0.2444,,0.3114,
2025-06-27,0.3142,,0.0945,,0.2369,,0.2658,,0.2947,,0.2541,,0.168,,0.2019,,0.2483,,0.2947,
2025-06-26,0.3114,,0.1013,,0.225,,0.262,,0.299,,0.2545,,0.1681,,0.2018,,0.2504,,0.299,
2025-06-25,0.301,,0.1031,,0.2593,,0.268,,0.2768,,0.2532,,0.1682,,0.2136,,0.2518,,0.29,
2025-06-24,0.2945,,0.1069,,0.262,,0.2766,,0.2911,,0.2542,,0.1683,,0.2317,,0.2614,,0.2911,
2025-06-23,0.298,,0.1045,,0.2537,,0.2718,,0.2899,,0.2546,,0.1684,,0.2123,,0.2594,,0.3066,
2025-06-20,0.3117,,0.1185,,0.2399,,0.2556,,0.2712,,0.2567,,0.1687,,0.2299,,0.2623,,0.2947,
2025-06-18,0.1172,,0.1144,,,,,,0.4175,,0.2639,,0.1738,,,,,,0.3104,
2025-06-17,0.123,,0.1273,,,,,,0.4231,,0.2644,,0.1755,,,,,,0.3111,
2025-06-16,0.1079,,0.1239,,,,,,0.4323,,0.2663,,0.1761,,,,,,0.3239,
2025-06-13,0.0691,,0.1206,,0.1712,,0.2751,,0.379,,0.2672,,0.1763,,0.1712,,0.2751,,0.379,
2025-06-12,0.1015,,0.128,,0.1704,,0.2732,,0.3761,,0.2708,,0.1775,,0.1704,,0.2732,,0.3761,
2025-06-11,0.1232,,0.1452,,0.166,,0.278,,0.3899,,0.2729,,0.1803,,0.166,,0.2509,,0.3358,
2025-06-10,0.1107,,0.1402,,,,,,0.3691,,0.2728,,0.1798,,,,,,0.3156,
2025-06-09,0.1772,,0.1428,,,,,,0.4124,,0.2735,,0.1798,,,,,,0.3397,
2025-06-06,0.1775,,0.1325,,,,,,0.408,,0.2771,,0.1803,,,,,,0.3323,
2025-06-05,0.1879,,0.1341,,0.1779,,0.2814,,0.385,,0.2781,,0.1802,,0.1779,,0.2504,,0.323,
2025-06-04,0.2065,,0.1345,,0.1967,,0.2742,,0.3517,,0.2781,,0.1802,,0.1967,,0.2522,,0.3077,
2025-06-03,0.2049,,0.171,,,,,,0.4048,,0.2782,,0.18,,,,,,0.3295,
2025-06-02,0.1896,,0.1744,,,,,,0.8554,,0.2781,,0.1793,,,,,,0.8554,
2025-05-30,0.1902,,0.1742,,,,,,0.343,,0.2821,,0.181,,,,,,0.3227,
2025-05-29,0.1549,,0.1697,,,,,,0.3714,,0.2853,,0.1834,,,,,,0.3215,
2025-05-28,0.1606,,0.1771,,0.1847,,0.2698,,0.355,,0.2854,,0.1834,,0.1847,,0.2549,,0.3251,
2025-05-27,0.1379,,0.1813,,0.1894,,0.2739,,0.3583,,0.2848,,0.1832,,0.1841,,0.2541,,0.3241,
2025-05-23,0.1153,,0.187,,,,,,0.3815,,0.2853,,0.1835,,,,,,0.3651,
2025-05-22,0.1066,,0.148,,0.2112,,0.2596,,0.308,,0.2856,,0.1814,,0.2112,,0.2602,,0.3091,
2025-05-21,0.2302,,0.1424,,,,,,0.3645,,0.2854,,0.1804,,,,,,0.3124,
2025-05-20,0.2154,,0.1426,,0.204,,0.2784,,0.3529,,0.2849,,0.1801,,0.204,,0.2607,,0.3174,
