date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-04,0.1928,,0.3693,,1.2372,,1.3195,,1.4018,,1.2842,,1.2859,,0.7463,,0.856,,0.9657,
2025-08-01,0.1927,,0.3702,,1.2125,,1.3446,,1.4767,,1.2843,,1.2856,,0.7679,,0.8793,,0.9907,
2025-07-31,0.1846,,0.3737,,1.2391,,1.3148,,1.3905,,1.2841,,1.2853,,0.899,,0.9298,,0.9606,
2025-07-30,0.2351,,0.5599,,1.2017,,1.2672,,1.3328,,1.2841,,1.2847,,0.7188,,0.8172,,0.9155,
2025-07-29,0.235,,0.6177,,1.1395,,1.238,,1.3366,,1.2841,,1.2845,,0.7346,,0.8372,,0.9398,
2025-07-28,0.2356,,0.6439,,1.1184,,1.2233,,1.3282,,1.2841,,1.2838,,0.7123,,0.873,,1.0337,
2025-07-25,0.153,,0.6693,,1.0671,,1.2011,,1.3351,,1.2837,,1.2834,,0.6886,,0.8203,,0.952,
2025-07-24,0.2797,,0.697,,1.067,,1.2358,,1.4046,,1.2838,,1.2832,,0.9329,,0.9454,,0.9578,
2025-07-22,0.3674,,0.7309,,1.3847,,1.7084,,2.0322,,1.285,,1.2829,,1.3847,,1.4648,,1.5448,
2025-07-21,0.3586,,0.656,,1.4912,,1.5576,,1.624,,1.2845,,1.2784,,1.8972,,1.7606,,1.624,
2025-07-18,0.3674,,0.6333,,1.5186,,1.6888,,1.8589,,1.2845,,1.2767,,1.0142,,1.3286,,1.643,
2025-07-17,0.0267,,0.2634,,1.9091,,2.5583,,3.2075,,0.102,,0.1286,,1.9091,,1.7324,,1.5556,
