date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-08,0.438,75.0,0.4149,78.0,0.6459,86.0,0.5178,75.0,0.3898,32.0,0.3934,62.0,0.3543,66.0,0.4567,71.0,0.4712,76.0,0.4858,77.0
2025-07-07,0.478,79.0,0.4241,79.0,0.6735,88.0,0.5479,80.0,0.4224,47.0,0.3952,63.0,0.3549,66.0,0.4364,62.0,0.4267,57.0,0.417,50.0
2025-07-03,0.4007,71.0,0.4052,77.0,0.5525,77.0,0.4725,64.0,0.3925,34.0,0.3913,61.0,0.3536,66.0,0.439,63.0,0.4158,52.0,0.3925,36.0
2025-07-02,0.408,72.0,0.4209,79.0,0.5317,74.0,0.489,69.0,0.4464,57.0,0.3919,61.0,0.3547,66.0,0.4007,43.0,0.3976,40.0,0.3946,37.0
2025-07-01,0.3946,70.0,0.4233,79.0,0.7096,90.0,0.5826,85.0,0.4555,61.0,0.3893,61.0,0.3534,66.0,0.4626,73.0,0.434,62.0,0.4053,43.0
2025-06-30,0.2619,36.0,0.2786,39.0,0.2764,3.0,0.3449,12.0,0.4134,43.0,0.3812,57.0,0.3452,61.0,0.4156,51.0,0.4178,53.0,0.4201,52.0
2025-06-27,0.2533,33.0,0.2802,40.0,0.6824,88.0,0.533,78.0,0.3835,30.0,0.3818,57.0,0.3456,61.0,0.4457,67.0,0.4146,51.0,0.3835,31.0
2025-06-26,0.2943,47.0,0.2777,39.0,0.5483,76.0,0.4888,69.0,0.4292,50.0,0.3815,57.0,0.3454,61.0,0.4149,50.0,0.4092,48.0,0.4034,42.0
2025-06-25,0.294,47.0,0.2835,42.0,0.4521,56.0,0.4376,51.0,0.4231,47.0,0.3816,57.0,0.3452,61.0,0.3951,40.0,0.3966,39.0,0.398,39.0
2025-06-24,0.3333,57.0,0.2966,48.0,0.5702,79.0,0.5068,73.0,0.4435,56.0,0.3803,57.0,0.3445,60.0,0.424,56.0,0.4286,59.0,0.4332,59.0
2025-06-23,0.3157,53.0,0.2868,43.0,0.3386,15.0,0.3708,21.0,0.4031,38.0,0.3805,57.0,0.3446,60.0,0.3728,28.0,0.3722,25.0,0.3716,25.0
