date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-01,0.0842,15.0,0.04,40.0,,,,,0.2606,35.0,0.208,76.0,0.0871,68.0,,,,,0.2606,26.0
2025-07-31,0.1611,59.0,0.0466,49.0,,,,,0.2333,19.0,0.2088,77.0,0.0873,68.0,,,,,0.2333,9.0
2025-07-30,0.1811,67.0,0.0669,69.0,,,,,0.2236,14.0,0.209,77.0,0.0875,69.0,,,,,0.2236,6.0
2025-07-29,0.1806,67.0,0.0737,73.0,,,,,0.2532,31.0,0.2092,78.0,0.0875,69.0,,,,,0.2532,23.0
2025-07-28,0.1783,66.0,0.0766,75.0,0.1972,30.0,0.2188,,0.2403,24.0,0.2091,77.0,0.0875,69.0,0.1972,35.0,0.2188,,0.2403,14.0
2025-07-25,0.1413,48.0,0.0731,73.0,,,,,0.224,14.0,0.208,76.0,0.0873,68.0,,,,,0.224,6.0
2025-07-24,0.1177,33.0,0.0705,71.0,0.1498,7.0,0.1604,,0.1709,2.0,0.2077,76.0,0.0872,68.0,0.1498,9.0,0.1887,,0.2276,7.0
2025-07-22,0.1104,28.0,0.0646,67.0,,,,,0.22,12.0,0.2082,77.0,0.0869,68.0,,,,,0.22,5.0
2025-07-21,0.1234,38.0,0.0274,23.0,0.1501,7.0,0.1867,,0.2233,14.0,0.2081,77.0,0.086,68.0,0.1501,9.0,0.2011,,0.2521,22.0
2025-07-18,0.0889,18.0,0.0266,22.0,,,,,0.1708,2.0,0.208,76.0,0.086,68.0,,,,,0.2248,7.0
2025-07-17,0.0968,21.0,0.01,7.0,,,,,,,0.2081,77.0,0.0861,68.0,,,,,,
2025-07-16,0.13,42.0,0.0,1.0,,,,,0.2791,44.0,0.2082,77.0,0.0,1.0,,,,,0.2791,37.0
2025-07-15,0.1464,51.0,0.0,1.0,,,,,,,0.2078,76.0,0.0,1.0,,,,,,
2025-07-14,0.1465,51.0,0.0,1.0,,,,,,,0.2081,77.0,0.0,1.0,,,,,,
2025-07-11,0.1463,51.0,0.0,1.0,0.208,35.0,,,,,0.2091,77.0,0.0,1.0,0.208,41.0,,,,
2025-07-09,0.164,60.0,0.0,1.0,,,,,,,0.2094,78.0,0.0,1.0,,,,,,
2025-07-08,0.1231,38.0,0.0232,18.0,,,,,,,0.2078,76.0,0.0894,69.0,,,,,,
2025-07-07,0.1641,60.0,0.0232,18.0,,,,,,,0.2089,77.0,0.0894,69.0,,,,,,
2025-07-03,0.1332,44.0,0.0,1.0,0.2014,32.0,,,,,0.2077,76.0,0.0,1.0,0.2014,37.0,,,,
2025-07-02,0.1215,37.0,0.0,1.0,,,,,,,0.207,76.0,0.0,1.0,,,,,,
2025-07-01,0.1145,31.0,0.0,1.0,,,,,,,0.2071,76.0,0.0,1.0,,,,,,
2025-06-30,0.1099,28.0,0.0,1.0,,,,,,,0.207,76.0,0.0,1.0,,,,,,
2025-06-27,0.085,16.0,0.0341,33.0,,,,,,,0.2065,75.0,0.0899,69.0,,,,,,
2025-06-26,0.1003,23.0,0.0,1.0,,,,,,,0.2068,75.0,0.0,1.0,,,,,,
2025-06-25,0.1392,46.0,0.0,1.0,,,,,,,0.2062,75.0,0.0,1.0,,,,,,
2025-06-24,0.1394,46.0,0.0233,18.0,,,,,,,0.2062,75.0,0.0898,69.0,,,,,,
2025-06-23,0.1434,49.0,0.0,1.0,0.1408,6.0,,,,,0.2063,75.0,0.0,1.0,0.1408,7.0,,,,
2025-06-20,0.1476,51.0,0.018,13.0,,,,,,,0.206,75.0,0.0898,69.0,,,,,,
2025-06-18,0.1486,52.0,0.0,1.0,,,,,,,0.2108,79.0,0.0,1.0,,,,,,
2025-06-17,0.14,47.0,0.0,1.0,,,,,,,0.2105,78.0,0.0,1.0,,,,,,
2025-06-16,0.0984,22.0,0.0,1.0,,,,,,,0.21,78.0,0.0,1.0,,,,,,
2025-06-13,0.0923,19.0,0.0,1.0,,,,,,,0.2099,78.0,0.0,1.0,,,,,,
2025-06-12,0.0887,17.0,0.0205,16.0,,,,,,,0.2102,78.0,0.0932,70.0,,,,,,
2025-06-11,0.0583,5.0,0.0176,13.0,,,,,,,0.2098,78.0,0.0932,70.0,,,,,,
2025-06-10,0.0542,4.0,0.0172,13.0,,,,,,,0.2097,78.0,0.0933,70.0,,,,,,
2025-06-09,0.046,3.0,0.0172,13.0,,,,,,,0.2101,78.0,0.0933,70.0,,,,,,
2025-06-06,0.0432,2.0,0.0159,12.0,,,,,,,0.21,78.0,0.0933,70.0,,,,,,
2025-06-05,0.0586,6.0,0.0148,11.0,0.138,5.0,,,,,0.2098,78.0,0.0933,70.0,0.138,6.0,,,,
2025-06-04,0.0905,18.0,0.0122,9.0,,,,,0.2165,10.0,0.2103,78.0,0.0934,70.0,,,,,0.2165,5.0
2025-06-03,0.0873,17.0,0.0,1.0,,,,,,,0.2101,78.0,0.0,1.0,,,,,,
2025-06-02,0.0905,18.0,0.0,1.0,,,,,,,0.2101,78.0,0.0,1.0,,,,,,
2025-05-30,0.1028,25.0,0.0,1.0,0.1418,6.0,,,,,0.2103,78.0,0.0,1.0,0.1418,7.0,,,,
2025-05-29,0.1034,25.0,0.0,1.0,,,,,,,0.2103,78.0,0.0,1.0,,,,,,
2025-05-28,0.1051,26.0,0.025,20.0,0.1545,9.0,,,,,0.2113,79.0,0.0934,70.0,0.1545,10.0,,,,
2025-05-27,0.073,11.0,0.0,1.0,0.2335,47.0,,,,,0.2119,80.0,0.0,1.0,0.1695,17.0,,,,
2025-05-23,0.1189,35.0,0.0,1.0,,,,,,,0.2125,80.0,0.0,1.0,,,,,,
2025-05-22,0.1512,53.0,0.0266,22.0,0.1521,8.0,,,,,0.2135,81.0,0.0947,71.0,0.1521,10.0,,,,
2025-05-21,0.1534,55.0,0.0167,13.0,0.1694,14.0,,,,,0.2131,81.0,0.0948,71.0,0.1694,17.0,,,,
2025-05-20,0.1695,62.0,0.011,8.0,,,,,,,0.213,81.0,0.0947,71.0,,,,,,
2025-05-19,0.1703,63.0,0.0,1.0,,,,,,,0.213,81.0,0.0,1.0,,,,,,
2025-05-16,0.1703,63.0,0.0,1.0,,,,,,,0.2129,81.0,0.0,1.0,,,,,,
2025-05-15,0.1667,61.0,0.0,1.0,,,,,,,0.2121,80.0,0.0,1.0,,,,,,
2025-05-14,0.1636,60.0,0.0301,27.0,,,,,,,0.2123,80.0,0.0951,72.0,,,,,,
2025-05-13,0.1259,39.0,0.031,28.0,,,,,0.2037,6.0,0.2158,82.0,0.0951,72.0,,,,,0.2187,5.0
2025-05-12,0.1019,24.0,0.0,1.0,,,,,,,0.2143,81.0,0.0,1.0,,,,,,
2025-05-09,0.0841,15.0,0.0,1.0,,,,,,,0.2161,82.0,0.0,1.0,,,,,,
