date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-29,0.2423,,0.2757,,0.5289,,,,,,0.3684,,0.3228,,0.3872,,,,,
2025-07-28,0.2729,,0.2479,,,,,,,,0.3683,,0.3213,,,,,,,
2025-07-25,0.253,,0.2419,,0.5203,,,,,,0.3694,,0.3218,,0.4589,,,,,
2025-07-24,0.2552,,0.2275,,,,,,,,0.3692,,0.3215,,,,,,,
2025-07-22,0.2664,,0.2221,,,,,,,,0.3665,,0.3208,,,,,,,
2025-07-21,0.257,,0.2024,,,,,,,,0.3643,,0.3198,,,,,,,
2025-07-18,0.354,,0.2383,,,,,,,,0.3644,,0.3195,,,,,,,
2025-07-17,0.3367,,0.2347,,,,,,,,0.364,,0.3191,,,,,,,
2025-07-16,0.3267,,0.2414,,0.4551,,,,,,0.3633,,0.319,,0.4551,,,,,
2025-07-15,0.3094,,0.2497,,,,,,,,0.3626,,0.3188,,,,,,,
2025-07-14,0.3238,,0.2546,,,,,,,,0.3627,,0.3187,,,,,,,
2025-07-11,0.3188,,0.2627,,,,,,,,0.3645,,0.3201,,,,,,,
2025-07-09,0.2139,,0.2749,,0.4844,,0.484,,0.4835,,0.3621,,0.3186,,0.4844,,0.484,,0.4835,
2025-07-08,0.2757,,0.2941,,0.4703,,,,,,0.3642,,0.3191,,0.4703,,,,,
2025-07-07,0.2757,,0.3021,,0.4757,,,,,,0.3642,,0.3196,,0.4757,,,,,
2025-07-03,0.3291,,0.2933,,0.4477,,,,,,0.3644,,0.3192,,0.4477,,,,,
2025-07-02,0.3146,,0.284,,,,,,,,0.363,,0.3188,,,,,,,
2025-07-01,0.3376,,0.3014,,,,,,,,0.3629,,0.3187,,,,,,,
2025-06-30,0.3451,,0.2967,,,,,,,,0.3627,,0.3184,,,,,,,
2025-06-27,0.2801,,0.2688,,,,,,,,0.3623,,0.3173,,,,,,,
2025-06-26,0.3316,,0.2563,,0.4171,,,,,,0.3613,,0.3164,,0.4171,,,,,
2025-06-25,0.3119,,0.2538,,,,,,,,0.3603,,0.3159,,,,,,,
2025-06-24,0.4104,,0.2906,,,,,,,,0.3593,,0.3161,,,,,,,
2025-06-23,0.3829,,0.288,,,,,,0.7601,,0.3581,,0.3162,,,,,,0.561,
2025-06-20,0.314,,0.2741,,,,,,0.5667,,0.357,,0.3159,,,,,,0.5667,
2025-06-18,0.3201,,0.2576,,,,,,0.5352,,0.3571,,0.3177,,,,,,0.5352,
2025-06-17,0.3049,,0.2633,,,,,,,,0.358,,0.3182,,,,,,,
2025-06-16,0.3182,,0.2535,,,,,,,,0.3568,,0.3176,,,,,,,
2025-06-13,0.3387,,0.2472,,,,,,,,0.3575,,0.3178,,,,,,,
2025-06-12,0.1928,,0.1941,,,,,,,,0.3521,,0.3158,,,,,,,
2025-06-11,0.1593,,0.1995,,,,,,0.5452,,0.3515,,0.3155,,,,,,0.5452,
2025-06-10,0.1265,,0.236,,,,,,,,0.3515,,0.3152,,,,,,,
2025-06-09,0.1202,,0.241,,,,,,,,0.3516,,0.3151,,,,,,,
2025-06-06,0.117,,0.241,,0.4609,,,,,,0.3515,,0.3147,,0.4609,,,,,
2025-06-05,0.1496,,0.2459,,0.4318,,,,,,0.3511,,0.3144,,0.4318,,,,,
2025-06-04,0.2721,,0.2791,,0.4642,,,,,,0.3499,,0.3142,,0.4642,,,,,
2025-06-03,0.307,,0.2857,,,,,,,,0.3502,,0.3144,,,,,,,
2025-06-02,0.3072,,0.2854,,,,,,,,0.3509,,0.3149,,,,,,,
2025-05-30,0.3097,,0.2585,,,,,,,,0.3506,,0.313,,,,,,,
2025-05-29,0.3103,,0.2559,,,,,,,,0.3515,,0.3137,,,,,,,
2025-05-28,0.3132,,0.2456,,0.4211,,,,,,0.3515,,0.3131,,0.4211,,,,,
2025-05-27,0.304,,0.2388,,,,,,,,0.3516,,0.313,,,,,,,
2025-05-23,0.1446,,0.2059,,,,,,0.5161,,0.3502,,0.3121,,,,,,0.5161,
2025-05-22,0.1324,,0.2023,,,,,,,,0.3503,,0.3123,,,,,,,
2025-05-21,0.1561,,0.198,,,,,,,,0.3509,,0.3127,,,,,,,
2025-05-20,0.382,,0.2156,,,,,,,,0.3542,,0.3151,,,,,,,
2025-05-19,0.4422,,0.2472,,,,,,,,0.354,,0.315,,,,,,,
2025-05-16,0.4425,,0.2708,,0.5113,,,,,,0.3541,,0.3153,,0.5113,,,,,
2025-05-15,0.4969,,0.3443,,,,,,,,0.3559,,0.3156,,,,,,,
2025-05-14,0.8221,,0.4574,,0.4364,,,,,,0.3555,,0.3156,,0.4364,,,,,
2025-05-13,0.8288,,0.4611,,,,,,,,0.3555,,0.3157,,,,,,,
2025-05-12,0.8377,,0.4587,,,,,,,,0.3648,,0.3184,,,,,,,
2025-05-09,0.7075,,0.4467,,,,,,,,0.3609,,0.3199,,,,,,,
2025-05-08,0.7111,,0.4463,,,,,,,,0.3662,,0.3232,,,,,,,
2025-05-07,0.6928,,0.4327,,,,,,,,0.3832,,0.3296,,,,,,,
2025-05-06,0.6931,,0.382,,,,,,,,0.3805,,0.3436,,,,,,,
2025-05-05,0.145,,0.2251,,0.7738,,,,,,0.348,,0.3362,,0.7738,,,,,
2025-05-02,0.153,,0.2199,,,,,,,,0.3499,,0.3359,,,,,,,
2025-05-01,0.1744,,0.2493,,,,,,,,0.3498,,0.3361,,,,,,,
2025-04-30,0.2095,,0.2503,,0.4981,,,,,,0.3502,,0.336,,0.4981,,,,,
2025-04-29,0.3118,,0.2325,,,,,,,,0.3523,,0.336,,,,,,,
2025-04-28,0.3044,,0.2428,,,,,,,,0.354,,0.3361,,,,,,,
2025-04-25,0.3245,,0.2574,,,,,,,,0.354,,0.3358,,,,,,,
2025-04-24,0.3283,,0.2685,,,,,,,,0.3541,,0.3357,,,,,,,
2025-04-23,0.3201,,0.2844,,,,,,,,0.3542,,0.337,,,,,,,
2025-04-22,0.3046,,0.2846,,,,,,,,0.3532,,0.3359,,,,,,,
2025-04-21,0.2873,,0.3246,,,,,,,,0.3525,,0.3359,,,,,,,
2025-04-17,0.4719,,0.4996,,0.5157,,,,,,0.3498,,0.3352,,0.5157,,,,,
2025-04-16,0.4745,,0.5607,,,,,,,,0.3493,,0.3347,,,,,,,
2025-04-15,0.482,,0.6637,,,,,,,,0.3496,,0.3337,,,,,,,
2025-04-14,0.5749,,0.6712,,,,,,,,0.3512,,0.3337,,,,,,,
2025-04-11,0.7099,,0.6756,,0.6714,,,,,,0.3512,,0.333,,0.6714,,,,,
2025-04-10,0.7074,,0.6695,,0.5691,,,,,,0.3511,,0.3317,,0.5691,,,,,
2025-04-09,0.7162,,0.6556,,,,,,,,0.3489,,0.3293,,,,,,,
2025-03-25,0.2497,,0.2313,,0.414,,,,0.5305,,0.3198,,0.2951,,0.414,,,,0.5305,
2025-01-27,0.1089,,0.1629,,0.5095,,,,0.4995,,0.3957,,0.3214,,0.5095,,,,0.4995,
2024-12-04,0.2169,,0.2124,,0.6417,,,,0.5746,,0.4063,,0.3333,,0.6417,,,,0.5746,
2024-11-19,0.374,,0.3201,,0.4034,,,,0.4932,,0.4055,,0.3395,,0.4034,,,,0.4932,
2024-10-29,0.3062,,0.2464,,0.518,,,,0.5127,,0.3748,,0.3293,,0.4898,,,,0.5127,
2024-10-28,0.2511,,0.2119,,0.4477,,,,0.4518,,0.374,,0.3286,,0.4477,,,,0.4518,
2024-10-24,0.203,,0.2037,,0.3754,,,,0.5031,,0.3724,,0.3294,,0.3754,,,,0.5031,
2024-10-21,0.2268,,0.1769,,0.4177,,,,0.5989,,0.3708,,0.3292,,0.4177,,,,0.5989,
2024-09-24,0.1403,,0.247,,0.3299,,,,0.5215,,0.3601,,0.3322,,0.3299,,,,0.442,
2024-08-02,0.3473,,0.2999,,0.4742,,,,0.5675,,0.279,,0.4252,,0.4742,,,,0.5675,
2024-08-01,0.3485,,0.3132,,0.4203,,,,0.5332,,0.2765,,0.4249,,0.4203,,,,0.5332,
2024-07-31,0.2264,,0.2148,,0.4698,,,,0.5689,,0.2685,,0.4212,,0.4082,,,,0.5689,
2024-07-30,0.2521,,0.225,,0.5568,,,,0.6119,,0.273,,0.4217,,0.5568,,,,0.6119,
2024-07-29,0.2622,,0.2438,,0.4432,,,,0.5767,,0.2767,,0.4229,,0.4432,,,,0.5767,
2024-07-26,0.263,,0.2536,,0.4784,,,,0.6244,,0.2774,,0.4229,,0.4784,,,,0.6244,
2024-07-25,0.2611,,0.2529,,0.7874,,,,0.5842,,0.2864,,0.4261,,0.4398,,,,0.5842,
2024-07-24,0.3108,,0.2729,,0.4708,,,,0.5835,,0.2863,,0.4262,,0.4708,,,,0.5835,
2024-07-23,0.1685,,0.2487,,0.537,,,,0.6219,,0.2814,,0.4256,,0.537,,,,0.6219,
2024-07-22,0.1838,,0.265,,0.4279,,,,0.6007,,0.2841,,0.4266,,0.4279,,,,0.6007,
2024-07-19,0.1956,,0.2616,,0.4677,,,,0.609,,0.2866,,0.4273,,0.4677,,,,0.609,
2024-07-18,0.1978,,0.264,,0.452,,,,0.5838,,0.2883,,0.4282,,0.452,,,,0.5838,
2024-07-17,0.2688,,0.2733,,0.4027,,,,0.5912,,0.2889,,0.429,,0.4027,,,,0.5912,
2024-07-16,0.2729,,0.2736,,0.4681,,,,0.5992,,0.2895,,0.4297,,0.4681,,,,0.5992,
2024-07-15,0.2307,,0.2493,,0.4515,,,,0.5193,,0.2874,,0.4292,,0.4515,,,,0.5193,
2024-07-12,0.2294,,0.2449,,0.4282,,,,0.5414,,0.2889,,0.4308,,0.4282,,,,0.5414,
2024-07-11,0.2533,,0.2389,,0.4344,,,,0.5052,,0.2897,,0.4309,,0.4344,,,,0.5052,
2024-07-10,0.3903,,0.2974,,0.4367,,,,0.5779,,0.2886,,0.4307,,0.4367,,,,0.5779,
2024-07-01,0.4165,,0.3556,,0.6023,,,,0.5513,,0.2899,,0.432,,0.6023,,,,0.5513,
2024-06-27,0.29,,0.3067,,0.4476,,,,0.5585,,0.2833,,0.4299,,0.4476,,,,0.5585,
2024-06-26,0.265,,0.3064,,0.6372,,,,0.5308,,0.284,,0.4307,,0.6372,,,,0.5308,
2024-06-25,0.2583,,0.2752,,0.5629,,,,0.5491,,0.2867,,0.4293,,0.455,,,,0.5491,
2024-06-24,0.2883,,0.2957,,0.5153,,,,0.5524,,0.2928,,0.4307,,0.4626,,,,0.5524,
2024-06-21,0.2789,,0.2907,,0.4147,,,,0.5953,,0.2919,,0.4308,,0.4147,,,,0.5953,
2024-06-20,0.2544,,0.2838,,0.4322,,,,0.5476,,0.2899,,0.4299,,0.4322,,,,0.5476,
2024-06-18,0.2738,,0.2811,,0.8851,,,,0.5407,,0.2897,,0.4312,,0.4439,,,,0.5407,
2024-06-17,0.2745,,0.2839,,0.4343,,,,0.594,,0.2897,,0.4321,,0.5911,,,,0.5369,
2024-06-14,0.3399,,0.3291,,0.4039,,,,0.5494,,0.2895,,0.432,,0.3973,,,,0.5494,
2024-06-13,0.4082,,0.3485,,0.4238,,,,0.5435,,0.29,,0.4355,,0.4238,,,,0.5435,
2024-06-12,0.3477,,0.3326,,0.4519,,,,0.5365,,0.2898,,0.4366,,0.4519,,,,0.5365,
2024-06-11,0.3515,,0.347,,0.3986,,,,0.5247,,0.2899,,0.4382,,0.3986,,,,0.5247,
2024-06-10,0.2674,,0.3348,,0.6838,,,,0.4994,,0.288,,0.4394,,0.3799,,,,0.4994,
2024-06-07,0.2702,,0.3302,,0.4055,,,,0.5162,,0.289,,0.4394,,0.4055,,,,0.5162,
2024-06-06,0.2395,,0.3449,,0.3964,,,,0.5239,,0.2892,,0.4394,,0.3964,,,,0.5239,
2024-06-05,0.2096,,0.3136,,0.3622,,,,0.5477,,0.2866,,0.4374,,0.3622,,,,0.5154,
2024-06-04,0.118,,0.2807,,0.4818,,,,0.5235,,0.2824,,0.4362,,0.4055,,,,0.5235,
2024-06-03,0.218,,0.2914,,0.5065,,,,0.6523,,0.2866,,0.4365,,0.5065,,,,0.6523,
2024-05-17,0.2324,,0.5257,,0.4664,,,,0.559,,0.2971,,0.4431,,0.4529,,,,0.559,
2024-05-15,0.3631,,0.5865,,0.3942,,,,0.5261,,0.2969,,0.445,,0.4353,,,,0.5261,
2024-05-13,0.3071,,0.5834,,0.4685,,,,0.5365,,0.3344,,0.4516,,0.4685,,,,0.5652,
2024-05-06,0.1002,,0.2475,,0.5598,,,,0.6241,,0.3379,,0.4437,,0.5118,,,,0.5706,
2024-05-03,0.1039,,0.2502,,0.4601,,,,0.7313,,0.3378,,0.4449,,0.4599,,,,0.5728,
2024-05-02,0.1059,,0.2356,,0.6386,,,,0.6221,,0.347,,0.4466,,0.6172,,,,0.5877,
