date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-20,0.1886,9.0,0.3446,43.0,0.8436,94.0,0.7327,81.0,0.6218,50.0,0.5338,99.0,0.4431,66.0,0.4135,21.0,0.5363,51.0,0.6591,59.0
2025-11-18,0.2216,15.0,0.3518,45.0,0.9891,98.0,0.7008,77.0,0.4125,20.0,0.5342,99.0,0.4427,66.0,0.3782,10.0,0.4282,9.0,0.4783,16.0
2025-11-17,0.7373,94.0,0.4243,65.0,0.8971,96.0,0.6806,74.0,0.464,28.0,0.5351,99.0,0.4415,66.0,0.3386,5.0,0.3751,1.0,0.4116,2.0
2025-11-14,0.7467,94.0,0.4409,69.0,0.4668,38.0,0.4616,28.0,0.4563,27.0,0.5351,99.0,0.4404,65.0,0.3694,9.0,0.5835,61.0,0.7976,86.0
2025-11-13,0.712,94.0,0.456,72.0,0.6384,74.0,0.6805,74.0,0.7226,67.0,0.5355,99.0,0.4404,65.0,0.3339,5.0,0.4993,35.0,0.6647,60.0
2025-11-12,0.7527,94.0,0.4586,72.0,0.4394,32.0,0.4075,20.0,0.3756,9.0,0.5353,99.0,0.4405,65.0,0.3616,7.0,0.5218,45.0,0.682,63.0
2025-11-10,0.7186,94.0,0.4446,70.0,0.3538,7.0,0.4144,21.0,0.4749,30.0,0.5352,99.0,0.4402,65.0,0.339,5.0,0.4828,28.0,0.6267,55.0
2025-11-07,0.8671,96.0,0.4889,78.0,0.4262,30.0,0.4678,30.0,0.5094,33.0,0.5355,99.0,0.4402,65.0,0.3326,5.0,0.501,36.0,0.6693,60.0
2025-11-06,0.6466,92.0,0.4578,72.0,0.8472,94.0,0.955,96.0,1.0628,95.0,0.5123,93.0,0.4356,65.0,0.3676,8.0,0.6086,69.0,0.8497,90.0
2025-11-05,0.6016,89.0,0.4619,72.0,0.7386,87.0,0.6823,74.0,0.626,51.0,0.51,92.0,0.4348,65.0,0.4166,21.0,0.5624,55.0,0.7081,70.0
2025-11-04,0.6363,91.0,0.5093,80.0,0.9759,98.0,0.7749,84.0,0.5739,43.0,0.5103,92.0,0.4484,67.0,0.4157,21.0,0.4927,32.0,0.5697,45.0
2025-11-03,1.2917,100.0,0.6455,93.0,0.8138,93.0,0.8783,93.0,0.9428,91.0,0.5092,92.0,0.4484,67.0,0.3539,6.0,0.5434,52.0,0.7329,76.0
2025-10-31,1.2902,100.0,0.6404,92.0,0.8965,96.0,0.7721,84.0,0.6477,55.0,0.5112,92.0,0.4494,67.0,0.3468,6.0,0.4498,14.0,0.5528,43.0
2025-10-30,1.3123,100.0,0.6492,93.0,0.7563,89.0,0.6721,72.0,0.5879,45.0,0.5126,93.0,0.4502,67.0,0.3769,10.0,0.431,9.0,0.4852,20.0
2025-10-29,1.2027,100.0,0.6304,92.0,0.6514,75.0,0.7588,83.0,0.8663,86.0,0.5046,89.0,0.4476,66.0,0.3494,6.0,0.4001,3.0,0.4508,6.0
2025-10-28,1.1854,100.0,0.5951,89.0,0.5704,61.0,0.574,48.0,0.5775,44.0,0.5012,89.0,0.4447,66.0,0.3622,7.0,0.4305,9.0,0.4988,26.0
2025-10-27,1.1659,100.0,0.6158,91.0,0.565,59.0,0.5581,45.0,0.5512,40.0,0.5012,89.0,0.4429,66.0,0.3361,5.0,0.4512,15.0,0.5662,45.0
2025-10-24,1.0793,99.0,0.5767,86.0,0.6211,71.0,0.594,51.0,0.5669,42.0,0.4973,88.0,0.4397,65.0,0.5146,69.0,0.5125,41.0,0.5104,30.0
2025-10-23,0.2857,32.0,0.4534,71.0,0.5186,49.0,0.6138,57.0,0.7089,66.0,0.4288,22.0,0.4288,62.0,0.4669,46.0,0.5296,48.0,0.5923,49.0
2025-10-22,0.3649,52.0,0.6724,95.0,0.6962,81.0,0.5882,51.0,0.4801,31.0,0.4299,23.0,0.4289,62.0,0.4573,42.0,0.5311,49.0,0.6049,51.0
