date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-29,0.1316,19.0,0.1232,13.0,0.2157,50.0,0.2248,53.0,0.2338,57.0,0.2149,47.0,0.173,37.0,0.2316,56.0,0.2456,54.0,0.2597,52.0
2025-10-28,0.151,28.0,0.1234,13.0,0.2081,45.0,0.2184,48.0,0.2286,53.0,0.2154,47.0,0.1731,37.0,0.2264,51.0,0.2418,50.0,0.2571,49.0
2025-10-27,0.1571,32.0,0.1299,17.0,0.1949,36.0,0.2072,41.0,0.2196,47.0,0.2167,48.0,0.1744,38.0,0.2236,48.0,0.2412,50.0,0.2588,51.0
2025-10-24,0.1378,22.0,0.1527,35.0,0.2243,56.0,0.216,47.0,0.2077,39.0,0.2167,48.0,0.1756,40.0,0.2291,54.0,0.2446,53.0,0.2601,52.0
2025-10-23,0.1568,31.0,0.165,44.0,0.2011,41.0,0.2182,48.0,0.2352,57.0,0.2168,48.0,0.1769,41.0,0.2259,50.0,0.2426,51.0,0.2594,51.0
2025-10-22,0.1554,31.0,0.1801,55.0,0.2547,71.0,0.2426,64.0,0.2306,55.0,0.2171,48.0,0.1772,41.0,0.2254,50.0,0.2442,53.0,0.2631,55.0
2025-10-21,0.1048,9.0,0.1759,52.0,0.2292,59.0,0.2231,52.0,0.217,45.0,0.2164,48.0,0.1769,41.0,0.2207,44.0,0.2396,48.0,0.2586,50.0
2025-10-20,0.1525,28.0,0.1847,57.0,0.2355,62.0,0.2176,48.0,0.1997,33.0,0.2175,48.0,0.1777,42.0,0.2245,49.0,0.2421,51.0,0.2597,52.0
2025-10-15,0.1415,24.0,0.1591,40.0,0.2372,63.0,0.2708,77.0,0.3044,85.0,0.2207,50.0,0.1788,42.0,0.2219,46.0,0.2485,57.0,0.2751,68.0
2025-10-14,0.1217,15.0,0.1485,32.0,0.235,62.0,0.233,57.0,0.231,55.0,0.2201,50.0,0.1785,42.0,0.2196,43.0,0.2356,42.0,0.2515,43.0
2025-10-13,0.1328,20.0,0.1326,19.0,0.2364,62.0,0.24,62.0,0.2437,62.0,0.2218,50.0,0.1788,42.0,0.2186,41.0,0.232,38.0,0.2454,36.0
2025-10-10,0.1344,20.0,0.1247,14.0,0.223,55.0,0.228,55.0,0.2331,56.0,0.2219,51.0,0.1789,43.0,0.2125,33.0,0.2274,32.0,0.2424,32.0
2025-10-09,0.1681,37.0,0.1526,35.0,0.2249,56.0,0.2056,40.0,0.1864,24.0,0.2239,52.0,0.1797,43.0,0.2145,35.0,0.226,30.0,0.2374,25.0
2025-10-08,0.1627,34.0,0.1674,46.0,0.2016,41.0,0.204,39.0,0.2064,38.0,0.2282,55.0,0.183,45.0,0.2141,35.0,0.2302,35.0,0.2463,38.0
2025-10-07,0.1628,34.0,0.1636,43.0,0.2101,46.0,0.2126,45.0,0.2152,44.0,0.2387,61.0,0.1899,48.0,0.2051,24.0,0.2233,27.0,0.2415,31.0
2025-10-06,0.149,27.0,0.1673,46.0,0.2176,51.0,0.2172,48.0,0.2168,45.0,0.2514,69.0,0.2101,61.0,0.2134,34.0,0.2298,35.0,0.2461,37.0
2025-10-02,0.2389,68.0,0.1778,53.0,0.1827,26.0,0.1898,28.0,0.1968,31.0,0.2576,72.0,0.2279,74.0,0.1997,19.0,0.2202,24.0,0.2407,30.0
2025-10-01,0.2519,72.0,0.1754,51.0,0.216,50.0,0.218,48.0,0.2199,47.0,0.27,76.0,0.2308,74.0,0.2115,32.0,0.229,34.0,0.2466,38.0
2025-09-30,0.1934,50.0,0.1409,26.0,0.205,43.0,0.2046,39.0,0.2042,37.0,0.2696,76.0,0.2299,74.0,0.2131,34.0,0.2264,31.0,0.2398,28.0
2025-09-29,0.1778,42.0,0.1276,16.0,0.2146,49.0,0.2152,46.0,0.2159,44.0,0.2702,76.0,0.2306,74.0,0.2111,31.0,0.2266,31.0,0.242,32.0
2025-09-24,0.1539,30.0,0.1318,19.0,0.2069,45.0,0.2086,42.0,0.2102,41.0,0.2731,77.0,0.2326,75.0,0.2138,34.0,0.2288,34.0,0.2437,34.0
2025-09-23,0.1354,21.0,0.1282,17.0,0.2092,46.0,0.2069,41.0,0.2046,37.0,0.2726,77.0,0.2325,75.0,0.2126,33.0,0.225,28.0,0.2375,25.0
2025-09-22,0.1839,46.0,0.1397,25.0,0.1948,36.0,0.1934,31.0,0.1919,28.0,0.2732,77.0,0.2328,75.0,0.2202,43.0,0.2282,33.0,0.2362,24.0
2025-09-19,0.2282,64.0,0.1538,36.0,0.1939,35.0,0.1918,30.0,0.1898,26.0,0.2743,78.0,0.2336,75.0,0.2138,34.0,0.2276,32.0,0.2414,31.0
2025-09-18,0.2501,72.0,0.1614,41.0,0.187,30.0,0.1797,21.0,0.1724,14.0,0.2747,78.0,0.2336,75.0,0.2112,32.0,0.2258,30.0,0.2405,30.0
2025-09-16,0.2229,63.0,0.1473,30.0,0.2262,57.0,0.2234,52.0,0.2206,47.0,0.2744,78.0,0.2334,75.0,0.2102,30.0,0.2294,34.0,0.2485,40.0
2025-09-15,0.2584,75.0,0.1583,39.0,0.1846,28.0,0.2142,46.0,0.2437,62.0,0.2744,78.0,0.2336,75.0,0.2047,24.0,0.2262,30.0,0.2477,39.0
2025-09-12,0.2584,75.0,0.1546,36.0,0.1894,31.0,0.194,32.0,0.1987,32.0,0.2752,78.0,0.2335,75.0,0.2082,28.0,0.2246,28.0,0.241,30.0
2025-09-10,0.1959,52.0,0.141,26.0,0.2123,48.0,0.2064,41.0,0.2006,34.0,0.2728,77.0,0.2331,75.0,0.221,45.0,0.2304,36.0,0.2397,28.0
2025-09-09,0.1499,28.0,0.1265,15.0,0.1973,38.0,0.2035,39.0,0.2097,40.0,0.272,77.0,0.2333,75.0,0.2036,22.0,0.223,27.0,0.2424,32.0
2025-09-08,0.1502,28.0,0.1252,14.0,0.1833,27.0,0.2036,39.0,0.2239,50.0,0.2719,77.0,0.2335,75.0,0.2063,26.0,0.2256,30.0,0.2448,36.0
2025-09-05,0.1422,24.0,0.1202,12.0,0.1864,28.0,0.1976,34.0,0.2089,40.0,0.2726,77.0,0.2344,75.0,0.2062,26.0,0.2244,28.0,0.2427,33.0
2025-09-04,0.1082,10.0,0.1081,6.0,0.1999,40.0,0.2026,38.0,0.2054,38.0,0.2714,76.0,0.2344,75.0,0.1983,17.0,0.2197,23.0,0.2411,31.0
2025-08-26,0.1593,33.0,0.1433,27.0,0.1807,25.0,0.1816,22.0,0.1824,21.0,0.2739,78.0,0.2375,76.0,0.2074,27.0,0.227,31.0,0.2467,38.0
2025-08-25,0.1607,33.0,0.1433,27.0,0.1896,32.0,0.1906,28.0,0.1916,27.0,0.2741,78.0,0.2381,77.0,0.2134,34.0,0.2308,36.0,0.2482,40.0
2025-08-22,0.0863,4.0,0.1227,13.0,0.173,19.0,0.1779,20.0,0.1828,21.0,0.2728,77.0,0.2375,76.0,0.2068,26.0,0.2262,30.0,0.2457,37.0
2025-08-21,0.1461,26.0,0.1295,17.0,0.186,28.0,0.1892,28.0,0.1925,28.0,0.2726,77.0,0.2375,76.0,0.202,21.0,0.2257,30.0,0.2494,41.0
2025-08-20,0.1605,33.0,0.1311,18.0,0.1769,22.0,0.1814,22.0,0.1859,23.0,0.2726,77.0,0.2373,76.0,0.2108,31.0,0.229,34.0,0.2472,38.0
2025-08-19,0.1699,38.0,0.1308,18.0,0.1896,32.0,0.1945,32.0,0.1994,33.0,0.2726,77.0,0.2374,76.0,0.2115,32.0,0.2264,31.0,0.2414,31.0
2025-08-18,0.1559,31.0,0.1321,19.0,0.1865,28.0,0.1878,27.0,0.1891,25.0,0.2726,77.0,0.2374,76.0,0.2078,27.0,0.2274,32.0,0.2469,38.0
2025-08-15,0.1539,30.0,0.1359,22.0,0.1639,13.0,0.1593,8.0,0.1547,5.0,0.2731,77.0,0.2375,76.0,0.2154,37.0,0.2318,38.0,0.2483,40.0
2025-08-13,0.23,65.0,0.1444,28.0,0.197,38.0,0.2252,53.0,0.2535,68.0,0.2728,77.0,0.2378,77.0,0.2144,35.0,0.2308,37.0,0.2473,39.0
2025-08-12,0.2103,57.0,0.1458,30.0,0.1961,37.0,0.1996,36.0,0.2031,36.0,0.2713,77.0,0.2375,77.0,0.2183,41.0,0.2344,41.0,0.2506,43.0
2025-08-08,0.1833,46.0,0.1683,47.0,0.2954,84.0,0.272,77.0,0.2485,65.0,0.2713,77.0,0.2376,77.0,0.2176,40.0,0.2374,45.0,0.2572,49.0
2025-08-07,0.1748,41.0,0.1766,52.0,0.2257,57.0,0.2312,57.0,0.2366,57.0,0.2716,77.0,0.2379,77.0,0.2196,43.0,0.239,47.0,0.2585,50.0
2025-08-05,0.1731,40.0,0.1702,48.0,0.2483,68.0,0.2334,59.0,0.2186,47.0,0.2732,77.0,0.2383,77.0,0.2214,45.0,0.2367,44.0,0.252,44.0
2025-08-04,0.1401,23.0,0.1697,48.0,0.2126,48.0,0.2139,46.0,0.2152,44.0,0.2746,78.0,0.2388,77.0,0.2197,43.0,0.2364,43.0,0.2531,45.0
2025-08-01,0.0713,2.0,0.155,37.0,0.2213,54.0,0.2217,51.0,0.2221,49.0,0.2736,77.0,0.2387,77.0,0.216,38.0,0.2359,43.0,0.2558,48.0
2025-07-31,0.149,28.0,0.152,35.0,0.2076,45.0,0.2136,46.0,0.2197,47.0,0.2737,77.0,0.2387,77.0,0.2137,35.0,0.2351,42.0,0.2565,49.0
2025-07-30,0.2157,60.0,0.1536,36.0,0.2036,43.0,0.204,40.0,0.2044,37.0,0.2735,77.0,0.2383,77.0,0.22,43.0,0.239,47.0,0.2579,50.0
2025-07-29,0.2188,62.0,0.1494,33.0,0.1909,33.0,0.2074,42.0,0.2238,50.0,0.2739,78.0,0.238,77.0,0.2154,37.0,0.237,44.0,0.2585,50.0
2025-07-28,0.25,72.0,0.1749,51.0,0.206,44.0,0.2076,42.0,0.2091,40.0,0.274,78.0,0.2384,77.0,0.2173,39.0,0.2345,41.0,0.2517,44.0
2025-07-25,0.2333,66.0,0.1695,48.0,0.1912,33.0,0.1972,35.0,0.2032,36.0,0.2736,77.0,0.2382,77.0,0.2163,38.0,0.2369,44.0,0.2575,49.0
2025-07-24,0.2408,69.0,0.1731,50.0,0.2014,41.0,0.2006,37.0,0.1997,34.0,0.2738,77.0,0.2385,77.0,0.195,14.0,0.2204,24.0,0.2459,38.0
2025-07-22,0.2759,80.0,0.197,64.0,0.2139,49.0,0.213,45.0,0.2122,42.0,0.2734,77.0,0.2394,77.0,0.2133,34.0,0.2364,43.0,0.2594,51.0
2025-07-21,0.2145,60.0,0.1805,55.0,0.2243,56.0,0.2235,52.0,0.2227,49.0,0.2703,76.0,0.2386,77.0,0.2152,37.0,0.2404,49.0,0.2655,57.0
2025-07-18,0.233,66.0,0.1832,56.0,0.2243,56.0,0.2257,54.0,0.2271,52.0,0.2728,77.0,0.2389,77.0,0.21,30.0,0.2352,42.0,0.2605,52.0
2025-07-17,0.2572,74.0,0.1711,49.0,0.1867,30.0,0.2289,56.0,0.2711,76.0,0.2719,77.0,0.238,77.0,0.2107,31.0,0.2366,44.0,0.2626,55.0
2025-07-16,0.2603,75.0,0.1804,55.0,0.252,70.0,0.2354,60.0,0.2188,47.0,0.2719,77.0,0.238,77.0,0.215,36.0,0.2382,46.0,0.2615,53.0
2025-07-15,0.2616,76.0,0.1895,60.0,0.2385,64.0,0.2538,70.0,0.269,75.0,0.2716,77.0,0.238,77.0,0.2224,47.0,0.2426,51.0,0.2629,55.0
2025-07-14,0.2179,61.0,0.1592,40.0,0.2275,57.0,0.2131,46.0,0.1987,33.0,0.2711,77.0,0.2376,77.0,0.2087,28.0,0.2296,35.0,0.2505,43.0
2025-07-11,0.2301,65.0,0.1714,49.0,0.2057,44.0,0.2136,46.0,0.2216,48.0,0.2715,77.0,0.2383,77.0,0.2152,37.0,0.2383,46.0,0.2614,53.0
2025-07-09,0.1874,48.0,0.1967,64.0,0.2136,49.0,0.2103,44.0,0.207,39.0,0.2712,77.0,0.2381,77.0,0.197,16.0,0.224,28.0,0.2509,43.0
2025-07-08,0.1128,12.0,0.1767,52.0,0.222,54.0,0.2215,51.0,0.221,48.0,0.2684,76.0,0.2376,77.0,0.2107,31.0,0.2352,42.0,0.2596,52.0
2025-07-07,0.1494,28.0,0.1812,55.0,0.2145,49.0,0.2126,45.0,0.2108,42.0,0.2691,76.0,0.2378,77.0,0.2191,42.0,0.2269,32.0,0.2347,22.0
2025-07-03,0.1628,35.0,0.1645,44.0,0.1959,37.0,0.1946,32.0,0.1932,28.0,0.2692,76.0,0.2368,76.0,0.214,35.0,0.228,33.0,0.2421,32.0
2025-07-02,0.1524,28.0,0.1792,54.0,0.2002,40.0,0.2007,37.0,0.2012,35.0,0.2688,76.0,0.2374,77.0,0.2126,33.0,0.2232,27.0,0.2337,20.0
2025-07-01,0.1447,26.0,0.1769,52.0,0.2043,43.0,0.2032,39.0,0.2022,35.0,0.268,76.0,0.237,77.0,0.2229,47.0,0.2363,43.0,0.2497,42.0
2025-06-30,0.139,23.0,0.1438,28.0,0.2156,50.0,0.2054,40.0,0.1953,31.0,0.2683,76.0,0.2355,76.0,0.2237,48.0,0.233,40.0,0.2424,33.0
2025-06-27,0.1399,23.0,0.1551,37.0,0.1966,38.0,0.1987,36.0,0.2008,34.0,0.2686,76.0,0.2358,76.0,0.2145,36.0,0.2324,39.0,0.2504,43.0
2025-06-26,0.1893,49.0,0.1621,42.0,0.2046,43.0,0.2054,40.0,0.2063,39.0,0.2687,76.0,0.2357,76.0,0.2203,44.0,0.2344,41.0,0.2484,40.0
2025-06-25,0.1877,48.0,0.1698,48.0,0.2512,69.0,0.2312,57.0,0.2113,42.0,0.2687,76.0,0.2358,76.0,0.2228,47.0,0.2342,41.0,0.2456,37.0
2025-06-24,0.1901,49.0,0.173,50.0,0.2199,53.0,0.2184,49.0,0.217,45.0,0.2687,76.0,0.2359,76.0,0.2268,51.0,0.2372,45.0,0.2477,39.0
2025-06-23,0.1452,26.0,0.1673,46.0,0.2328,61.0,0.236,60.0,0.2393,60.0,0.2678,76.0,0.2364,76.0,0.2126,33.0,0.2253,30.0,0.238,27.0
2025-06-20,0.147,27.0,0.1602,41.0,0.2306,60.0,0.2316,57.0,0.2327,56.0,0.2679,76.0,0.2363,76.0,0.2153,37.0,0.2365,44.0,0.2577,50.0
2025-06-18,0.167,37.0,0.1583,40.0,0.2201,53.0,0.2203,50.0,0.2205,48.0,0.2737,77.0,0.2392,77.0,0.2377,61.0,0.2506,60.0,0.2635,56.0
2025-06-17,0.1691,38.0,0.1558,38.0,0.2482,68.0,0.2464,66.0,0.2445,63.0,0.2737,77.0,0.2391,77.0,0.2396,62.0,0.25,59.0,0.2603,52.0
2025-06-16,0.1395,23.0,0.1457,30.0,0.2338,61.0,0.236,60.0,0.2383,59.0,0.2724,77.0,0.2389,77.0,0.2504,68.0,0.2554,64.0,0.2605,52.0
2025-06-13,0.1386,23.0,0.1482,32.0,0.2647,75.0,0.2569,71.0,0.2491,65.0,0.2726,77.0,0.2387,77.0,0.2431,64.0,0.255,63.0,0.2668,59.0
2025-06-12,0.1163,13.0,0.1484,32.0,0.2218,54.0,0.2324,57.0,0.243,62.0,0.2735,77.0,0.2388,77.0,0.2359,59.0,0.2474,57.0,0.2589,51.0
2025-06-11,0.1165,13.0,0.164,44.0,0.2587,73.0,0.2618,73.0,0.2649,73.0,0.2731,77.0,0.2387,77.0,0.2377,61.0,0.2528,62.0,0.268,61.0
2025-06-10,0.0991,7.0,0.173,50.0,0.2515,70.0,0.2546,70.0,0.2578,70.0,0.2732,77.0,0.2387,77.0,0.2393,62.0,0.2547,63.0,0.2701,63.0
2025-06-09,0.1966,52.0,0.1746,51.0,0.2327,61.0,0.2338,59.0,0.2349,57.0,0.2729,77.0,0.2385,77.0,0.2402,62.0,0.2571,65.0,0.274,66.0
2025-06-06,0.2169,61.0,0.1806,55.0,0.2202,54.0,0.2266,55.0,0.2331,56.0,0.2731,77.0,0.2383,77.0,0.2414,63.0,0.2485,57.0,0.2556,48.0
2025-06-05,0.219,62.0,0.1811,55.0,0.2224,55.0,0.2356,60.0,0.2487,65.0,0.2723,77.0,0.2383,77.0,0.243,64.0,0.2582,66.0,0.2734,66.0
2025-06-04,0.2262,64.0,0.1731,50.0,0.2258,57.0,0.2283,56.0,0.2308,55.0,0.2726,77.0,0.2381,77.0,0.2469,66.0,0.2582,66.0,0.2696,62.0
2025-06-03,0.2287,65.0,0.1739,50.0,0.2247,56.0,0.2278,55.0,0.2308,55.0,0.273,77.0,0.2381,77.0,0.2458,66.0,0.259,66.0,0.2721,65.0
2025-06-02,0.2282,65.0,0.1545,37.0,0.2469,68.0,0.2517,68.0,0.2564,69.0,0.2726,77.0,0.2373,77.0,0.2361,60.0,0.2532,62.0,0.2702,63.0
2025-05-30,0.2526,73.0,0.1692,47.0,0.2338,61.0,0.2548,70.0,0.2758,77.0,0.2715,77.0,0.2367,76.0,0.2425,64.0,0.2549,63.0,0.2673,60.0
2025-05-29,0.2475,71.0,0.1787,54.0,0.2614,74.0,0.2679,76.0,0.2744,77.0,0.2705,77.0,0.2365,76.0,0.243,64.0,0.2576,65.0,0.2721,65.0
2025-05-28,0.2288,65.0,0.1764,52.0,0.2751,79.0,0.2699,76.0,0.2646,73.0,0.2691,76.0,0.2364,76.0,0.2491,67.0,0.2637,69.0,0.2783,70.0
2025-05-27,0.2355,67.0,0.1886,60.0,0.2768,79.0,0.2813,80.0,0.2858,80.0,0.2697,76.0,0.2364,76.0,0.2466,66.0,0.2654,70.0,0.2842,76.0
2025-05-23,0.2487,71.0,0.2025,67.0,0.2761,79.0,0.2769,79.0,0.2776,78.0,0.2698,76.0,0.2367,76.0,0.2488,67.0,0.2634,69.0,0.2781,70.0
2025-05-22,0.2978,84.0,0.2221,76.0,0.2627,74.0,0.2625,74.0,0.2623,72.0,0.2702,76.0,0.2371,77.0,0.2465,66.0,0.2602,67.0,0.2738,66.0
2025-05-21,0.3289,89.0,0.2318,79.0,0.2588,73.0,0.2582,72.0,0.2577,70.0,0.2707,77.0,0.2374,77.0,0.2446,65.0,0.2622,68.0,0.2797,72.0
2025-05-20,0.379,94.0,0.2487,85.0,0.2302,59.0,0.223,52.0,0.2157,45.0,0.2686,76.0,0.2364,76.0,0.2435,65.0,0.257,65.0,0.2704,63.0
