date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-18,0.352,25.0,0.3957,34.0,0.8073,93.0,0.8183,95.0,0.8293,96.0,0.8851,94.0,0.6231,90.0,0.5903,68.0,0.5638,55.0,0.5374,39.0
2025-07-17,0.3459,24.0,0.3926,33.0,0.7554,90.0,0.7632,93.0,0.7711,93.0,0.8859,94.0,0.6239,90.0,0.5558,50.0,0.5772,63.0,0.5986,73.0
2025-07-16,0.451,42.0,0.4376,46.0,0.7347,88.0,0.7267,89.0,0.7187,89.0,0.8871,94.0,0.6257,90.0,0.6638,94.0,0.6446,89.0,0.6255,84.0
2025-07-15,0.5116,52.0,0.4427,48.0,0.7276,88.0,0.694,85.0,0.6604,80.0,0.8869,94.0,0.6265,90.0,0.5992,73.0,0.5973,73.0,0.5953,71.0
2025-07-14,0.5214,54.0,0.4287,43.0,0.7377,89.0,0.6867,84.0,0.6357,74.0,0.8872,94.0,0.6261,90.0,0.5943,70.0,0.5744,61.0,0.5544,48.0
2025-07-11,0.5195,54.0,0.4772,59.0,0.6937,83.0,0.7048,87.0,0.716,89.0,0.8881,94.0,0.6259,90.0,0.5391,40.0,0.5546,49.0,0.57,57.0
2025-07-09,0.5983,67.0,0.6517,90.0,0.6817,81.0,0.9384,99.0,1.1952,100.0,0.8885,94.0,0.6258,90.0,0.5339,37.0,0.5414,41.0,0.549,45.0
2025-07-08,0.3869,31.0,0.638,89.0,0.7297,88.0,0.6878,84.0,0.6459,76.0,0.8842,94.0,0.6245,90.0,0.6143,81.0,0.5731,60.0,0.5318,36.0
2025-07-07,0.5652,61.0,0.6255,88.0,0.8984,97.0,0.8774,97.0,0.8564,97.0,0.8853,94.0,0.6238,90.0,0.6218,83.0,0.6027,76.0,0.5836,66.0
2025-07-03,0.6953,80.0,0.6135,87.0,0.7458,89.0,0.6501,76.0,0.5544,51.0,0.8867,94.0,0.6204,89.0,0.5085,24.0,0.5577,51.0,0.6069,76.0
2025-07-02,0.6644,76.0,0.6672,91.0,0.4626,19.0,0.5689,53.0,0.6751,83.0,0.8838,94.0,0.6235,90.0,0.6235,83.0,0.6064,77.0,0.5893,68.0
2025-07-01,0.6809,78.0,0.6269,88.0,0.5971,60.0,0.5264,39.0,0.4556,18.0,0.8816,94.0,0.6209,89.0,0.6497,91.0,0.6382,87.0,0.6266,84.0
2025-06-30,0.6526,75.0,0.4835,61.0,0.8238,94.0,0.7477,92.0,0.6716,82.0,0.8753,94.0,0.6125,88.0,0.5822,65.0,0.5991,73.0,0.616,80.0
2025-06-27,0.655,75.0,0.472,57.0,0.4985,28.0,0.5766,55.0,0.6547,79.0,0.8754,94.0,0.6124,88.0,0.6721,95.0,0.6266,84.0,0.5812,64.0
