date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-21,0.2599,52.0,0.3559,74.0,0.5225,98.0,0.531,98.0,0.5396,98.0,0.3957,83.0,0.3936,87.0,0.4773,100.0,0.4792,100.0,0.4811,100.0
2025-07-18,0.2646,53.0,0.3664,76.0,0.5131,97.0,0.53,98.0,0.5469,98.0,0.3977,84.0,0.394,87.0,0.4724,100.0,0.478,100.0,0.4836,100.0
2025-07-17,0.2396,45.0,0.369,77.0,0.5328,98.0,0.5363,98.0,0.5398,98.0,0.3976,84.0,0.3933,87.0,0.4758,100.0,0.4803,100.0,0.4848,100.0
2025-07-16,0.2715,56.0,0.3624,75.0,0.5949,99.0,0.5965,99.0,0.5981,99.0,0.3971,83.0,0.3928,87.0,0.4752,100.0,0.4802,100.0,0.4853,100.0
2025-07-15,0.2808,57.0,0.341,70.0,0.5703,99.0,0.4736,95.0,0.3768,76.0,0.3969,83.0,0.3928,87.0,0.4791,100.0,0.4802,100.0,0.4812,100.0
2025-07-14,0.2345,43.0,0.2984,56.0,0.4846,96.0,0.4792,96.0,0.4738,95.0,0.4126,85.0,0.3932,87.0,0.479,100.0,0.4828,100.0,0.4866,100.0
2025-07-11,0.2447,47.0,0.3167,63.0,0.5009,97.0,0.475,96.0,0.4491,92.0,0.4125,85.0,0.3939,87.0,0.4749,100.0,0.4792,100.0,0.4836,100.0
2025-07-09,0.2577,51.0,0.3886,80.0,0.4906,96.0,0.4893,97.0,0.488,96.0,0.4123,85.0,0.3931,87.0,0.474,100.0,0.4791,100.0,0.4842,100.0
2025-07-08,0.1965,30.0,0.3646,76.0,0.4397,91.0,0.4454,92.0,0.451,92.0,0.4136,85.0,0.3933,87.0,0.473,100.0,0.481,100.0,0.4889,100.0
2025-07-07,0.2333,43.0,0.3563,74.0,0.4437,91.0,0.422,88.0,0.4002,82.0,0.4136,85.0,0.3928,87.0,0.4825,100.0,0.4869,100.0,0.4913,100.0
2025-07-03,0.2287,41.0,0.3591,74.0,0.4828,95.0,0.4625,94.0,0.4422,91.0,0.4136,85.0,0.3922,87.0,0.4832,100.0,0.4878,100.0,0.4924,100.0
2025-07-02,0.2357,44.0,0.364,76.0,0.4288,89.0,0.4302,90.0,0.4315,89.0,0.4139,85.0,0.3925,87.0,0.4828,100.0,0.486,100.0,0.4892,100.0
2025-07-01,0.2266,41.0,0.3567,74.0,0.4201,87.0,0.4073,85.0,0.3945,81.0,0.4133,85.0,0.3922,87.0,0.4867,100.0,0.491,100.0,0.4952,100.0
2025-06-30,0.2143,37.0,0.2588,38.0,0.4369,90.0,0.443,92.0,0.4491,92.0,0.4119,85.0,0.3878,86.0,0.49,100.0,0.4913,100.0,0.4926,100.0
2025-06-27,0.2228,39.0,0.2786,47.0,0.4429,91.0,0.4356,91.0,0.4283,89.0,0.4117,85.0,0.3876,86.0,0.4866,100.0,0.4908,100.0,0.495,100.0
2025-06-26,0.3097,65.0,0.3047,57.0,0.3988,83.0,0.4162,87.0,0.4337,90.0,0.4114,85.0,0.3873,86.0,0.4855,100.0,0.4922,100.0,0.4988,100.0
2025-06-25,0.314,66.0,0.3136,62.0,0.4469,92.0,0.4344,91.0,0.4219,87.0,0.4121,85.0,0.3874,86.0,0.4968,100.0,0.4989,100.0,0.501,100.0
2025-06-24,0.2972,62.0,0.2971,55.0,0.417,87.0,0.4244,89.0,0.4318,89.0,0.412,85.0,0.3867,86.0,0.4935,100.0,0.4982,100.0,0.5028,100.0
2025-06-23,0.2997,63.0,0.3144,62.0,0.4413,91.0,0.4496,93.0,0.458,93.0,0.4124,85.0,0.3881,86.0,0.5022,100.0,0.5046,100.0,0.507,100.0
2025-06-20,0.2997,63.0,0.3275,66.0,0.4412,91.0,0.456,94.0,0.4707,94.0,0.4123,85.0,0.3878,86.0,0.503,100.0,0.5084,100.0,0.5138,100.0
2025-06-18,0.3489,73.0,0.3391,69.0,0.4515,92.0,0.4544,94.0,0.4573,93.0,0.4112,85.0,0.3881,86.0,0.5019,100.0,0.5074,100.0,0.5129,100.0
2025-06-17,0.3444,72.0,0.3175,63.0,0.4376,90.0,0.4562,94.0,0.4748,95.0,0.4106,85.0,0.3887,86.0,0.5073,100.0,0.5109,100.0,0.5145,100.0
2025-06-16,0.2508,49.0,0.3032,57.0,0.4306,89.0,0.4506,93.0,0.4705,94.0,0.4086,85.0,0.3883,86.0,0.5027,100.0,0.5092,100.0,0.5157,100.0
2025-06-13,0.3805,77.0,0.315,62.0,0.3956,82.0,0.3984,83.0,0.4011,82.0,0.4084,85.0,0.3879,86.0,0.5074,100.0,0.5108,100.0,0.5143,100.0
2025-06-12,0.4176,82.0,0.3826,79.0,0.4882,96.0,0.4774,96.0,0.4665,94.0,0.4084,85.0,0.3882,86.0,0.5173,100.0,0.5216,100.0,0.5259,100.0
2025-06-11,0.4381,84.0,0.4139,84.0,0.4265,88.0,0.4414,92.0,0.4564,93.0,0.4085,85.0,0.3878,86.0,0.514,100.0,0.5162,100.0,0.5185,100.0
2025-06-10,0.4673,87.0,0.3984,82.0,0.3689,75.0,0.4055,85.0,0.4422,91.0,0.4086,85.0,0.3877,86.0,0.5199,100.0,0.5223,100.0,0.5247,100.0
2025-06-09,0.4577,86.0,0.3888,80.0,0.4829,95.0,0.447,92.0,0.4111,85.0,0.4051,84.0,0.3871,86.0,0.5366,100.0,0.5388,100.0,0.5409,100.0
2025-06-06,0.4591,86.0,0.3926,81.0,0.4552,93.0,0.4606,94.0,0.4659,94.0,0.4092,85.0,0.3881,86.0,0.5357,100.0,0.5418,100.0,0.548,100.0
2025-06-05,0.4345,84.0,0.3768,78.0,0.5258,98.0,0.5016,97.0,0.4773,95.0,0.4071,85.0,0.3879,86.0,0.5505,100.0,0.5525,100.0,0.5545,100.0
2025-06-04,0.3536,73.0,0.3672,76.0,0.54,98.0,0.4924,97.0,0.4447,92.0,0.4049,84.0,0.3877,86.0,0.5432,100.0,0.5482,100.0,0.5533,100.0
2025-06-03,0.2824,59.0,0.3021,57.0,0.4423,91.0,0.4637,94.0,0.4851,96.0,0.3995,84.0,0.3841,85.0,0.5423,100.0,0.5476,100.0,0.5529,100.0
2025-06-02,0.192,28.0,0.2251,22.0,0.4825,95.0,0.4916,97.0,0.5008,97.0,0.3961,83.0,0.3817,84.0,0.5476,100.0,0.5547,100.0,0.5618,100.0
