date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-28,0.0219,,0.0603,,0.085,,,,,,0.119,,0.1119,,0.085,,,,,
2025-07-25,0.0484,,0.065,,0.0762,,,,,,0.1191,,0.112,,0.0762,,,,,
2025-07-24,0.0524,,0.0705,,0.1481,,0.1486,,0.149,,0.1196,,0.1123,,0.08,,0.1042,,0.1284,
2025-07-22,0.0532,,0.0727,,0.0699,,,,,,0.1196,,0.1124,,0.0699,,,,,
2025-07-21,0.059,,0.0626,,0.0796,,0.1037,,0.1278,,0.1196,,0.112,,0.0796,,0.1037,,0.1278,
2025-07-18,0.0535,,0.0609,,0.07,,,,,,0.1201,,0.1122,,0.07,,,,,
2025-07-17,0.0546,,0.0623,,0.0686,,,,,,0.1206,,0.1121,,0.0686,,,,,
2025-07-16,0.0479,,0.0567,,0.0644,,,,,,0.1204,,0.112,,0.0644,,,,,
2025-07-15,0.0515,,0.0526,,0.1011,,0.1222,,0.1433,,0.1207,,0.1119,,0.0829,,0.1038,,0.1246,
2025-07-14,0.0531,,0.0501,,0.0843,,0.116,,0.1476,,0.121,,0.112,,0.0743,,0.1031,,0.1319,
2025-07-11,0.0505,,0.0554,,0.0937,,,,,,0.1208,,0.1121,,0.0851,,,,,
2025-07-09,0.0754,,0.0572,,0.0888,,0.1155,,0.1422,,0.1213,,0.1122,,0.0756,,0.1089,,0.1422,
2025-07-08,0.0866,,0.0568,,0.0747,,,,,,0.1228,,0.1127,,0.0762,,,,,
2025-07-07,0.0887,,0.0573,,0.0651,,0.0957,,0.1262,,0.1228,,0.1127,,0.0806,,0.1034,,0.1262,
2025-07-03,0.1118,,0.0556,,0.1028,,0.2166,,0.3304,,0.125,,0.1131,,0.084,,0.1078,,0.1316,
2025-07-02,0.101,,0.0591,,0.0855,,0.1066,,0.1277,,0.1244,,0.1132,,0.0662,,0.097,,0.1277,
2025-07-01,0.0934,,0.066,,0.1071,,0.1594,,0.2116,,0.124,,0.1133,,0.0996,,0.1232,,0.1468,
2025-06-30,0.0619,,0.0628,,0.0604,,0.1019,,0.1434,,0.1241,,0.1134,,0.0604,,0.0929,,0.1254,
2025-06-27,0.0622,,0.0632,,0.078,,,,,,0.1246,,0.1135,,0.0652,,,,,
2025-06-26,0.073,,0.0614,,0.0634,,0.0961,,0.1288,,0.1246,,0.1135,,0.0645,,0.0966,,0.1288,
2025-06-25,0.0763,,0.058,,0.0918,,0.1052,,0.1186,,0.1246,,0.1134,,0.0801,,0.0993,,0.1186,
2025-06-24,0.0893,,0.0607,,0.0666,,0.1094,,0.1522,,0.1247,,0.1134,,0.0666,,0.1031,,0.1396,
2025-06-23,0.0715,,0.0579,,0.0933,,0.1962,,0.299,,0.1245,,0.1141,,0.0917,,0.1194,,0.1471,
2025-06-20,0.0677,,0.0481,,0.113,,0.1292,,0.1453,,0.1247,,0.1144,,0.1038,,0.1246,,0.1453,
2025-06-18,0.0678,,0.0465,,0.0664,,0.105,,0.1436,,0.1286,,0.1166,,0.0948,,0.1196,,0.1445,
2025-06-17,0.0714,,0.0476,,0.2193,,0.2096,,0.1998,,0.1288,,0.1166,,0.1129,,0.1289,,0.1448,
2025-06-16,0.0686,,0.0443,,0.0638,,,,,,0.1286,,0.1168,,0.0638,,,,,
2025-06-13,0.0583,,0.0482,,0.1514,,,,,,0.1284,,0.1168,,0.0848,,,,,
2025-06-12,0.0538,,0.0495,,0.0854,,0.1355,,0.1856,,0.1282,,0.1168,,0.0854,,0.1355,,0.1856,
2025-06-11,0.051,,0.0533,,0.0899,,,,,,0.1282,,0.1169,,0.0899,,,,,
2025-06-10,0.0466,,0.0578,,0.0778,,,,,,0.1285,,0.1169,,0.0778,,,,,
2025-06-09,0.0424,,0.0599,,0.1416,,0.143,,0.1445,,0.1287,,0.1172,,0.0946,,0.1196,,0.1445,
