date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-09-23,0.0917,16.0,0.0928,44.0,,,,,,,0.1895,86.0,0.1569,86.0,,,,,,
2025-09-22,0.0979,22.0,0.0904,40.0,,,,,,,0.19,86.0,0.157,87.0,,,,,,
2025-09-19,0.1187,41.0,0.0914,41.0,,,,,,,0.19,86.0,0.1569,86.0,,,,,,
2025-09-18,0.1103,34.0,0.0978,50.0,,,,,,,0.1898,86.0,0.1569,86.0,,,,,,
2025-09-16,0.1074,32.0,0.0787,17.0,,,,,,,0.19,86.0,0.1562,86.0,,,,,,
2025-09-15,0.1093,34.0,0.0775,15.0,,,,,,,0.19,86.0,0.1562,86.0,,,,,,
2025-09-12,0.1111,36.0,0.0796,19.0,,,,,,,0.1897,86.0,0.1564,86.0,,,,,,
2025-09-10,0.1236,45.0,0.0821,23.0,,,,,,,0.1911,86.0,0.1567,86.0,,,,,,
2025-09-09,0.1348,57.0,0.0758,12.0,,,,,,,0.1914,86.0,0.1566,86.0,,,,,,
2025-09-08,0.1287,51.0,0.0772,15.0,,,,,,,0.1912,86.0,0.1567,86.0,,,,,,
2025-09-05,0.1245,47.0,0.0792,18.0,,,,,,,0.1913,86.0,0.157,87.0,,,,,,
2025-09-04,0.1185,41.0,0.0751,11.0,,,,,,,0.194,86.0,0.1576,88.0,,,,,,
2025-08-26,0.1163,39.0,0.0946,46.0,,,,,,,0.1956,88.0,0.1598,95.0,,,,,,
2025-08-25,0.1356,57.0,0.0957,48.0,,,,,,,0.1969,93.0,0.16,97.0,,,,,,
2025-08-22,0.1299,52.0,0.0844,27.0,,,,,,,0.1965,92.0,0.1597,95.0,,,,,,
2025-08-21,0.1228,45.0,0.0679,2.0,0.3664,,,,,,0.1959,89.0,0.1592,93.0,0.3664,,,,,
2025-08-20,0.1187,41.0,0.0722,7.0,,,,,0.3195,,0.1957,88.0,0.1593,94.0,,,,,0.3195,
2025-08-19,0.1267,49.0,0.0739,9.0,0.3515,,,,,,0.1957,88.0,0.1596,94.0,0.3515,,,,,
2025-08-18,0.1285,51.0,0.0715,6.0,,,,,,,0.1958,88.0,0.1595,94.0,,,,,,
2025-08-15,0.1278,51.0,0.0766,14.0,,,,,,,0.1962,91.0,0.1595,94.0,,,,,,
2025-08-13,0.0989,,0.0749,,,,,,,,0.1955,,0.1594,,,,,,,
2025-08-12,0.1054,,0.0727,,,,,,,,0.1965,,0.1596,,,,,,,
2025-08-08,0.137,,0.0781,,,,,,,,0.1961,,0.1598,,,,,,,
2025-08-07,0.141,,0.0914,,,,,,,,0.1962,,0.1598,,,,,,,
2025-08-05,0.1438,,0.0937,,,,,,,,0.1965,,0.1599,,,,,,,
2025-08-04,0.1424,,0.0952,,,,,,,,0.1972,,0.1599,,,,,,,
2025-08-01,0.0811,,0.0955,,,,,,,,0.1971,,0.1599,,,,,,,
2025-07-31,0.1971,,0.1072,,,,,,,,0.1973,,0.1601,,,,,,,
2025-07-30,0.1849,,0.1045,,,,,,,,0.1968,,0.1601,,,,,,,
2025-07-29,0.1876,,0.0953,,,,,,,,0.1976,,0.1598,,,,,,,
2025-07-28,0.189,,0.1,,,,,,,,0.1977,,0.1598,,,,,,,
2025-07-25,0.1635,,0.095,,,,,,,,0.1965,,0.1597,,,,,,,
2025-07-24,0.1575,,0.0978,,,,,,,,0.1964,,0.1597,,,,,,,
2025-07-22,0.0862,,0.0901,,,,,,,,0.1938,,0.1592,,,,,,,
2025-07-21,0.1015,,0.0843,,,,,,,,0.1939,,0.159,,,,,,,
2025-07-18,0.0882,,0.0819,,,,,,,,0.1953,,0.159,,,,,,,
2025-07-17,0.0984,,0.0781,,,,,,,,0.1953,,0.1589,,,,,,,
2025-07-16,0.1103,,0.0784,,,,,,,,0.1953,,0.159,,,,,,,
2025-07-15,0.1239,,0.0789,,,,,,,,0.1957,,0.1588,,,,,,,
2025-07-14,0.1141,,0.0705,,,,,,,,0.1952,,0.1587,,,,,,,
2025-07-11,0.1143,,0.0737,,,,,,,,0.1955,,0.1587,,,,,,,
2025-07-09,0.0921,,0.078,,,,,,,,0.1959,,0.1589,,,,,,,
2025-07-08,0.0818,,0.0733,,,,,,,,0.1957,,0.159,,,,,,,
2025-07-07,0.1104,,0.08,,,,,,,,0.1964,,0.1592,,,,,,,
2025-07-03,0.1096,,0.0717,,,,,,,,0.1958,,0.159,,,,,,,
2025-07-02,0.1073,,0.0757,,0.4155,,,,,,0.1958,,0.1591,,0.4155,,,,,
2025-07-01,0.1051,,0.0932,,,,,,,,0.1959,,0.1591,,,,,,,
2025-06-30,0.1359,,0.1024,,,,,,,,0.1962,,0.1591,,,,,,,
2025-06-27,0.1366,,0.1017,,,,,,,,0.1963,,0.1591,,,,,,,
2025-06-26,0.1521,,0.1081,,,,,,,,0.1961,,0.1594,,,,,,,
2025-06-25,0.1338,,0.1135,,,,,,,,0.1957,,0.1593,,,,,,,
2025-06-24,0.1458,,0.118,,,,,,,,0.1955,,0.1595,,,,,,,
2025-06-23,0.1187,,0.1153,,,,,,,,0.1951,,0.1599,,,,,,,
2025-06-20,0.1154,,0.1001,,,,,,,,0.1952,,0.1595,,,,,,,
2025-06-18,0.1157,,0.0894,,,,,,,,0.1983,,0.1612,,,,,,,
2025-06-17,0.1178,,0.0894,,,,,,,,0.1983,,0.1612,,,,,,,
2025-06-16,0.0975,,0.0776,,,,,,,,0.1976,,0.1609,,,,,,,
2025-06-13,0.1011,,0.0772,,,,,,,,0.1975,,0.1606,,,,,,,
2025-06-12,0.0678,,0.0736,,,,,,,,0.1973,,0.1605,,,,,,,
2025-06-11,0.1017,,0.0752,,,,,,,,0.1972,,0.1605,,,,,,,
2025-06-10,0.118,,0.0883,,,,,,,,0.1978,,0.1606,,,,,,,
2025-06-09,0.1169,,0.0961,,,,,,,,0.1978,,0.1607,,,,,,,
2025-06-06,0.1179,,0.154,,,,,,,,0.1978,,0.1608,,,,,,,
2025-06-05,0.1402,,0.154,,,,,,,,0.1978,,0.1608,,,,,,,
2025-06-04,0.152,,0.1489,,,,,,,,0.1976,,0.1605,,,,,,,
2025-06-03,0.1437,,0.1507,,,,,,,,0.1973,,0.1605,,,,,,,
2025-06-02,0.1244,,0.154,,,,,,,,0.1968,,0.1607,,,,,,,
2025-05-30,0.1165,,0.1508,,,,,,,,0.1968,,0.1605,,,,,,,
2025-05-29,0.1176,,0.1465,,,,,,,,0.1972,,0.1603,,,,,,,
2025-05-28,0.1235,,0.0963,,,,,,,,0.1971,,0.1577,,,,,,,
2025-05-27,0.0932,,0.1037,,,,,,,,0.1965,,0.1579,,,,,,,
2025-05-23,0.0916,,0.1089,,,,,,,,0.1958,,0.158,,,,,,,
2025-05-22,0.104,,0.1164,,,,,,,,0.1959,,0.158,,,,,,,
2025-05-21,0.1032,,0.1147,,,,,,,,0.1958,,0.1579,,,,,,,
2025-05-20,0.0845,,0.1151,,,,,,,,0.1956,,0.1577,,,,,,,
2025-05-19,0.0852,,0.122,,,,,,,,0.1956,,0.1577,,,,,,,
2025-05-16,0.1029,,0.1185,,,,,,,,0.1963,,0.1573,,,,,,,
2025-05-15,0.1022,,0.1176,,,,,,,,0.1963,,0.1573,,,,,,,
2025-05-14,0.0758,,0.1129,,,,,,,,0.1958,,0.1573,,,,,,,
2025-05-13,0.068,,0.1022,,,,,,,,0.1978,,0.1574,,,,,,,
2025-05-12,0.1434,,0.1002,,,,,,,,0.1977,,0.1573,,,,,,,
2025-05-09,0.1474,,0.1066,,,,,,,,0.1993,,0.1571,,,,,,,
2025-05-08,0.1473,,0.1079,,,,,,,,0.2009,,0.1569,,,,,,,
2025-05-07,0.1345,,0.1033,,,,,,,,0.2023,,0.1584,,,,,,,
2025-05-06,0.1346,,0.0997,,,,,,,,0.2025,,0.1584,,,,,,,
2025-05-05,0.1288,,0.1045,,,,,,,,0.2025,,0.1584,,,,,,,
2025-05-02,0.1388,,0.1086,,,,,,,,0.2025,,0.1585,,,,,,,
2025-05-01,0.0943,,0.1437,,,,,,,,0.2023,,0.1586,,,,,,,
2025-04-30,0.114,,0.1438,,,,,,,,0.2027,,0.1583,,,,,,,
2025-04-29,0.1297,,0.1444,,,,,,,,0.203,,0.1579,,,,,,,
2025-04-28,0.1361,,0.147,,,,,,,,0.2033,,0.1579,,,,,,,
2025-04-25,0.1634,,0.1536,,,,,,,,0.2033,,0.158,,,,,,,
2025-04-24,0.1616,,0.1522,,0.2077,,,,,,0.2033,,0.1579,,0.2077,,,,,
2025-04-23,0.1538,,0.1525,,,,,,,,0.2025,,0.1578,,,,,,,
2025-04-22,0.191,,0.1441,,,,,,,,0.2026,,0.1562,,,,,,,
2025-04-21,0.2408,,0.1881,,,,,,,,0.2016,,0.1558,,,,,,,
2025-04-17,0.4468,,0.3263,,,,,,,,0.2016,,0.1554,,,,,,,
2025-04-16,0.4578,,0.4355,,,,,,,,0.2006,,0.1608,,,,,,,
2025-04-15,0.4854,,0.4937,,,,,,,,0.2003,,0.1603,,,,,,,
2025-04-14,0.6662,,0.5107,,,,,,,,0.2029,,0.1611,,,,,,,
2025-04-11,0.6645,,0.5132,,,,,,,,0.2026,,0.1611,,,,,,,
2025-04-10,0.636,,0.5076,,,,,,,,0.1994,,0.16,,,,,,,
2025-04-09,0.633,,0.4909,,,,,,,,0.1977,,0.1569,,,,,,,
