date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-22,0.2275,19.0,0.3519,43.0,0.5143,54.0,0.4894,47.0,0.4646,40.0,0.3065,15.0,0.2792,14.0,0.3059,9.0,0.3125,10.0,0.3191,11.0
2025-10-21,0.2294,20.0,0.3637,46.0,0.4504,39.0,0.4348,34.0,0.4191,30.0,0.3064,15.0,0.2796,14.0,0.3089,9.0,0.3087,9.0,0.3086,9.0
2025-10-20,0.2434,23.0,0.3663,47.0,0.457,41.0,0.418,30.0,0.379,22.0,0.3067,15.0,0.2801,14.0,0.3102,9.0,0.3087,9.0,0.3073,9.0
2025-10-15,0.2559,25.0,0.2649,20.0,0.4934,50.0,0.5189,54.0,0.5444,57.0,0.3078,15.0,0.2748,14.0,0.3013,8.0,0.3037,8.0,0.3061,8.0
2025-10-14,0.1994,13.0,0.2383,13.0,0.4299,34.0,0.4326,33.0,0.4353,33.0,0.3063,15.0,0.2738,13.0,0.3051,9.0,0.3086,9.0,0.3122,10.0
2025-10-13,0.1775,9.0,0.222,10.0,0.5125,54.0,0.449,37.0,0.3855,23.0,0.3067,15.0,0.2737,13.0,0.3027,8.0,0.3087,9.0,0.3147,10.0
2025-10-10,0.1497,5.0,0.2232,10.0,0.4964,50.0,0.4372,34.0,0.378,22.0,0.3073,15.0,0.2738,13.0,0.3002,8.0,0.3077,9.0,0.3152,10.0
2025-10-09,0.2134,16.0,0.226,11.0,0.4066,28.0,0.3932,25.0,0.3799,22.0,0.3114,16.0,0.2748,14.0,0.3154,10.0,0.3084,9.0,0.3015,8.0
2025-10-08,0.2127,16.0,0.2231,10.0,0.3739,22.0,0.3644,19.0,0.355,18.0,0.3133,17.0,0.2758,14.0,0.3137,10.0,0.3174,10.0,0.321,12.0
2025-10-07,0.1448,5.0,0.2237,10.0,0.3644,21.0,0.3801,22.0,0.3958,25.0,0.3263,19.0,0.2838,15.0,0.2886,6.0,0.2914,6.0,0.2941,6.0
