date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-13,0.7456,,0.698,,0.7167,,0.7151,,0.7136,,1.0404,,0.9256,,0.8112,,0.8137,,0.8162,
2025-08-12,0.6952,,0.6891,,0.815,,0.7817,,0.7485,,1.0388,,0.9254,,0.8043,,0.7977,,0.7911,
2025-08-08,0.5883,,0.5746,,0.7109,,0.7118,,0.7126,,1.0393,,0.9252,,0.8047,,0.8189,,0.8331,
2025-08-07,0.5702,,0.5965,,0.7433,,0.7472,,0.7511,,1.0384,,0.9275,,0.8,,0.7973,,0.7946,
2025-08-05,0.6228,,0.6342,,1.0537,,1.0442,,1.0347,,1.0386,,0.93,,0.8214,,0.8234,,0.8253,
2025-08-04,0.4808,,0.611,,0.9709,,0.9678,,0.9647,,1.036,,0.9323,,0.8132,,0.8248,,0.8365,
2025-08-01,0.3394,,0.608,,1.0959,,1.0916,,1.0872,,1.034,,0.9331,,0.8389,,0.8398,,0.8406,
2025-07-31,0.3917,,0.5984,,1.1021,,1.1034,,1.1047,,1.0345,,0.9387,,0.8605,,0.8565,,0.8525,
2025-07-30,0.4884,,0.6148,,1.1089,,1.1073,,1.1057,,1.0348,,0.9412,,0.8275,,0.8378,,0.8482,
2025-07-29,0.5214,,0.6246,,1.21,,1.1807,,1.1514,,1.0348,,0.9424,,0.8503,,0.839,,0.8277,
2025-07-28,0.5846,,0.6024,,1.0629,,1.062,,1.0612,,1.0332,,0.9404,,0.8248,,0.8158,,0.8068,
2025-07-25,0.6177,,0.562,,0.8724,,0.8552,,0.8381,,1.0329,,0.9441,,0.856,,0.8454,,0.8349,
2025-07-24,0.6711,,0.602,,0.8897,,0.8888,,0.888,,1.0357,,0.9503,,0.8457,,0.8318,,0.8178,
2025-07-22,0.6703,,0.5878,,0.8318,,0.8151,,0.7983,,1.0351,,0.9542,,0.844,,0.8537,,0.8634,
2025-07-21,0.821,,0.6078,,0.7937,,0.7998,,0.8059,,1.0373,,0.9561,,0.8463,,0.8491,,0.8519,
2025-07-18,0.77,,0.5687,,0.7747,,0.7804,,0.786,,1.0579,,0.9639,,0.8391,,0.8602,,0.8812,
2025-07-17,0.7392,,0.5383,,0.7543,,0.7508,,0.7473,,1.061,,0.9645,,0.8546,,0.8614,,0.8681,
2025-07-16,0.7091,,0.5758,,0.7606,,0.7614,,0.7621,,1.0629,,0.9725,,0.844,,0.8695,,0.895,
2025-07-15,0.6305,,0.6286,,0.7046,,0.6991,,0.6937,,1.1375,,0.9894,,0.8703,,0.8888,,0.9072,
2025-07-14,0.6242,,0.633,,0.7172,,0.706,,0.6948,,1.1396,,0.9944,,0.8566,,0.8767,,0.8968,
2025-07-11,0.9453,,0.7272,,0.7352,,0.728,,0.7207,,1.16,,1.0071,,0.8757,,0.8826,,0.8896,
2025-07-09,0.9047,,0.7358,,0.8078,,0.8063,,0.8049,,1.3557,,1.0735,,0.892,,0.9036,,0.9152,
2025-07-08,0.9966,,0.7048,,0.8541,,0.8418,,0.8296,,1.3595,,1.0765,,0.8974,,0.903,,0.9086,
2025-07-07,0.9948,,0.746,,0.8926,,0.8962,,0.8999,,1.3596,,1.0781,,0.8787,,0.8958,,0.913,
2025-07-03,1.1168,,0.6828,,0.7444,,0.7604,,0.7763,,1.3667,,1.0809,,0.8945,,0.909,,0.9236,
2025-07-02,1.1451,,0.7555,,0.8529,,0.8894,,0.9259,,1.368,,1.0836,,0.8968,,0.913,,0.9293,
2025-07-01,0.9291,,0.7437,,0.7915,,0.7846,,0.7777,,1.3615,,1.0832,,0.9001,,0.9035,,0.9069,
2025-06-30,0.7984,,0.7332,,0.8663,,0.855,,0.8438,,1.3584,,1.0848,,0.8759,,0.8952,,0.9145,
2025-06-27,0.7406,,0.7218,,0.7254,,0.734,,0.7426,,1.3577,,1.0853,,0.8613,,0.8977,,0.9341,
2025-06-26,0.7248,,0.6954,,0.7754,,0.8005,,0.8256,,1.3622,,1.0894,,0.8816,,0.8886,,0.8957,
2025-06-25,0.5655,,0.7222,,0.7849,,0.775,,0.765,,1.3622,,1.0936,,0.9109,,0.9148,,0.9187,
2025-06-24,0.3469,,0.6612,,0.7748,,0.7794,,0.784,,1.3624,,1.0933,,0.9061,,0.887,,0.8679,
2025-06-23,0.3938,,0.663,,0.8194,,0.7992,,0.779,,1.3821,,1.1141,,0.9096,,0.9102,,0.9107,
2025-06-20,0.382,,0.712,,0.8478,,0.8654,,0.8829,,1.3819,,1.1182,,0.9465,,0.9443,,0.9421,
2025-06-18,0.3679,,0.783,,0.7867,,0.7953,,0.8039,,1.3996,,1.1294,,0.9661,,0.9733,,0.9805,
2025-06-17,0.3014,,0.8196,,0.8355,,0.8328,,0.83,,1.4,,1.1323,,0.9541,,0.9618,,0.9696,
2025-06-16,0.4904,,0.8543,,0.838,,0.8484,,0.8587,,1.4323,,1.1565,,0.9651,,0.9709,,0.9767,
2025-06-13,0.6981,,0.8578,,0.8162,,0.8214,,0.8267,,1.4423,,1.1606,,0.9768,,0.9842,,0.9916,
2025-06-12,0.6889,,0.8533,,0.8497,,0.8468,,0.8439,,1.4419,,1.1643,,0.9393,,0.9673,,0.9953,
2025-06-11,0.6817,,0.8664,,0.9253,,0.9026,,0.8798,,1.4487,,1.1716,,0.9914,,0.9999,,1.0085,
2025-06-10,0.6838,,0.7878,,0.8849,,0.8856,,0.8863,,1.4498,,1.1714,,0.9547,,0.9826,,1.0105,
2025-06-09,0.7932,,0.7112,,0.8813,,0.875,,0.8688,,1.4574,,1.1716,,0.9619,,0.9606,,0.9592,
2025-06-06,0.8874,,0.7824,,0.8257,,0.8252,,0.8247,,1.459,,1.172,,0.9689,,0.9821,,0.9953,
2025-06-05,0.6517,,0.7962,,0.8865,,0.8902,,0.8939,,1.46,,1.1762,,0.9218,,0.9376,,0.9534,
2025-06-04,0.769,,0.8102,,0.8648,,0.8684,,0.8721,,1.4558,,1.1778,,0.9649,,0.9844,,1.004,
2025-06-03,0.7709,,0.9517,,0.8821,,0.8898,,0.8975,,1.456,,1.1793,,0.9194,,0.9471,,0.9748,
2025-06-02,2.1332,,1.6238,,0.9018,,0.8998,,0.8979,,1.4678,,1.1849,,0.9661,,0.9817,,0.9973,
2025-05-30,2.1842,,1.6402,,0.8865,,0.9,,0.9135,,1.4784,,1.1908,,0.9642,,0.967,,0.9697,
2025-05-29,2.103,,1.6377,,0.9841,,0.9932,,1.0023,,1.4765,,1.1953,,0.9734,,0.9934,,1.0135,
2025-05-28,1.931,,1.59,,1.1503,,1.1455,,1.1407,,1.4697,,1.1934,,0.9576,,0.9804,,1.0032,
