date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-29,1.5882,100.0,0.709,94.0,,,,,1.0784,93.0,0.5864,100.0,0.4842,26.0,,,,,1.0784,98.0
2025-10-28,1.6265,100.0,0.7123,95.0,,,,,1.3843,97.0,0.5865,100.0,0.4836,26.0,,,,,0.5577,39.0
2025-10-27,1.6183,100.0,0.6833,92.0,,,,,0.713,69.0,0.5866,100.0,0.4813,24.0,,,,,0.6612,72.0
2025-10-24,0.3525,28.0,0.5067,60.0,1.0307,95.0,,,,,0.4488,11.0,0.4683,16.0,1.1795,100.0,,,,
2025-10-23,0.3201,21.0,0.4868,52.0,1.3288,98.0,,,,,0.4488,11.0,0.4664,14.0,0.7778,97.0,,,,
2025-10-22,0.261,9.0,0.456,41.0,0.6085,65.0,1.305,99.0,2.0016,100.0,0.4473,11.0,0.4648,11.0,0.6085,75.0,1.305,100.0,2.0016,100.0
2025-10-21,0.3855,37.0,0.4554,41.0,1.0534,95.0,0.9984,95.0,0.9433,87.0,0.4472,10.0,0.4642,9.0,1.0534,100.0,0.9984,99.0,0.9433,95.0
2025-10-20,0.4198,45.0,0.4507,39.0,0.8317,90.0,,,,,0.4473,11.0,0.4661,13.0,0.8317,98.0,,,,
2025-10-15,0.6131,80.0,0.4987,57.0,,,,,,,0.4551,12.0,0.4696,18.0,,,,,,
2025-10-14,0.6136,80.0,0.4858,52.0,1.4684,99.0,1.5668,100.0,1.6653,99.0,0.4602,14.0,0.4704,18.0,0.8919,99.0,1.2786,100.0,1.6653,100.0
2025-10-13,0.5786,76.0,0.4702,46.0,,,,,,,0.4582,13.0,0.4695,18.0,,,,,,
2025-10-10,0.5297,67.0,0.474,47.0,0.9513,94.0,0.9842,94.0,1.0171,91.0,0.4543,12.0,0.4691,17.0,0.9513,100.0,0.9842,99.0,1.0171,97.0
2025-10-09,0.4525,51.0,0.4483,38.0,1.3277,98.0,,,,,0.4651,18.0,0.4727,19.0,0.7129,92.0,,,,
2025-10-08,0.2152,4.0,0.4222,28.0,,,,,,,0.4658,18.0,0.4738,20.0,,,,,,
2025-10-07,0.2812,11.0,0.3978,20.0,2.1632,100.0,1.3845,99.0,0.6058,45.0,0.4673,19.0,0.4795,23.0,2.1632,100.0,1.3845,100.0,0.6058,56.0
2025-10-06,0.4282,47.0,0.4938,56.0,1.8882,100.0,,,,,0.4764,27.0,0.5028,38.0,0.7159,93.0,,,,
2025-10-02,0.5926,77.0,0.5488,71.0,,,,,,,0.486,39.0,0.5121,43.0,,,,,,
2025-10-01,0.5791,76.0,0.5601,75.0,1.4397,99.0,,,,,0.4875,41.0,0.5212,53.0,1.4397,100.0,,,,
2025-09-30,0.8339,97.0,0.5659,76.0,1.1279,97.0,,,,,0.4882,42.0,0.5223,55.0,1.3415,100.0,,,,
2025-09-29,0.8231,97.0,0.5756,78.0,2.1057,100.0,1.603,100.0,1.1002,94.0,0.4865,40.0,0.5208,52.0,2.1057,100.0,1.603,100.0,1.1002,98.0
2025-09-24,0.6247,81.0,0.5472,71.0,0.8912,92.0,0.8125,88.0,0.7338,71.0,0.4733,24.0,0.5158,46.0,0.5497,60.0,0.581,59.0,0.6123,57.0
2025-09-23,0.663,85.0,0.5489,71.0,0.8631,92.0,0.6642,65.0,0.4653,8.0,0.4733,24.0,0.5159,46.0,0.6413,83.0,0.7928,96.0,0.9443,95.0
2025-09-22,0.7514,92.0,0.5736,78.0,0.7017,81.0,0.6687,66.0,0.6357,53.0,0.4722,23.0,0.5142,45.0,0.6839,89.0,0.8194,97.0,0.955,96.0
2025-09-19,0.5157,64.0,0.5803,78.0,0.8493,92.0,,,,,0.4562,13.0,0.514,45.0,0.6795,88.0,,,,
2025-09-18,0.5444,70.0,0.5722,77.0,0.8732,92.0,,,,,0.455,12.0,0.512,43.0,0.8732,99.0,,,,
2025-09-16,0.8726,98.0,0.7209,95.0,0.884,92.0,0.9677,94.0,1.0514,92.0,0.4528,12.0,0.5075,40.0,0.884,99.0,0.9677,99.0,1.0514,98.0
2025-09-15,0.8822,98.0,0.7305,95.0,,,,,,,0.4548,12.0,0.5108,42.0,,,,,,
2025-09-12,0.9119,99.0,0.7265,95.0,0.6569,75.0,0.5754,44.0,0.4938,14.0,0.4599,14.0,0.511,42.0,0.6569,85.0,0.5754,57.0,0.4938,14.0
2025-09-10,0.886,98.0,0.7019,93.0,0.8763,92.0,0.7238,77.0,0.5713,39.0,0.4533,12.0,0.5097,41.0,0.8763,99.0,0.7238,92.0,0.5713,45.0
