date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-12-02,0.1705,83.0,0.1112,70.0,0.1262,57.0,0.1552,65.0,0.1841,71.0,0.1116,48.0,0.0911,40.0,0.1262,62.0,0.1438,51.0,0.1614,36.0
2025-11-26,0.1455,74.0,0.1008,61.0,,,,,0.2439,87.0,0.1104,45.0,0.0906,39.0,,,,,0.2439,89.0
2025-11-25,0.1559,78.0,0.1035,64.0,0.1065,33.0,0.1686,72.0,0.2307,84.0,0.1103,45.0,0.0907,39.0,0.1065,41.0,0.1686,75.0,0.2307,86.0
2025-11-20,0.0794,25.0,0.0844,41.0,0.1286,59.0,0.1928,80.0,0.257,93.0,0.1069,40.0,0.0899,39.0,0.1286,63.0,0.1527,60.0,0.1768,57.0
2025-11-18,0.1159,57.0,0.0942,54.0,,,,,0.3386,99.0,0.1077,41.0,0.0906,39.0,,,,,0.1798,63.0
2025-11-17,0.1285,65.0,0.094,54.0,0.1291,59.0,0.148,60.0,0.1669,57.0,0.1069,40.0,0.0906,39.0,0.1291,64.0,0.148,55.0,0.1669,45.0
2025-11-14,0.1192,60.0,0.0921,52.0,0.1405,67.0,0.1916,79.0,0.2427,87.0,0.1073,41.0,0.0905,39.0,0.1405,71.0,0.165,72.0,0.1896,73.0
2025-11-13,0.1166,59.0,0.0856,43.0,0.1281,57.0,0.176,74.0,0.224,81.0,0.1074,41.0,0.0901,39.0,0.1281,63.0,0.1495,57.0,0.1709,50.0
2025-11-12,0.1198,61.0,0.0772,31.0,0.1228,53.0,0.1662,71.0,0.2095,77.0,0.1077,41.0,0.0897,38.0,0.1228,57.0,0.1472,55.0,0.1716,51.0
2025-11-10,0.1045,48.0,0.0782,33.0,0.1301,60.0,0.154,65.0,0.1779,67.0,0.1121,49.0,0.0914,40.0,0.1301,65.0,0.1541,62.0,0.1781,60.0
2025-11-07,0.1065,49.0,0.077,31.0,0.1278,57.0,0.1536,64.0,0.1794,68.0,0.1123,49.0,0.0913,40.0,0.1275,63.0,0.1534,61.0,0.1793,62.0
2025-11-06,0.1343,69.0,0.093,53.0,0.1392,66.0,0.1683,72.0,0.1974,75.0,0.1122,49.0,0.0917,41.0,0.1358,68.0,0.1568,65.0,0.1779,60.0
2025-11-05,0.1338,68.0,0.092,52.0,0.1349,64.0,0.2039,83.0,0.2729,95.0,0.1122,49.0,0.0919,42.0,0.1406,71.0,0.1597,68.0,0.1788,61.0
2025-11-04,0.1341,69.0,0.0918,51.0,0.13,60.0,0.1953,81.0,0.2606,93.0,0.1126,50.0,0.092,42.0,0.1298,65.0,0.1545,62.0,0.1792,62.0
2025-11-03,0.1251,64.0,0.0923,52.0,0.1386,66.0,0.1926,80.0,0.2465,89.0,0.1126,50.0,0.0922,43.0,0.1279,63.0,0.1498,57.0,0.1717,51.0
2025-10-31,0.1246,64.0,0.0934,53.0,0.135,64.0,0.1889,79.0,0.2428,87.0,0.1123,49.0,0.0922,43.0,0.1283,63.0,0.1508,59.0,0.1732,53.0
2025-10-30,0.1411,72.0,0.1023,63.0,0.1466,70.0,0.183,77.0,0.2195,80.0,0.1123,49.0,0.0922,43.0,0.1259,62.0,0.1468,54.0,0.1678,46.0
2025-10-29,0.1414,72.0,0.1066,67.0,0.1451,70.0,0.1593,68.0,0.1735,62.0,0.1122,49.0,0.0923,43.0,0.1364,69.0,0.1509,59.0,0.1654,42.0
2025-10-28,0.0724,18.0,0.0893,48.0,0.1459,70.0,0.1743,74.0,0.2026,76.0,0.1079,41.0,0.0913,40.0,0.1313,65.0,0.1438,51.0,0.1563,27.0
2025-10-27,0.0919,36.0,0.0911,51.0,0.1142,45.0,0.137,46.0,0.1599,50.0,0.1083,41.0,0.0913,40.0,0.1142,51.0,0.1376,42.0,0.161,36.0
2025-10-24,0.0926,36.0,0.0949,55.0,0.1064,33.0,0.1348,42.0,0.1632,53.0,0.1089,42.0,0.0921,42.0,0.128,63.0,0.139,44.0,0.15,16.0
2025-10-23,0.0954,39.0,0.0984,59.0,0.1382,66.0,0.1515,63.0,0.1648,55.0,0.1093,42.0,0.0931,44.0,0.1245,60.0,0.1412,47.0,0.1578,31.0
2025-10-22,0.1004,44.0,0.103,63.0,0.1225,53.0,0.1412,53.0,0.1599,50.0,0.1091,42.0,0.0933,45.0,0.1168,54.0,0.1404,46.0,0.164,40.0
2025-10-21,0.1116,54.0,0.0953,56.0,0.1264,57.0,0.1528,64.0,0.1791,68.0,0.1089,42.0,0.0935,45.0,0.1155,53.0,0.1385,43.0,0.1615,36.0
2025-10-20,0.1093,52.0,0.0934,53.0,0.1258,57.0,0.1475,59.0,0.1692,57.0,0.1106,46.0,0.0934,45.0,0.1231,59.0,0.1394,45.0,0.1557,25.0
2025-10-15,0.1173,59.0,0.0969,57.0,0.1326,62.0,0.1574,67.0,0.1821,70.0,0.112,49.0,0.0966,52.0,0.1191,56.0,0.139,44.0,0.1589,32.0
2025-10-14,0.1314,67.0,0.0924,52.0,0.1215,52.0,0.1634,70.0,0.2053,77.0,0.1145,51.0,0.0978,53.0,0.1165,54.0,0.1424,49.0,0.1682,47.0
2025-10-13,0.1158,57.0,0.0826,40.0,0.1758,81.0,0.1767,75.0,0.1776,67.0,0.1139,50.0,0.0984,53.0,0.1205,57.0,0.146,53.0,0.1714,51.0
2025-10-10,0.1147,57.0,0.0802,36.0,0.1306,61.0,0.1606,69.0,0.1905,73.0,0.1141,51.0,0.0985,53.0,0.1317,66.0,0.149,57.0,0.1662,44.0
2025-10-09,0.1056,48.0,0.0756,28.0,0.1214,52.0,0.1657,71.0,0.21,77.0,0.1154,52.0,0.0995,53.0,0.1145,52.0,0.1413,48.0,0.1681,47.0
2025-10-08,0.1026,46.0,0.0739,26.0,0.1278,57.0,0.1462,57.0,0.1647,55.0,0.1168,53.0,0.1012,55.0,0.1201,57.0,0.1413,48.0,0.1625,37.0
2025-10-07,0.096,40.0,0.0721,23.0,0.1177,49.0,0.1406,52.0,0.1636,53.0,0.1165,53.0,0.1033,57.0,0.1145,52.0,0.1436,50.0,0.1728,53.0
2025-10-06,0.0778,23.0,0.057,6.0,0.1342,64.0,0.1579,67.0,0.1816,69.0,0.1229,57.0,0.1098,61.0,0.1193,56.0,0.1406,46.0,0.1618,37.0
2025-10-02,0.093,36.0,0.0826,40.0,0.1315,61.0,0.1582,68.0,0.185,71.0,0.1253,57.0,0.1184,67.0,0.1259,62.0,0.1412,47.0,0.1564,28.0
2025-10-01,0.1019,45.0,0.0859,43.0,0.1244,55.0,0.1513,63.0,0.1782,67.0,0.1422,64.0,0.1252,71.0,0.1186,56.0,0.1374,41.0,0.1561,26.0
2025-09-30,0.1253,64.0,0.0898,48.0,0.123,54.0,0.1526,64.0,0.1822,70.0,0.144,66.0,0.1259,71.0,0.1183,55.0,0.1376,42.0,0.157,28.0
2025-09-29,0.124,63.0,0.0883,47.0,0.1197,50.0,0.1534,64.0,0.1871,72.0,0.1441,66.0,0.1261,71.0,0.113,50.0,0.1378,42.0,0.1625,37.0
2025-09-24,0.16,79.0,0.0924,52.0,0.1294,60.0,0.1518,63.0,0.1743,63.0,0.1453,67.0,0.1263,71.0,0.1278,63.0,0.143,49.0,0.1581,31.0
2025-09-23,0.1544,78.0,0.0941,54.0,0.1182,49.0,0.146,57.0,0.1737,62.0,0.1451,67.0,0.1263,71.0,0.1202,57.0,0.142,48.0,0.1639,40.0
