date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-17,0.9127,,0.7906,,0.7763,,,,,,0.0,,0.0,,0.7763,,,,,
2025-07-16,0.6853,,0.811,,1.2226,,,,,,0.0,,0.0,,1.2226,,,,,
2025-07-15,0.6146,,0.8349,,1.1475,,,,,,0.0,,0.0,,0.8801,,,,,
2025-07-14,0.7293,,0.8875,,2.3025,,,,,,0.0,,0.0,,0.7876,,,,,
2025-07-11,0.5946,,0.7985,,1.1408,,,,,,0.0,,0.0,,0.8375,,,,,
2025-07-09,0.8254,,1.0107,,1.3451,,,,,,0.0,,0.0,,0.8032,,,,,
2025-07-08,1.2084,,1.2212,,0.8986,,,,,,0.0,,0.0,,0.7163,,,,,
2025-07-07,1.2146,,1.2131,,1.4828,,,,,,0.0,,0.0,,0.8115,,,,,
2025-07-03,1.1646,,1.2665,,1.9646,,,,,,0.0,,0.0,,0.6771,,,,,
2025-07-02,1.1688,,1.2311,,1.9419,,1.5037,,1.0655,,0.0,,0.0,,1.9419,,1.5037,,1.0655,
2025-07-01,1.1945,,1.2418,,,,,,,,0.0,,0.0,,,,,,,
2025-06-30,1.1833,,1.1787,,0.5092,,,,,,0.0,,0.0,,0.5092,,,,,
2025-06-27,1.319,,1.2263,,,,,,,,0.0,,0.0,,,,,,,
2025-06-26,1.5978,,1.3208,,2.0948,,,,,,0.0,,0.0,,0.8868,,,,,
2025-06-25,1.1033,,1.2109,,,,,,,,0.0,,0.0,,,,,,,
2025-06-24,1.1812,,1.2369,,,,,,1.7888,,0.0,,0.0,,,,,,1.7888,
2025-06-23,1.2568,,1.1605,,1.605,,,,,,0.0,,0.0,,1.605,,,,,
2025-06-20,1.1842,,1.1331,,1.5123,,,,,,0.0,,0.0,,1.5123,,,,,
2025-06-18,1.438,,1.1947,,1.8162,,,,,,0.0,,0.0,,1.8162,,,,,
2025-06-17,1.3095,,1.1374,,,,,,,,0.0,,0.0,,,,,,,
2025-06-16,0.8303,,1.0205,,,,,,,,0.0,,0.0,,,,,,,
2025-06-13,0.8398,,1.0049,,,,,,,,0.0,,0.0,,,,,,,
2025-06-12,0.8313,,1.0288,,2.8604,,,,,,0.0,,0.0,,2.8604,,,,,
2025-06-11,0.8331,,1.0729,,2.568,,,,,,0.0,,0.0,,2.568,,,,,
2025-06-10,0.8334,,1.0836,,2.8325,,,,,,0.0,,0.0,,2.8325,,,,,
2025-06-09,0.593,,1.0204,,,,,,,,0.0,,0.0,,,,,,,
2025-06-06,0.4578,,0.9173,,2.5818,,,,,,0.0,,0.0,,2.5818,,,,,
2025-06-05,0.3432,,0.8307,,,,,,,,0.0,,0.0,,,,,,,
2025-06-04,0.3851,,0.8473,,,,,,,,0.0,,0.0,,,,,,,
2025-06-03,0.4679,,0.8223,,2.1564,,2.2501,,2.3438,,0.0,,0.0,,0.9466,,1.6452,,2.3438,
2025-06-02,0.4799,,0.7964,,,,,,,,0.0,,0.0,,,,,,,
2025-05-30,0.5012,,0.8,,,,,,,,0.0,,0.0,,,,,,,
2025-05-29,0.5522,,0.8272,,,,,,,,0.0,,0.0,,,,,,,
2025-05-28,0.5475,,0.8185,,,,,,,,0.0,,0.0,,,,,,,
2025-05-27,0.5401,,0.8126,,,,,,,,0.0,,0.0,,,,,,,
2025-05-23,0.4295,,0.7765,,,,,,,,0.0,,0.0,,,,,,,
2025-05-22,0.8445,,0.8801,,,,,,,,0.0,,0.0,,,,,,,
2025-05-21,0.8596,,0.9874,,,,,,,,0.0,,0.0,,,,,,,
2025-05-20,0.7053,,0.7763,,,,,,,,3.9256,,0.8635,,,,,,,
