date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-18,1.6641,,1.3082,,1.5947,,2.0374,,2.48,,0.0,,0.0,,1.8118,,1.8426,,1.8735,
2025-11-17,1.7623,,1.5294,,1.6662,,1.9681,,2.27,,0.0,,0.0,,1.7361,,1.7764,,1.8166,
2025-11-14,1.7819,,1.5383,,1.8076,,1.7653,,1.723,,0.0,,0.0,,1.7805,,1.7898,,1.799,
2025-11-13,1.6659,,1.5088,,1.7888,,1.8748,,1.9607,,0.0,,0.0,,1.749,,1.7967,,1.8444,
2025-11-12,1.9089,,1.5827,,1.7513,,1.8672,,1.983,,0.0,,0.0,,1.818,,1.836,,1.854,
2025-11-10,1.9656,,1.5123,,2.1004,,1.8911,,1.6818,,0.0,,0.0,,1.8208,,1.8285,,1.8362,
2025-11-07,1.74,,1.4975,,1.7867,,1.867,,1.9472,,0.0,,0.0,,1.782,,1.8584,,1.9347,
2025-11-06,2.069,,1.3352,,1.8412,,1.7995,,1.7578,,0.0,,0.0,,1.7088,,1.7376,,1.7664,
2025-11-05,2.0881,,1.3108,,2.0614,,2.0132,,1.9649,,0.0,,0.0,,1.7125,,1.7866,,1.8606,
2025-11-04,2.088,,1.3087,,2.1583,,2.1967,,2.2351,,0.0,,0.0,,1.7993,,1.7674,,1.7355,
2025-11-03,1.7381,,1.1599,,2.1497,,2.1249,,2.1,,0.0,,0.0,,1.8043,,1.8326,,1.861,
2025-10-31,1.4031,,0.9588,,1.9679,,2.0726,,2.1774,,0.0,,0.0,,1.7938,,1.8474,,1.9011,
2025-10-30,1.4418,,1.0029,,1.9516,,1.991,,2.0303,,0.0,,0.0,,1.7661,,1.7994,,1.8328,
2025-10-29,1.6622,,1.2454,,2.1009,,2.0828,,2.0647,,0.0,,0.0,,1.8073,,1.8154,,1.8234,
2025-10-28,1.9419,,1.1502,,2.0298,,2.0068,,1.9838,,0.0,,0.0,,1.7799,,1.7676,,1.7552,
2025-10-27,1.8931,,1.1854,,1.8868,,1.9674,,2.0479,,0.0,,0.0,,1.7042,,1.7509,,1.7976,
2025-10-24,2.2073,,1.6649,,2.0706,,1.9821,,1.8936,,0.0,,0.0,,1.7351,,1.743,,1.7508,
2025-10-23,2.1088,,1.6846,,2.1014,,2.0467,,1.992,,0.0,,0.0,,1.7268,,1.7486,,1.7705,
2025-10-22,2.423,,2.0038,,1.9841,,2.0618,,2.1394,,0.0,,0.0,,1.7587,,1.7878,,1.8169,
2025-10-21,2.4717,,1.9805,,1.9471,,1.9802,,2.0133,,0.0,,0.0,,1.7695,,1.7522,,1.735,
2025-10-20,2.1826,,1.9436,,1.9779,,1.9731,,1.9683,,0.0,,0.0,,1.7636,,1.7842,,1.8048,
2025-10-15,1.676,,1.5708,,1.804,,1.8388,,1.8736,,0.0,,0.0,,1.7184,,1.7105,,1.7026,
2025-10-14,1.8948,,1.5592,,2.0363,,1.8598,,1.6833,,0.0,,0.0,,1.7601,,1.7392,,1.7182,
2025-10-13,1.6705,,1.1985,,2.0408,,1.8548,,1.6689,,0.0,,0.0,,1.7515,,1.7346,,1.7177,
2025-10-10,2.0494,,1.3405,,1.848,,1.76,,1.6719,,0.0,,0.0,,1.7498,,1.7016,,1.6534,
2025-10-09,1.9146,,1.3023,,1.6613,,1.7252,,1.7892,,0.0,,0.0,,1.704,,1.7321,,1.7602,
2025-10-08,1.8443,,1.2831,,1.6825,,1.8083,,1.9341,,0.0,,0.0,,1.7081,,1.76,,1.8119,
2025-10-07,1.3539,,1.2695,,1.8085,,1.7954,,1.7824,,0.0,,0.0,,1.6868,,1.6704,,1.654,
2025-10-06,1.0819,,1.2451,,1.7583,,1.8258,,1.8932,,0.0,,0.0,,1.6326,,1.7158,,1.7991,
2025-10-02,1.2799,,1.3187,,1.6173,,1.7328,,1.8482,,0.0,,0.0,,1.6398,,1.6981,,1.7564,
2025-10-01,0.8878,,1.2932,,1.6127,,1.6741,,1.7355,,0.0,,0.0,,1.6385,,1.6758,,1.7131,
2025-09-30,1.041,,1.3195,,1.71,,1.7306,,1.7512,,0.0,,0.0,,1.637,,1.6976,,1.7581,
2025-09-29,1.8095,,1.529,,1.6347,,1.665,,1.6954,,0.0,,0.0,,1.6634,,1.677,,1.6905,
2025-09-24,1.617,,1.348,,1.8122,,1.6984,,1.5846,,0.0,,0.0,,1.727,,1.7066,,1.6863,
2025-09-23,1.6454,,1.4068,,1.782,,1.7742,,1.7664,,0.0,,0.0,,1.6771,,1.6924,,1.7077,
2025-09-22,1.6219,,1.4566,,1.7914,,1.723,,1.6545,,0.0,,0.0,,1.6456,,1.6638,,1.6819,
2025-09-19,1.4191,,1.4528,,,,,,,,0.0,,0.0,,,,,,,
2025-09-18,0.6165,,1.2566,,1.5429,,1.4921,,1.4413,,0.0,,0.0,,1.5529,,1.582,,1.611,
2025-09-16,0.0,,0.0,,1.7735,,1.7051,,1.6367,,0.0,,0.0,,1.5816,,1.5954,,1.6092,
2025-09-15,0.0,,0.0,,1.8714,,1.6193,,1.3672,,0.0,,0.0,,1.5612,,1.5448,,1.5283,
2025-09-12,0.0,,0.0,,1.5628,,1.52,,1.4772,,0.0,,0.0,,1.5365,,1.5213,,1.5061,
