date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-18,0.0761,5.0,0.1249,5.0,0.2824,41.0,,,,,0.3942,59.0,0.3609,59.0,0.2824,50.0,,,,
2025-11-17,0.0712,4.0,0.1276,6.0,0.2812,40.0,,,,,0.3942,59.0,0.3612,59.0,0.3064,57.0,,,,
2025-11-14,0.0757,5.0,0.1371,8.0,0.2932,43.0,,,,,0.4025,60.0,0.3665,60.0,0.3068,57.0,,,,
2025-11-13,0.087,6.0,0.1522,12.0,0.3122,47.0,,,,,0.4041,61.0,0.3679,61.0,0.3122,57.0,,,,
2025-11-12,0.5663,90.0,0.1854,23.0,0.2659,37.0,,,,,0.4053,61.0,0.3714,62.0,0.2659,46.0,,,,
2025-11-10,0.5574,89.0,0.2043,27.0,0.4183,71.0,,,,,0.4049,61.0,0.3719,62.0,0.4516,90.0,,,,
2025-11-07,0.5728,90.0,0.2001,27.0,0.2152,25.0,,,,,0.405,61.0,0.3737,62.0,0.3011,55.0,,,,
2025-11-06,0.6054,92.0,0.2112,28.0,0.2791,40.0,,,,,0.4053,61.0,0.3741,62.0,0.251,41.0,,,,
2025-11-05,0.613,92.0,0.2192,31.0,0.2737,39.0,0.2786,33.0,0.2836,27.0,0.4053,61.0,0.3741,62.0,0.2972,54.0,0.2904,37.0,0.2836,15.0
2025-11-04,0.618,92.0,0.265,44.0,0.2699,38.0,0.2714,31.0,0.2728,24.0,0.4053,61.0,0.3741,62.0,0.2741,48.0,0.2734,33.0,0.2728,13.0
2025-11-03,0.6088,92.0,0.2633,43.0,0.3751,60.0,,,,,0.4047,61.0,0.3754,62.0,0.3097,57.0,,,,
2025-10-31,0.2374,46.0,0.2503,39.0,0.4449,78.0,0.4326,65.0,0.4203,57.0,0.3877,57.0,0.3772,63.0,0.4253,84.0,0.4228,70.0,0.4203,57.0
2025-10-30,0.2926,59.0,0.2799,48.0,0.4605,82.0,0.4238,64.0,0.3871,52.0,0.3876,57.0,0.3775,63.0,0.4428,88.0,0.5168,94.0,0.5907,93.0
2025-10-29,0.3237,65.0,0.3106,57.0,0.4671,84.0,0.5237,87.0,0.5802,86.0,0.3885,57.0,0.378,63.0,0.4405,88.0,0.5104,93.0,0.5802,92.0
2025-10-28,0.2886,57.0,0.3131,57.0,0.4352,75.0,0.4478,69.0,0.4604,66.0,0.3869,57.0,0.3779,63.0,0.4112,80.0,0.4223,70.0,0.4334,59.0
2025-10-27,0.2853,57.0,0.3224,60.0,0.4543,81.0,0.4412,67.0,0.4282,57.0,0.3867,57.0,0.3782,63.0,0.4172,81.0,0.4966,91.0,0.5759,91.0
2025-10-24,0.3011,61.0,0.2902,51.0,0.4149,70.0,0.4034,59.0,0.3919,52.0,0.3858,57.0,0.3765,63.0,0.4107,80.0,0.4364,74.0,0.4621,66.0
2025-10-23,0.3099,62.0,0.3406,63.0,0.3965,65.0,0.3713,53.0,0.3461,43.0,0.3856,57.0,0.377,63.0,0.3975,76.0,0.3916,64.0,0.3858,50.0
2025-10-22,0.5621,89.0,0.4635,84.0,0.4013,66.0,0.4152,62.0,0.4292,59.0,0.3858,57.0,0.3774,63.0,0.4021,78.0,0.5776,99.0,0.753,100.0
2025-10-21,0.5522,89.0,0.4852,87.0,0.5514,94.0,0.4765,78.0,0.4016,54.0,0.3841,57.0,0.3782,63.0,0.4371,87.0,0.4986,91.0,0.5602,89.0
2025-10-20,0.5419,88.0,0.4869,87.0,0.4321,74.0,0.4187,63.0,0.4053,55.0,0.3828,57.0,0.3785,63.0,0.4126,80.0,0.4435,75.0,0.4744,70.0
2025-10-15,0.5655,90.0,0.4995,88.0,0.4054,67.0,0.4198,63.0,0.4341,59.0,0.3812,57.0,0.381,63.0,0.3967,76.0,0.4154,68.0,0.4341,59.0
2025-10-14,0.5761,90.0,0.4828,87.0,0.4416,77.0,0.5674,92.0,0.6932,95.0,0.3836,57.0,0.38,63.0,0.4228,83.0,0.5128,94.0,0.6028,94.0
2025-10-13,0.2256,43.0,0.3744,70.0,0.46,82.0,0.4872,80.0,0.5145,76.0,0.3724,57.0,0.3739,62.0,0.4506,90.0,0.4843,88.0,0.518,81.0
2025-10-10,0.2125,39.0,0.359,67.0,0.3724,59.0,0.3756,54.0,0.3788,50.0,0.3728,57.0,0.3714,62.0,0.4095,80.0,0.5872,99.0,0.7649,100.0
2025-10-09,0.2042,37.0,0.3341,62.0,0.4693,84.0,0.449,69.0,0.4286,59.0,0.3721,57.0,0.3708,61.0,0.4252,84.0,0.4343,73.0,0.4434,62.0
2025-10-08,0.3034,61.0,0.3578,67.0,0.4244,72.0,0.5312,88.0,0.638,92.0,0.3712,57.0,0.3721,62.0,0.4098,80.0,0.4494,78.0,0.489,74.0
2025-10-07,0.3192,64.0,0.402,75.0,0.4499,80.0,0.4496,69.0,0.4492,63.0,0.3786,57.0,0.3747,62.0,0.4389,87.0,0.4624,82.0,0.486,73.0
2025-10-06,0.3632,71.0,0.5997,94.0,0.444,78.0,0.4558,71.0,0.4675,67.0,0.3787,57.0,0.4075,69.0,0.433,86.0,0.4579,80.0,0.4828,72.0
2025-10-02,0.504,85.0,0.6216,94.0,0.4129,69.0,0.4506,70.0,0.4884,71.0,0.3848,57.0,0.412,70.0,0.4789,95.0,0.4836,87.0,0.4884,74.0
2025-10-01,0.5022,85.0,0.5982,93.0,0.4774,86.0,0.6225,96.0,0.7676,97.0,0.4031,60.0,0.415,72.0,0.4028,78.0,0.4931,90.0,0.5834,92.0
2025-09-30,0.5024,85.0,0.6051,94.0,0.4318,74.0,0.409,61.0,0.3861,52.0,0.4171,64.0,0.4163,72.0,0.3922,75.0,0.3892,63.0,0.3861,50.0
2025-09-29,0.4159,78.0,0.5881,93.0,0.3658,57.0,0.4016,59.0,0.4373,60.0,0.4117,63.0,0.4166,72.0,0.3975,76.0,0.4174,69.0,0.4373,60.0
2025-09-24,0.3707,72.0,0.3731,70.0,0.4536,80.0,0.4799,78.0,0.5062,74.0,0.4285,67.0,0.4078,69.0,0.3608,69.0,0.3896,63.0,0.4185,57.0
2025-09-23,0.3296,65.0,0.3058,56.0,0.4964,88.0,0.5534,91.0,0.6103,90.0,0.4256,67.0,0.4046,68.0,0.4837,95.0,0.4363,74.0,0.3889,51.0
2025-09-22,0.3213,64.0,0.3163,57.0,0.3767,60.0,0.4776,78.0,0.5785,86.0,0.4324,68.0,0.4076,69.0,0.3613,69.0,0.4136,68.0,0.4658,67.0
2025-09-19,0.4448,81.0,0.3473,65.0,0.3565,56.0,0.4146,62.0,0.4727,68.0,0.4329,68.0,0.4075,69.0,0.3702,71.0,0.4214,69.0,0.4727,70.0
2025-09-18,0.5612,89.0,0.4099,77.0,0.3545,56.0,0.3803,55.0,0.4061,55.0,0.4332,68.0,0.4087,69.0,0.3545,68.0,0.3803,61.0,0.4061,54.0
2025-09-16,0.5606,89.0,0.4145,77.0,0.4116,69.0,0.4666,74.0,0.5217,77.0,0.4641,77.0,0.4116,70.0,0.4564,91.0,0.489,89.0,0.5217,82.0
2025-09-15,0.5259,87.0,0.439,81.0,0.3154,48.0,0.369,53.0,0.4226,57.0,0.4631,76.0,0.4122,70.0,0.3513,67.0,0.387,62.0,0.4226,57.0
2025-09-12,0.5092,86.0,0.4238,79.0,0.3894,63.0,0.5731,93.0,0.7568,97.0,0.4602,76.0,0.4103,70.0,0.3894,75.0,0.5731,99.0,0.7568,100.0
2025-09-10,0.465,82.0,0.4901,87.0,0.4071,68.0,0.5489,90.0,0.6906,95.0,0.4555,75.0,0.4085,69.0,0.3488,66.0,0.5197,95.0,0.6906,99.0
2025-09-09,0.6488,93.0,0.5249,89.0,0.3407,53.0,0.407,60.0,0.4733,68.0,0.4491,73.0,0.4044,68.0,0.3075,57.0,0.3904,63.0,0.4733,70.0
2025-09-08,0.642,93.0,0.5263,89.0,0.3169,48.0,0.4059,60.0,0.4949,72.0,0.449,73.0,0.4051,68.0,0.3169,60.0,0.3702,57.0,0.4234,57.0
2025-09-05,0.6337,93.0,0.519,89.0,0.4064,68.0,0.4709,76.0,0.5354,80.0,0.451,73.0,0.407,69.0,0.5992,99.0,0.5673,98.0,0.5354,84.0
2025-09-04,0.6294,92.0,0.5032,88.0,0.3746,60.0,0.4356,66.0,0.4965,72.0,0.4514,73.0,0.406,69.0,0.3746,72.0,0.4356,73.0,0.4965,75.0
2025-08-26,0.2928,59.0,0.3007,55.0,0.3562,56.0,,,,,0.4316,68.0,0.4013,67.0,0.3894,75.0,,,,
2025-08-25,0.3466,69.0,0.3109,57.0,0.4232,72.0,,,,,0.4324,68.0,0.4013,67.0,0.4211,82.0,,,,
2025-08-22,0.5605,89.0,0.3647,68.0,0.3981,65.0,,,,,0.4318,68.0,0.4017,67.0,0.3727,71.0,,,,
2025-08-21,0.5761,90.0,0.3582,67.0,0.3953,65.0,,,,,0.4318,68.0,0.4033,68.0,0.3714,71.0,,,,
2025-08-20,0.5409,88.0,0.3538,66.0,0.4348,75.0,,,,,0.4293,68.0,0.4028,68.0,0.5138,97.0,,,,
2025-08-19,0.5371,88.0,0.3434,64.0,0.4248,72.0,,,,,0.4313,68.0,0.4033,68.0,0.4299,85.0,,,,
2025-08-18,0.5425,88.0,0.3335,62.0,0.3993,66.0,,,,,0.4324,68.0,0.4033,68.0,0.4603,92.0,,,,
2025-08-15,0.5294,87.0,0.3344,62.0,0.3875,63.0,,,,,0.4318,68.0,0.4041,68.0,0.3852,74.0,,,,
2025-08-13,0.2402,47.0,0.2522,40.0,0.4758,86.0,,,,,0.422,66.0,0.4037,70.0,0.4123,81.0,,,,
2025-08-12,0.2332,45.0,0.2501,39.0,0.3814,63.0,,,,,0.4218,66.0,0.4046,70.0,0.3814,75.0,,,,
