date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-03,0.8415,55.0,0.6235,25.0,0.8213,36.0,0.9195,47.0,1.0176,57.0,1.3005,99.0,1.0386,89.0,0.7269,35.0,1.3214,94.0,1.9159,99.0
2025-07-02,0.6836,38.0,0.6086,23.0,0.8218,36.0,0.989,57.0,1.1562,74.0,1.2938,98.0,1.0381,89.0,0.8795,73.0,1.0886,76.0,1.2978,80.0
2025-07-01,0.7302,41.0,0.6188,24.0,0.953,56.0,1.041,64.0,1.129,72.0,1.2929,98.0,1.0475,90.0,0.867,72.0,1.0906,76.0,1.3142,81.0
2025-06-30,0.8028,50.0,0.63,26.0,1.1349,77.0,1.5461,94.0,1.9573,99.0,1.2951,98.0,1.0492,90.0,0.9218,77.0,1.1133,78.0,1.3048,80.0
2025-06-27,0.7978,49.0,0.6014,22.0,0.7085,19.0,1.1354,74.0,1.5624,94.0,1.2988,99.0,1.0566,92.0,0.6669,14.0,0.9918,68.0,1.3168,81.0
2025-06-26,0.8197,52.0,0.6097,23.0,0.8031,32.0,1.2454,81.0,1.6878,96.0,1.3017,99.0,1.059,92.0,0.6629,13.0,0.9716,67.0,1.2802,79.0
2025-06-25,0.5102,17.0,0.516,11.0,0.7536,25.0,1.0349,63.0,1.3162,84.0,1.295,98.0,1.0574,92.0,0.633,7.0,0.9706,67.0,1.3082,80.0
2025-06-24,0.5542,22.0,0.5257,12.0,1.101,74.0,1.0789,68.0,1.0568,64.0,1.2966,98.0,1.0591,92.0,0.6847,19.0,0.9916,68.0,1.2986,80.0
2025-06-23,0.4233,11.0,0.5618,16.0,0.8671,44.0,1.0132,60.0,1.1592,74.0,1.2963,98.0,1.0599,92.0,0.6985,23.0,1.0059,69.0,1.3133,81.0
2025-06-20,0.4478,13.0,0.7068,38.0,1.0019,63.0,1.013,60.0,1.024,59.0,1.2961,98.0,1.0602,92.0,0.7213,32.0,1.0172,70.0,1.3132,81.0
2025-06-18,0.5583,23.0,0.7127,38.0,0.9323,53.0,1.1262,73.0,1.32,85.0,1.2989,99.0,1.0641,93.0,0.7044,26.0,1.0042,69.0,1.304,80.0
2025-06-17,0.5468,21.0,0.6987,36.0,0.9918,62.0,1.0702,67.0,1.1486,74.0,1.2994,99.0,1.0681,93.0,0.7,24.0,0.9988,69.0,1.2976,80.0
2025-06-16,0.5816,25.0,0.6799,33.0,1.3299,88.0,1.2864,83.0,1.2429,81.0,1.3008,99.0,1.0695,93.0,0.7013,24.0,1.0072,69.0,1.3132,81.0
2025-06-13,0.567,23.0,0.689,35.0,1.8021,96.0,1.5492,94.0,1.2964,83.0,1.3045,99.0,1.0711,94.0,0.841,69.0,1.0991,77.0,1.3572,84.0
2025-06-12,0.518,18.0,0.6859,34.0,0.8334,38.0,0.9568,52.0,1.0801,66.0,1.3066,99.0,1.0723,94.0,0.7259,34.0,1.0995,77.0,1.4731,94.0
2025-06-11,0.4861,16.0,0.6755,32.0,0.9009,49.0,1.0181,61.0,1.1354,73.0,1.3058,99.0,1.0721,94.0,0.7599,47.0,1.1151,79.0,1.4704,93.0
2025-06-10,0.3782,8.0,0.477,7.0,0.8797,46.0,1.0034,59.0,1.1271,72.0,1.3041,99.0,1.0691,93.0,0.6886,20.0,1.1194,79.0,1.5502,97.0
2025-06-09,0.304,3.0,0.4229,3.0,0.7186,20.0,0.8494,37.0,0.9801,52.0,1.3028,99.0,1.0716,94.0,0.6515,11.0,1.0692,74.0,1.4868,94.0
2025-06-06,0.3294,4.0,0.4432,5.0,1.1393,77.0,0.9983,59.0,0.8573,35.0,1.3043,99.0,1.0767,95.0,0.6599,13.0,1.0728,74.0,1.4856,94.0
2025-06-05,0.3057,3.0,0.4305,4.0,0.8076,33.0,0.9139,46.0,1.0202,57.0,1.3083,99.0,1.0819,95.0,0.664,13.0,1.1105,78.0,1.557,97.0
2025-06-04,0.3284,4.0,0.4425,5.0,1.0171,65.0,0.9886,57.0,0.9602,49.0,1.3083,99.0,1.0825,95.0,0.7078,27.0,1.1331,80.0,1.5584,97.0
2025-06-03,0.4965,17.0,0.4745,7.0,3.1065,100.0,2.0856,100.0,1.0646,65.0,1.3098,99.0,1.0831,95.0,0.6663,14.0,1.2482,90.0,1.83,99.0
2025-06-02,0.4946,16.0,0.5556,15.0,0.8142,34.0,0.947,50.0,1.0799,66.0,1.311,99.0,1.085,96.0,0.6738,16.0,1.0395,71.0,1.4052,87.0
2025-05-30,0.5377,20.0,0.5718,17.0,0.7151,19.0,0.8896,43.0,1.064,65.0,1.311,99.0,1.0865,96.0,0.6489,10.0,1.1004,77.0,1.5519,97.0
2025-05-29,0.6568,34.0,0.6785,33.0,0.8198,35.0,0.9135,46.0,1.0072,56.0,1.312,99.0,1.0866,96.0,0.7176,31.0,1.1211,79.0,1.5246,96.0
2025-05-28,0.6157,28.0,0.7086,38.0,0.6604,13.0,0.7795,26.0,0.8986,41.0,1.3185,99.0,1.0889,96.0,0.6551,12.0,1.121,79.0,1.5868,97.0
2025-05-27,1.4075,93.0,1.0318,82.0,0.8229,36.0,1.0484,65.0,1.2739,82.0,1.323,99.0,1.0944,96.0,0.6474,10.0,1.142,82.0,1.6365,98.0
2025-05-23,1.7266,96.0,1.0512,84.0,0.7132,19.0,0.837,34.0,0.9607,49.0,1.3489,100.0,1.1083,98.0,0.6517,11.0,1.0585,73.0,1.4653,93.0
2025-05-22,1.7816,96.0,1.159,90.0,0.7976,31.0,0.8615,39.0,0.9254,45.0,1.347,100.0,1.1167,98.0,0.6876,20.0,1.0608,73.0,1.4341,90.0
2025-05-21,1.7816,96.0,1.1216,88.0,0.7692,27.0,0.8921,43.0,1.015,57.0,1.3484,100.0,1.1148,98.0,0.6676,14.0,1.0794,75.0,1.4911,94.0
2025-05-20,1.9029,97.0,1.1641,90.0,0.773,28.0,0.88,42.0,0.987,53.0,1.3506,100.0,1.1153,98.0,0.631,6.0,1.0398,71.0,1.4486,91.0
2025-05-19,1.8154,97.0,1.109,87.0,0.675,14.0,0.8349,34.0,0.9947,55.0,1.3564,100.0,1.1133,98.0,0.6339,7.0,1.2666,91.0,1.8992,99.0
2025-05-16,1.7702,96.0,1.0895,86.0,0.73,21.0,0.8972,44.0,1.0645,65.0,1.357,100.0,1.113,98.0,0.6239,5.0,1.0212,70.0,1.4184,88.0
2025-05-15,1.4504,93.0,0.8094,55.0,0.887,47.0,0.9528,51.0,1.0186,57.0,1.3307,100.0,1.1015,97.0,0.6491,10.0,1.0536,72.0,1.458,92.0
2025-05-14,0.6925,38.0,0.7903,52.0,1.2597,85.0,1.5397,94.0,1.8197,98.0,1.3105,99.0,1.1095,98.0,0.705,26.0,0.8753,52.0,1.0456,61.0
2025-05-13,0.7415,42.0,0.624,25.0,1.295,87.0,2.5912,100.0,3.8875,100.0,1.3175,99.0,1.1103,98.0,0.8136,64.0,1.4538,97.0,2.0939,100.0
