date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-11-10,0.3132,65.0,0.4916,98.0,0.3431,70.0,0.3442,70.0,0.3452,69.0,0.3017,60.0,0.2659,55.0,0.2981,54.0,0.3262,60.0,0.3543,68.0
2025-11-07,0.2773,56.0,0.4918,98.0,0.2942,51.0,0.3011,53.0,0.308,55.0,0.3009,60.0,0.2654,55.0,0.291,51.0,0.3282,61.0,0.3653,73.0
2025-11-06,0.2723,55.0,0.4917,98.0,0.3549,74.0,0.3505,72.0,0.3461,70.0,0.3003,60.0,0.265,54.0,0.3027,55.0,0.3359,65.0,0.3692,75.0
2025-11-05,0.2561,51.0,0.4964,98.0,0.3295,66.0,0.3235,63.0,0.3175,60.0,0.3067,63.0,0.2663,55.0,0.3021,55.0,0.3352,64.0,0.3684,75.0
2025-11-04,0.2462,47.0,0.4834,98.0,0.3189,62.0,0.3169,60.0,0.3149,57.0,0.3061,62.0,0.2645,54.0,0.2998,54.0,0.3369,66.0,0.3741,76.0
2025-11-03,0.1985,31.0,0.4782,98.0,0.3312,66.0,0.3446,70.0,0.3579,73.0,0.3092,64.0,0.2658,55.0,0.2889,50.0,0.3289,61.0,0.3689,75.0
2025-10-31,0.1144,6.0,0.4467,97.0,0.2758,42.0,0.3018,53.0,0.3279,63.0,0.306,62.0,0.264,54.0,0.283,47.0,0.3232,57.0,0.3635,73.0
2025-10-30,0.1377,12.0,0.2012,31.0,0.3679,77.0,0.3674,77.0,0.3668,76.0,0.3081,64.0,0.2529,49.0,0.3026,55.0,0.3336,64.0,0.3645,73.0
2025-10-29,0.1475,15.0,0.1986,30.0,0.3612,76.0,0.3694,78.0,0.3775,78.0,0.3088,64.0,0.2537,49.0,0.2989,54.0,0.3314,63.0,0.3639,73.0
2025-10-28,0.1607,19.0,0.1858,23.0,0.3312,66.0,0.3611,75.0,0.391,82.0,0.309,64.0,0.2542,49.0,0.2864,49.0,0.3235,59.0,0.3606,71.0
2025-10-27,0.1695,21.0,0.179,20.0,0.3481,72.0,0.353,73.0,0.3579,73.0,0.3085,64.0,0.2542,49.0,0.2973,53.0,0.3211,57.0,0.3449,63.0
2025-10-24,0.1677,21.0,0.1721,16.0,0.3858,82.0,0.3648,76.0,0.3439,69.0,0.3092,64.0,0.255,50.0,0.2876,49.0,0.3204,57.0,0.3531,68.0
2025-10-23,0.1566,18.0,0.181,21.0,0.3408,70.0,0.3718,78.0,0.4027,84.0,0.3108,65.0,0.2568,51.0,0.3095,57.0,0.3431,69.0,0.3767,78.0
2025-10-22,0.1936,30.0,0.2253,43.0,0.3545,74.0,0.355,74.0,0.3554,73.0,0.3107,65.0,0.258,51.0,0.2838,48.0,0.3143,54.0,0.3448,63.0
2025-10-21,0.1792,24.0,0.2236,42.0,0.348,72.0,0.3405,69.0,0.333,65.0,0.3109,65.0,0.2579,51.0,0.2954,52.0,0.3272,60.0,0.3589,70.0
2025-10-20,0.2169,37.0,0.2569,59.0,0.3311,66.0,0.3372,68.0,0.3433,69.0,0.3149,67.0,0.2609,52.0,0.2897,50.0,0.3202,57.0,0.3507,66.0
2025-10-15,0.3417,72.0,0.3127,80.0,0.3644,77.0,0.3665,77.0,0.3686,77.0,0.3177,68.0,0.263,53.0,0.2997,54.0,0.3332,63.0,0.3666,74.0
2025-10-14,0.3388,71.0,0.3119,80.0,0.3769,80.0,0.3936,83.0,0.4102,86.0,0.3192,69.0,0.264,54.0,0.3064,57.0,0.3482,72.0,0.3899,81.0
2025-10-13,0.321,67.0,0.2859,72.0,0.4705,94.0,0.427,89.0,0.3836,80.0,0.3187,68.0,0.2644,54.0,0.3226,64.0,0.3432,69.0,0.3637,73.0
2025-10-10,0.3243,68.0,0.2886,73.0,0.4397,91.0,0.4312,89.0,0.4227,88.0,0.3185,68.0,0.2648,54.0,0.3267,66.0,0.3462,71.0,0.3658,74.0
2025-10-09,0.3097,64.0,0.254,57.0,0.2729,41.0,0.2992,51.0,0.3256,63.0,0.3172,68.0,0.2653,55.0,0.3272,66.0,0.3602,77.0,0.3932,82.0
2025-10-08,0.2879,59.0,0.2224,42.0,0.3719,79.0,0.3552,74.0,0.3386,67.0,0.3161,68.0,0.2656,55.0,0.3009,55.0,0.3283,61.0,0.3556,69.0
2025-10-07,0.28,57.0,0.2266,44.0,0.3566,75.0,0.3434,70.0,0.3302,64.0,0.3378,75.0,0.2713,60.0,0.3186,62.0,0.3373,66.0,0.356,69.0
2025-10-06,0.1772,24.0,0.2035,32.0,0.3431,70.0,0.3366,67.0,0.3301,64.0,0.3604,80.0,0.288,71.0,0.3174,62.0,0.341,68.0,0.3647,73.0
2025-10-02,0.1958,31.0,0.2101,35.0,0.26,35.0,0.3016,53.0,0.3433,69.0,0.3696,82.0,0.3064,78.0,0.3156,61.0,0.3445,70.0,0.3734,76.0
2025-10-01,0.1741,22.0,0.2138,37.0,0.2682,39.0,0.2907,47.0,0.3132,57.0,0.3698,82.0,0.3098,78.0,0.3158,61.0,0.3385,67.0,0.3611,71.0
2025-09-30,0.1944,30.0,0.2277,45.0,0.2886,48.0,0.267,37.0,0.2453,25.0,0.3856,85.0,0.3165,80.0,0.3126,60.0,0.335,64.0,0.3574,70.0
2025-09-29,0.1872,27.0,0.2303,46.0,0.3552,74.0,0.3761,79.0,0.397,83.0,0.386,85.0,0.3181,80.0,0.3248,65.0,0.3339,64.0,0.343,62.0
2025-09-24,0.2102,35.0,0.2336,47.0,0.324,64.0,0.3273,64.0,0.3306,64.0,0.4054,88.0,0.3262,82.0,0.3182,62.0,0.337,66.0,0.3558,69.0
2025-09-23,0.204,33.0,0.2389,49.0,0.3118,59.0,0.3206,62.0,0.3295,64.0,0.4049,87.0,0.3264,82.0,0.3023,55.0,0.3251,59.0,0.3479,65.0
2025-09-22,0.2667,54.0,0.2492,55.0,0.3204,63.0,0.3118,57.0,0.3032,53.0,0.4054,88.0,0.3269,82.0,0.3133,60.0,0.334,64.0,0.3547,69.0
