date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-06-26,1.5597,,1.6341,,,,,,,,0.8981,,1.2211,,,,,,,
2025-06-25,1.5352,,1.6219,,,,,,,,0.9,,1.2228,,,,,,,
2025-06-24,1.5352,,1.5531,,,,,,,,0.9004,,1.2189,,,,,,,
2025-06-23,1.5809,,1.6552,,,,,,,,0.9006,,1.2166,,,,,,,
2025-06-20,1.6905,,1.5993,,,,,,,,0.9126,,1.2135,,,,,,,
2025-06-18,1.548,,1.5746,,,,,,,,0.8895,,1.2097,,,,,,,
2025-06-17,1.2896,,1.504,,,,,,,,0.8763,,1.2044,,,,,,,
2025-06-16,1.0938,,1.2553,,,,,,,,0.8557,,1.188,,,,,,,
2025-06-13,1.1189,,1.2367,,,,,,,,0.8622,,1.1873,,,,,,,
2025-06-12,1.1285,,1.2373,,,,,,,,0.8634,,1.1887,,,,,,,
2025-06-11,0.9759,,1.035,,,,,,,,0.8556,,1.1783,,,,,,,
2025-06-10,0.9316,,0.9648,,,,,,,,0.8516,,1.1785,,,,,,,
2025-06-09,0.6019,,1.0915,,,,,,,,0.8315,,1.1716,,,,,,,
2025-06-06,0.5953,,1.079,,,,,,,,0.8314,,1.1684,,,,,,,
2025-06-05,0.5616,,1.1417,,,,,,,,0.8313,,1.1675,,,,,,,
2025-06-04,0.6189,,1.2014,,,,,,,,0.8308,,1.1659,,,,,,,
2025-06-03,0.5766,,1.1877,,,,,,,,0.8282,,1.1642,,,,,,,
2025-06-02,0.4298,,1.1907,,,,,,,,0.8262,,1.1646,,,,,,,
2025-05-30,0.7017,,1.2064,,,,,,,,0.8278,,1.1637,,,,,,,
2025-05-29,0.8543,,1.0102,,,,,,,,0.8271,,1.1495,,,,,,,
2025-05-28,0.907,,0.9744,,,,,,,,0.8273,,1.1466,,,,,,,
2025-05-27,0.9294,,0.9306,,,,,,,,0.8279,,1.1444,,,,,,,
2025-05-23,1.1098,,1.0294,,,,,,,,0.8254,,1.14,,,,,,,
2025-05-22,1.1102,,1.0665,,,,,,,,0.8261,,1.1416,,,,,,,
2025-05-21,1.1263,,1.0864,,,,,,,,0.8262,,1.1431,,,,,,,
2025-05-20,1.0232,,1.1102,,,,,,,,0.8119,,1.1437,,,,,,,
2025-05-19,0.9637,,1.0495,,,,,,,,0.8157,,1.1491,,,,,,,
2025-05-16,0.8342,,1.0428,,,,,,,,0.8092,,1.15,,,,,,,
2025-05-15,0.8505,,1.0105,,,,,,,,0.8266,,1.1549,,,,,,,
2025-05-14,0.6225,,0.795,,,,,,,,0.82,,1.1458,,,,,,,
2025-05-13,0.6176,,0.7487,,,,,,,,0.8344,,1.1465,,,,,,,
2025-05-12,0.5709,,0.7192,,,,,,,,0.8356,,1.1519,,,,,,,
2025-05-09,0.3645,,0.7203,,,,,,,,0.857,,1.1687,,,,,,,
2025-05-08,0.2824,,0.8053,,,,,,,,0.856,,1.1765,,,,,,,
2025-05-07,0.3418,,0.8546,,,,,,,,0.8859,,1.2306,,,,,,,
2025-05-06,0.6986,,0.878,,,,,,,,0.9689,,1.2538,,,,,,,
2025-05-05,0.6922,,1.0232,,,,,,,,0.9731,,1.2562,,,,,,,
2025-05-02,0.8629,,1.3328,,,,,,,,0.9733,,1.2587,,,,,,,
2025-05-01,0.8632,,1.3238,,,,,,,,0.9736,,1.2583,,,,,,,
2025-04-30,0.8314,,1.4322,,,,,,,,0.9732,,1.2555,,,,,,,
2025-04-29,0.83,,1.4048,,,,,,,,0.9728,,1.2529,,,,,,,
2025-04-28,0.7965,,1.4234,,,,,,,,0.9753,,1.2511,,,,,,,
2025-04-25,0.4877,,1.462,,,,,,,,0.968,,1.252,,,,,,,
2025-04-24,0.4567,,1.4582,,,,,,,,0.9689,,1.2463,,,,,,,
2025-04-23,0.1797,,1.2041,,,,,,,,0.9663,,1.2288,,,,,,,
2025-04-22,0.2411,,1.2257,,,,,,,,0.9671,,1.2306,,,,,,,
