date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-08-01,0.1601,5.0,0.2297,5.0,0.4744,40.0,0.633,85.0,0.7917,93.0,0.4926,47.0,0.4302,35.0,0.4303,20.0,0.3847,4.0,0.339,1.0
2025-07-31,0.159,5.0,0.2261,5.0,0.3739,5.0,0.4452,26.0,0.5165,57.0,0.4926,47.0,0.4309,35.0,0.2669,1.0,0.3057,1.0,0.3445,2.0
2025-07-30,0.2406,13.0,0.2341,5.0,0.3595,4.0,0.429,19.0,0.4986,52.0,0.4946,47.0,0.4322,36.0,0.446,25.0,0.3938,6.0,0.3416,2.0
2025-07-29,0.3094,24.0,0.2308,5.0,0.3658,4.0,0.4274,19.0,0.4891,48.0,0.5006,49.0,0.435,37.0,0.3485,2.0,0.363,3.0,0.3776,5.0
2025-07-28,0.3171,26.0,0.2397,6.0,0.412,14.0,0.4641,36.0,0.5163,57.0,0.5037,49.0,0.4369,37.0,0.3621,3.0,0.391,5.0,0.4198,16.0
2025-07-25,0.3124,25.0,0.2322,5.0,0.4071,13.0,0.4133,13.0,0.4195,18.0,0.5031,49.0,0.4376,37.0,0.33,1.0,0.3956,7.0,0.4612,33.0
2025-07-24,0.3394,30.0,0.2527,7.0,0.3706,5.0,0.4231,16.0,0.4756,44.0,0.5074,50.0,0.4388,37.0,0.3551,3.0,0.3877,5.0,0.4203,16.0
2025-07-22,0.3356,28.0,0.2651,9.0,0.3956,9.0,0.4108,12.0,0.4259,21.0,0.5068,50.0,0.4396,38.0,0.3353,1.0,0.3864,5.0,0.4375,22.0
2025-07-21,0.3713,36.0,0.2664,9.0,0.3448,2.0,0.3626,3.0,0.3804,6.0,0.5069,50.0,0.4398,38.0,0.3374,1.0,0.3908,5.0,0.4442,24.0
2025-07-18,0.2924,22.0,0.2589,8.0,0.4174,17.0,0.4057,10.0,0.394,9.0,0.5045,50.0,0.4398,38.0,0.3259,1.0,0.3892,5.0,0.4525,28.0
2025-07-17,0.2956,22.0,0.2513,7.0,0.6027,78.0,0.5002,50.0,0.3976,10.0,0.5042,50.0,0.4417,38.0,0.3447,1.0,0.3736,4.0,0.4024,9.0
2025-07-16,0.3239,27.0,0.2757,10.0,0.4172,16.0,0.4234,16.0,0.4296,23.0,0.5037,49.0,0.4436,39.0,0.3492,2.0,0.4018,9.0,0.4543,28.0
2025-07-15,0.2907,21.0,0.2801,11.0,0.3548,3.0,0.4012,9.0,0.4476,31.0,0.503,49.0,0.4438,39.0,0.3638,3.0,0.3745,4.0,0.3852,5.0
2025-07-14,0.2945,22.0,0.2747,10.0,0.5266,59.0,0.4039,10.0,0.2812,1.0,0.5106,50.0,0.4462,39.0,0.3504,2.0,0.3807,4.0,0.411,12.0
2025-07-11,0.2658,17.0,0.258,8.0,0.3906,8.0,0.3584,3.0,0.3262,1.0,0.5112,50.0,0.4458,39.0,0.2949,1.0,0.4438,23.0,0.5928,82.0
