date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-02,0.3457,70.0,0.3285,70.0,0.3508,49.0,0.377,60.0,0.4032,68.0,0.4385,83.0,0.4242,89.0,0.4235,81.0,0.4293,83.0,0.4351,84.0
2025-10-01,0.3327,68.0,0.3155,66.0,0.3802,62.0,0.363,54.0,0.3459,47.0,0.4438,84.0,0.4257,89.0,0.4293,82.0,0.4292,83.0,0.4291,82.0
2025-09-30,0.228,38.0,0.2638,46.0,0.3545,51.0,0.3678,57.0,0.3812,61.0,0.472,89.0,0.4272,90.0,0.4143,79.0,0.4164,80.0,0.4185,79.0
2025-09-29,0.1954,27.0,0.2354,35.0,0.3344,42.0,0.3506,48.0,0.3669,56.0,0.4709,88.0,0.4277,90.0,0.4047,75.0,0.411,78.0,0.4172,79.0
2025-09-24,0.2133,33.0,0.2607,45.0,0.3996,68.0,0.3718,57.0,0.3439,46.0,0.4733,89.0,0.4306,90.0,0.4284,82.0,0.4251,82.0,0.4218,81.0
2025-09-23,0.2137,33.0,0.2595,44.0,0.3591,53.0,0.3402,43.0,0.3214,34.0,0.4733,89.0,0.4306,90.0,0.4219,81.0,0.4182,80.0,0.4146,78.0
2025-09-22,0.2275,38.0,0.2661,47.0,0.3003,26.0,0.3229,33.0,0.3455,46.0,0.4737,89.0,0.4304,90.0,0.4039,75.0,0.4081,77.0,0.4123,78.0
2025-09-19,0.2056,30.0,0.264,46.0,0.3479,48.0,0.3392,43.0,0.3306,39.0,0.4738,89.0,0.4298,90.0,0.4219,81.0,0.4179,80.0,0.4139,78.0
2025-09-18,0.1996,28.0,0.2692,48.0,0.5084,89.0,0.4354,77.0,0.3623,54.0,0.4735,89.0,0.43,90.0,0.4152,79.0,0.4091,78.0,0.403,74.0
2025-09-16,0.1871,24.0,0.2543,42.0,0.4139,72.0,0.3896,65.0,0.3653,55.0,0.4744,89.0,0.4306,90.0,0.4177,79.0,0.4115,78.0,0.4053,75.0
2025-09-15,0.2405,42.0,0.2776,52.0,0.4161,73.0,0.3886,65.0,0.361,53.0,0.4754,90.0,0.4322,90.0,0.4196,80.0,0.4123,79.0,0.405,75.0
2025-09-12,0.3223,65.0,0.3175,66.0,0.362,54.0,0.3465,46.0,0.331,39.0,0.4766,90.0,0.4329,90.0,0.4123,78.0,0.4069,77.0,0.4015,74.0
2025-09-10,0.3662,74.0,0.2955,59.0,0.3331,41.0,0.3558,51.0,0.3784,60.0,0.4786,91.0,0.4331,90.0,0.4107,77.0,0.4073,77.0,0.4039,75.0
