date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-10-29,0.5015,51.0,0.3761,25.0,0.9313,94.0,0.8456,88.0,0.76,79.0,0.5395,40.0,0.5904,59.0,0.7135,79.0,0.6846,75.0,0.6558,72.0
2025-10-28,0.5407,57.0,0.3693,24.0,0.9412,94.0,0.851,89.0,0.7608,79.0,0.5418,40.0,0.592,60.0,0.7216,80.0,0.6908,75.0,0.6601,72.0
2025-10-27,0.5637,59.0,0.3775,25.0,0.8389,87.0,0.772,80.0,0.7051,72.0,0.5396,40.0,0.5925,60.0,0.6858,75.0,0.6746,74.0,0.6633,73.0
2025-10-24,0.5292,55.0,0.3461,20.0,0.7466,76.0,0.762,79.0,0.7774,81.0,0.5402,40.0,0.5916,60.0,0.6593,73.0,0.6743,74.0,0.6893,75.0
2025-10-23,0.5523,57.0,0.4171,33.0,0.7882,81.0,0.8416,88.0,0.8951,92.0,0.5398,40.0,0.5921,60.0,0.6171,67.0,0.651,72.0,0.685,75.0
2025-10-22,0.468,46.0,0.4738,44.0,0.8406,87.0,0.852,89.0,0.8633,89.0,0.5359,40.0,0.5914,60.0,0.6997,77.0,0.6822,74.0,0.6647,73.0
2025-10-21,0.6244,66.0,0.4867,47.0,0.7412,75.0,0.7495,78.0,0.7578,79.0,0.5358,40.0,0.5915,60.0,0.6801,75.0,0.6797,74.0,0.6792,74.0
2025-10-20,0.6443,67.0,0.506,50.0,0.7689,79.0,0.7876,82.0,0.8064,84.0,0.5372,40.0,0.594,60.0,0.6602,73.0,0.6686,73.0,0.6771,74.0
2025-10-15,0.5412,57.0,0.5254,55.0,0.9322,94.0,0.818,86.0,0.7037,72.0,0.5339,39.0,0.5978,61.0,0.6825,75.0,0.6643,73.0,0.6461,71.0
2025-10-14,0.4743,47.0,0.4779,45.0,0.7236,73.0,0.7521,78.0,0.7806,81.0,0.5312,39.0,0.5964,60.0,0.7297,82.0,0.688,75.0,0.6462,71.0
2025-10-13,0.4537,44.0,0.4449,38.0,0.8228,85.0,0.7815,81.0,0.7402,77.0,0.5301,39.0,0.5945,60.0,0.6421,71.0,0.6614,73.0,0.6808,75.0
