date,hv10,hv10_rank,phv10,phv10_rank,ivcall10,ivcall10_rank,ivmean10,ivmean10_rank,ivput10,ivput10_rank,hv180,hv180_rank,phv180,phv180_rank,ivcall1080,ivcall1080_rank,ivmean1080,ivmean1080_rank,ivput1080,ivput1080_rank
2025-07-28,0.146,38.0,0.1043,15.0,,,,,0.2283,23.0,0.2108,46.0,0.1882,48.0,,,,,0.2619,32.0
2025-07-25,0.1521,41.0,0.1023,14.0,,,,,0.2236,21.0,0.2117,47.0,0.1886,48.0,,,,,0.2644,33.0
2025-07-24,0.1498,40.0,0.1067,17.0,,,,,0.2592,35.0,0.2138,48.0,0.1901,48.0,,,,,0.2732,35.0
2025-07-22,0.1547,42.0,0.1069,17.0,,,,,0.2232,21.0,0.2134,47.0,0.19,48.0,,,,,0.2644,33.0
2025-07-21,0.1541,41.0,0.1076,17.0,0.0932,,0.1563,,0.2194,19.0,0.2136,47.0,0.1905,48.0,0.0932,,0.1672,,0.2412,25.0
2025-07-18,0.122,26.0,0.0857,5.0,0.0753,,0.1551,,0.2348,26.0,0.2131,47.0,0.1902,48.0,0.0753,,0.1738,,0.2723,35.0
2025-07-17,0.0825,7.0,0.0816,3.0,,,,,0.2189,19.0,0.2122,47.0,0.1901,48.0,,,,,0.2189,11.0
2025-07-16,0.0899,10.0,0.0855,5.0,,,,,0.2099,15.0,0.2128,47.0,0.1904,48.0,,,,,0.2291,16.0
2025-07-15,0.0979,13.0,0.0927,7.0,,,,,0.2222,20.0,0.2128,47.0,0.1904,48.0,,,,,0.2222,11.0
2025-07-14,0.0761,5.0,0.0848,5.0,,,,,0.2408,30.0,0.2147,48.0,0.1911,49.0,,,,,0.2573,30.0
2025-07-11,0.1156,23.0,0.0994,11.0,0.173,,0.1992,,0.2254,22.0,0.2149,49.0,0.1913,49.0,0.173,,0.2124,,0.2519,28.0
2025-07-09,0.1443,37.0,0.1103,19.0,,,,,0.2234,21.0,0.2154,49.0,0.1921,49.0,,,,,0.2404,24.0
2025-07-08,0.1589,44.0,0.1161,23.0,,,,,0.2407,30.0,0.215,49.0,0.192,49.0,,,,,0.2525,28.0
2025-07-07,0.1695,47.0,0.1224,27.0,,,,,0.2279,22.0,0.2153,49.0,0.1922,49.0,,,,,0.229,16.0
